* Measurement data measured by REW V5.40 beta 121
* Source: 
* Format: 
* Dated: Aug 12, 2026, 3:14:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Minimum phase copy of LX Cal file effects included LF tail from 16 Hz at 24 dB/octave No HF tail
* Measurement: LX-MP
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 0.204 -131.3668
0.732422 0.173 96.2978
1.098633 0.808 -33.0248
1.464844 -1.546 -157.6468
1.831055 1.948 36.0563
2.197266 6.132 -43.2894
2.563477 1.160 -27.0078
2.929688 12.874 -15.2927
3.295899 16.030 -38.5124
3.662110 18.174 -29.3969
4.028321 23.061 -33.0520
4.394532 25.425 -41.3766
4.760743 28.026 -39.2958
5.126954 31.113 -44.0085
5.493164 33.125 -48.3346
5.859375 35.435 -49.2141
6.225586 37.710 -53.6357
6.591797 39.485 -56.8109
6.958008 41.464 -59.0282
7.324219 43.285 -63.0732
7.690430 44.871 -65.9746
8.056641 46.572 -68.8545
8.422852 48.105 -72.6290
8.789063 49.533 -75.5577
9.155274 51.012 -78.7954
9.521485 52.348 -82.4174
9.887696 53.641 -85.4818
10.253907 54.945 -88.9377
10.620118 56.134 -92.5065
10.986329 57.312 -95.7482
11.352540 58.475 -99.3657
11.718751 59.552 -102.9642
12.084962 60.629 -106.4038
12.451173 61.679 -110.1743
12.817384 62.665 -113.8755
13.183595 63.655 -117.5308
13.549806 64.614 -121.4780
13.916017 65.522 -125.3469
14.282228 66.437 -129.2170
14.648439 67.324 -133.3096
15.014650 68.194 -137.1960
15.380861 69.173 -141.2249
15.747072 70.214 -146.8138
16.113283 71.029 -154.2688
16.479493 71.409 -161.7056
16.845704 71.539 -166.7285
17.211915 71.846 -169.6240
17.578126 72.372 -172.8644
17.944337 72.860 -176.6733
18.310548 73.323 -179.9409
18.676759 73.907 177.1705
19.042970 74.656 173.8307
19.409181 75.528 168.9919
19.775392 76.314 162.0081
20.141603 76.798 153.6750
20.507814 76.932 145.4250
20.874025 76.796 138.3262
21.240236 76.528 133.0139
21.606447 76.304 129.4521
21.972658 76.239 126.8579
22.338869 76.344 124.4119
22.705080 76.586 121.4120
23.071291 76.862 117.4097
23.437502 77.069 112.5634
23.803713 77.161 107.2344
24.169924 77.114 101.7852
24.536135 76.937 96.6221
24.902346 76.667 91.9159
25.268557 76.316 87.7485
25.634768 75.909 84.3325
26.000979 75.497 81.6857
26.367190 75.109 79.6809
26.733401 74.777 78.1674
27.099612 74.508 76.7957
27.465823 74.263 75.3892
27.832033 74.024 73.9856
28.198244 73.771 72.5637
28.564455 73.479 71.2878
28.930666 73.159 70.3436
29.296877 72.815 69.7991
29.663088 72.461 69.8611
30.029299 72.140 70.5840
30.395510 71.873 71.8965
30.761721 71.693 73.8235
31.127932 71.647 76.1392
31.494143 71.748 78.5537
31.860354 72.012 80.7418
32.226565 72.416 82.2122
32.592776 72.898 82.7476
32.958987 73.408 82.3036
33.325198 73.891 80.9478
33.691409 74.318 78.9395
34.057620 74.688 76.4250
34.423831 74.991 73.4811
34.790042 75.224 70.2235
35.156253 75.381 66.6929
35.522464 75.450 62.9977
35.888675 75.435 59.2958
36.254886 75.342 55.6279
36.621097 75.167 52.0679
36.987308 74.915 48.7206
37.353519 74.590 45.6382
37.719730 74.193 42.9493
38.085941 73.745 40.7485
38.452152 73.258 39.0334
38.818363 72.738 37.8750
39.184573 72.206 37.2974
39.550784 71.671 37.2957
39.916995 71.149 37.9349
40.283206 70.666 39.1349
40.649417 70.227 40.8175
41.015628 69.845 42.9719
41.381839 69.532 45.4703
41.748050 69.287 48.2838
42.114261 69.129 51.3341
42.480472 69.057 54.4280
42.846683 69.060 57.5126
43.212894 69.136 60.4855
43.579105 69.264 63.3132
43.945316 69.446 66.0618
44.311527 69.682 68.6677
44.677738 69.967 71.1425
45.043949 70.310 73.4779
45.410160 70.711 75.5818
45.776371 71.170 77.4319
46.142582 71.693 78.9059
46.508793 72.263 79.8732
46.875004 72.865 80.2877
47.241215 73.481 80.0835
47.607426 74.087 79.2883
47.973637 74.671 77.9714
48.339848 75.222 76.1635
48.706059 75.728 73.9447
49.072270 76.186 71.3843
49.438481 76.590 68.5323
49.804692 76.939 65.4729
50.170902 77.235 62.2500
50.537113 77.476 58.8958
50.903324 77.661 55.4722
51.269535 77.794 52.0143
51.635746 77.873 48.5671
52.001957 77.903 45.1870
52.368168 77.889 41.8900
52.734379 77.833 38.7085
53.100590 77.741 35.6785
53.466801 77.618 32.8021
53.833012 77.467 30.1023
54.199223 77.298 27.5830
54.565434 77.112 25.2186
54.931645 76.912 23.0176
55.297856 76.704 20.9696
55.664067 76.490 19.0496
56.030278 76.270 17.2562
56.396489 76.050 15.5543
56.762700 75.825 13.9177
57.128911 75.596 12.3472
57.495122 75.363 10.8068
57.861333 75.120 9.2849
58.227544 74.865 7.7816
58.593755 74.593 6.2748
58.959966 74.295 4.7971
59.326177 73.968 3.3840
59.692388 73.606 2.0627
60.058599 73.203 0.9213
60.424810 72.763 0.0327
60.791021 72.285 -0.5143
61.157232 71.779 -0.5800
61.523442 71.264 -0.0900
61.889653 70.761 1.0211
62.255864 70.305 2.7814
62.622075 69.927 5.0707
62.988286 69.651 7.7354
63.354497 69.499 10.5201
63.720708 69.461 13.1119
64.086919 69.516 15.3282
64.453130 69.638 17.0126
64.819341 69.792 18.1068
65.185552 69.953 18.6606
65.551763 70.103 18.6985
65.917974 70.220 18.3167
66.284185 70.300 17.6124
66.650396 70.337 16.6224
67.016607 70.323 15.4385
67.382818 70.262 14.1112
67.749029 70.146 12.6648
68.115240 69.975 11.1812
68.481451 69.751 9.6732
68.847662 69.467 8.1595
69.213873 69.121 6.7117
69.580084 68.712 5.3201
69.946295 68.226 4.0338
70.312506 67.661 2.9396
70.678717 67.005 2.0294
71.044928 66.234 1.4351
71.411139 65.338 1.3229
71.777350 64.282 1.8153
72.143561 63.020 3.4093
72.509771 61.537 6.7510
72.875982 59.779 12.9720
73.242193 57.873 24.8961
73.608404 56.533 44.3959
73.974615 56.599 67.9851
74.340826 58.188 88.3430
74.707037 60.436 100.8762
75.073248 62.577 107.4707
75.439459 64.463 110.8186
75.805670 66.112 112.2042
76.171881 67.554 112.4038
76.538092 68.837 111.8484
76.904303 69.990 110.7209
77.270514 71.030 109.1875
77.636725 71.979 107.3455
78.002936 72.847 105.2385
78.369147 73.643 102.9248
78.735358 74.376 100.4351
79.101569 75.052 97.7849
79.467780 75.673 95.0046
79.833991 76.244 92.1099
80.200202 76.768 89.1143
80.566413 77.245 86.0399
80.932624 77.680 82.8979
81.298835 78.072 79.7014
81.665046 78.424 76.4695
82.031257 78.738 73.2125
82.397468 79.014 69.9434
82.763679 79.254 66.6772
83.129890 79.460 63.4218
83.496101 79.633 60.1890
83.862311 79.774 56.9907
84.228522 79.886 53.8328
84.594733 79.970 50.7242
84.960944 80.026 47.6727
85.327155 80.057 44.6815
85.693366 80.064 41.7579
86.059577 80.049 38.9060
86.425788 80.011 36.1268
86.791999 79.953 33.4258
87.158210 79.876 30.8040
87.524421 79.781 28.2616
87.890632 79.667 25.8031
88.256843 79.537 23.4274
88.623054 79.390 21.1357
88.989265 79.227 18.9326
89.355476 79.048 16.8176
89.721687 78.854 14.7958
90.087898 78.644 12.8730
90.454109 78.419 11.0515
90.820320 78.178 9.3403
91.186531 77.923 7.7478
91.552742 77.654 6.2810
91.918953 77.370 4.9536
92.285164 77.074 3.7754
92.651375 76.767 2.7565
93.017586 76.449 1.9127
93.383797 76.123 1.2532
93.750008 75.791 0.7903
94.116219 75.456 0.5374
94.482430 75.122 0.4985
94.848641 74.792 0.6819
95.214851 74.470 1.0908
95.581062 74.160 1.7186
95.947273 73.868 2.5626
96.313484 73.597 3.6071
96.679695 73.352 4.8295
97.045906 73.137 6.2091
97.412117 72.955 7.7100
97.778328 72.808 9.2981
98.144539 72.696 10.9395
98.510750 72.619 12.5907
98.876961 72.576 14.2212
99.243172 72.564 15.8002
99.609383 72.579 17.2987
99.975594 72.618 18.7040
100.341805 72.677 19.9998
100.708016 72.752 21.1801
101.074227 72.839 22.2485
101.440438 72.934 23.2043
101.806649 73.035 24.0593
102.172860 73.140 24.8252
102.539071 73.247 25.5098
102.905282 73.354 26.1312
103.271493 73.462 26.7002
103.637704 73.570 27.2269
104.003915 73.680 27.7263
104.370126 73.791 28.2018
104.736337 73.905 28.6597
105.102548 74.024 29.1046
105.468759 74.148 29.5305
105.834970 74.280 29.9364
106.201180 74.421 30.3142
106.567391 74.570 30.6504
106.933602 74.728 30.9375
107.299813 74.896 31.1599
107.666024 75.072 31.3048
108.032235 75.256 31.3641
108.398446 75.445 31.3241
108.764657 75.638 31.1793
109.130868 75.832 30.9264
109.497079 76.026 30.5603
109.863290 76.217 30.0851
110.229501 76.403 29.5031
110.595712 76.583 28.8180
110.961923 76.754 28.0404
111.328134 76.915 27.1761
111.694345 77.065 26.2350
112.060556 77.204 25.2292
112.426767 77.329 24.1663
112.792978 77.441 23.0586
113.159189 77.540 21.9170
113.525400 77.625 20.7493
113.891611 77.696 19.5680
114.257822 77.755 18.3818
114.624033 77.800 17.1979
114.990244 77.833 16.0270
115.356455 77.855 14.8746
115.722666 77.865 13.7480
116.088877 77.866 12.6550
116.455088 77.857 11.5981
116.821299 77.840 10.5834
117.187510 77.816 9.6147
117.553720 77.786 8.6926
117.919931 77.751 7.8208
118.286142 77.712 6.9991
118.652353 77.670 6.2260
119.018564 77.627 5.5024
119.384775 77.582 4.8246
119.750986 77.537 4.1893
120.117197 77.493 3.5952
120.483408 77.451 3.0353
120.849619 77.409 2.5066
121.215830 77.370 2.0050
121.582041 77.334 1.5234
121.948252 77.299 1.0597
122.314463 77.267 0.6079
122.680674 77.237 0.1631
123.046885 77.209 -0.2759
123.413096 77.183 -0.7145
123.779307 77.157 -1.1542
124.145518 77.133 -1.5951
124.511729 77.108 -2.0409
124.877940 77.083 -2.4896
125.244151 77.058 -2.9409
125.610362 77.031 -3.3956
125.976573 77.003 -3.8492
126.342784 76.973 -4.3015
126.708995 76.941 -4.7501
127.075206 76.907 -5.1902
127.441417 76.871 -5.6218
127.807628 76.833 -6.0402
128.173839 76.793 -6.4418
128.540049 76.751 -6.8268
128.906260 76.708 -7.1897
129.272471 76.665 -7.5298
129.638682 76.621 -7.8469
130.004893 76.576 -8.1364
130.371104 76.533 -8.4014
130.737315 76.491 -8.6412
131.103526 76.450 -8.8539
131.469737 76.412 -9.0458
131.835948 76.377 -9.2153
132.202159 76.345 -9.3649
132.568370 76.317 -9.5020
132.934581 76.293 -9.6244
133.300792 76.273 -9.7393
133.667003 76.258 -9.8527
134.033214 76.247 -9.9629
134.399425 76.241 -10.0798
134.765636 76.239 -10.2068
135.131847 76.241 -10.3430
135.498058 76.248 -10.4991
135.864269 76.257 -10.6743
136.230480 76.270 -10.8696
136.596691 76.285 -11.0942
136.962902 76.303 -11.3435
137.329113 76.322 -11.6205
137.695324 76.342 -11.9310
138.061535 76.362 -12.2682
138.427746 76.382 -12.6368
138.793957 76.402 -13.0385
139.160168 76.420 -13.4661
139.526379 76.437 -13.9248
139.892589 76.452 -14.4122
140.258800 76.464 -14.9225
140.625011 76.473 -15.4602
140.991222 76.479 -16.0198
141.357433 76.481 -16.5973
141.723644 76.479 -17.1958
142.089855 76.473 -17.8075
142.456066 76.462 -18.4304
142.822277 76.447 -19.0654
143.188488 76.426 -19.7043
143.554699 76.400 -20.3461
143.920910 76.370 -20.9894
144.287121 76.334 -21.6272
144.653332 76.294 -22.2583
145.019543 76.248 -22.8799
145.385754 76.198 -23.4873
145.751965 76.143 -24.0779
146.118176 76.084 -24.6490
146.484387 76.021 -25.1980
146.850598 75.955 -25.7203
147.216809 75.886 -26.2155
147.583020 75.814 -26.6826
147.949231 75.739 -27.1152
148.315442 75.664 -27.5167
148.681653 75.587 -27.8877
149.047864 75.510 -28.2203
149.414075 75.434 -28.5223
149.780286 75.358 -28.7948
150.146497 75.284 -29.0305
150.512708 75.212 -29.2405
