* Measurement data measured by REW V5.40 beta 121
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Aug 12, 2026, 3:13:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A times B A = L 120.Rscreen B = X801 
* Measurement: LX
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 61.028 -140.6631
15.380859 68.728 -156.3005
15.747070 70.776 -165.9213
16.113281 70.991 -164.9526
16.479492 71.429 -164.3950
16.845703 71.557 -169.1932
17.211914 71.757 -173.5190
17.578125 72.401 -178.2556
17.944336 72.865 176.5588
18.310547 73.274 172.0267
18.676758 73.888 165.4865
19.042968 74.605 157.6432
19.409179 75.503 150.8574
19.775390 76.365 145.0244
20.141601 76.843 140.7319
20.507812 76.975 138.2875
20.874023 76.831 136.6883
21.240234 76.503 135.8990
21.606445 76.276 135.1324
21.972656 76.211 132.8792
22.338867 76.303 129.3928
22.705077 76.582 124.7875
23.071288 76.876 119.3899
23.437499 77.086 114.1172
23.803710 77.201 108.7699
24.169921 77.141 103.2920
24.536132 76.950 98.2182
24.902343 76.691 93.4047
25.268554 76.318 89.0500
25.634765 75.898 85.4960
26.000976 75.489 82.2508
26.367187 75.077 79.4869
26.733397 74.755 77.4180
27.099608 74.503 75.5598
27.465819 74.249 74.1533
27.832030 74.032 72.9842
28.198241 73.780 71.6635
28.564452 73.473 70.7964
28.930663 73.170 70.2639
29.296874 72.805 70.0004
29.663085 72.437 70.3589
30.029296 72.125 70.7456
30.395507 71.826 71.4061
30.761717 71.647 72.7495
31.127928 71.597 74.3001
31.494139 71.668 76.2550
31.860350 71.953 77.9325
32.226561 72.362 78.5632
32.592772 72.856 78.4079
32.958983 73.404 77.1334
33.325194 73.890 74.9017
33.691405 74.325 72.0952
34.057616 74.711 68.5078
34.423827 75.008 64.5154
34.790037 75.256 60.4304
35.156248 75.427 56.1241
35.522459 75.485 51.9406
35.888670 75.477 47.9477
36.254881 75.382 44.0494
36.621092 75.195 40.6551
36.987303 74.951 37.7603
37.353514 74.611 35.2704
37.719725 74.194 33.4439
38.085936 73.747 32.0343
38.452147 73.237 31.0474
38.818357 72.709 30.7110
39.184568 72.178 30.6223
39.550779 71.614 30.8932
39.916990 71.094 31.5647
40.283201 70.611 32.3094
40.649412 70.157 33.6010
41.015623 69.797 35.2938
41.381834 69.471 37.1690
41.748045 69.217 39.5766
42.114256 69.079 41.9806
42.480467 68.992 44.4955
42.846677 69.014 47.2618
43.212888 69.103 49.7062
43.579099 69.213 52.1593
43.945310 69.409 54.4046
44.311521 69.631 56.2671
44.677732 69.901 58.2485
45.043943 70.252 60.0076
45.410154 70.623 61.6109
45.776365 71.075 63.1456
46.142576 71.598 64.1349
46.508786 72.157 64.7693
46.874997 72.784 64.9138
47.241208 73.414 64.3105
47.607419 74.029 63.1690
47.973630 74.638 61.3115
48.339841 75.199 58.7802
48.706052 75.719 55.8430
49.072263 76.199 52.4077
49.438474 76.607 48.6105
49.804685 76.966 44.5978
50.170896 77.273 40.2884
50.537106 77.515 35.8730
50.903317 77.710 31.4351
51.269528 77.846 26.8865
51.635739 77.918 22.3697
52.001950 77.951 17.8796
52.368161 77.933 13.3718
52.734372 77.868 9.0072
53.100583 77.775 4.7180
53.466794 77.640 0.4570
53.833005 77.479 -3.6553
54.199216 77.310 -7.7227
54.565426 77.116 -11.7292
54.931637 76.912 -15.5959
55.297848 76.703 -19.4980
55.664059 76.478 -23.3998
56.030270 76.259 -27.2579
56.396481 76.043 -31.2211
56.762692 75.813 -35.1912
57.128903 75.589 -39.2042
57.495114 75.358 -43.4067
57.861325 75.114 -47.6514
58.227536 74.873 -52.0026
58.593746 74.604 -56.5588
58.959957 74.304 -61.2066
59.326168 73.985 -66.1317
59.692379 73.615 -71.4146
60.058590 73.204 -76.9608
60.424801 72.757 -83.0372
60.791012 72.247 -89.7452
61.157223 71.706 -97.0950
61.523434 71.162 -105.4062
61.889645 70.612 -114.6401
62.255856 70.120 -124.6713
62.622066 69.725 -135.6508
62.988277 69.436 -147.2122
63.354488 69.304 -158.8573
63.720699 69.318 -170.4354
64.086910 69.408 178.4828
64.453121 69.576 168.1309
64.819332 69.780 158.3112
65.185543 69.967 149.1946
65.551754 70.145 140.8148
65.917965 70.289 132.8519
66.284176 70.368 125.3921
66.650386 70.417 118.4161
67.016597 70.416 111.6981
67.382808 70.346 105.4124
67.749019 70.234 99.4813
68.115230 70.061 93.6802
68.481441 69.819 88.2200
68.847652 69.542 83.0079
69.213863 69.188 77.9115
69.580074 68.755 73.1548
69.946285 68.267 68.5193
70.312495 67.676 63.9456
70.678706 66.988 59.7321
71.044917 66.200 55.6188
71.411128 65.226 51.6748
71.777339 64.064 48.1801
72.143550 62.656 44.7825
72.509761 60.817 42.0004
72.875972 58.409 40.6564
73.242183 54.888 41.6530
73.608394 48.755 54.9244
73.974605 44.628 136.3503
74.340815 52.676 174.5179
74.707026 57.622 179.2313
75.073237 60.855 178.7744
75.439448 63.314 177.0554
75.805659 65.295 174.3957
76.171870 66.922 171.4753
76.538081 68.347 168.4108
76.904292 69.599 165.0626
77.270503 70.705 161.7411
77.636714 71.721 158.3687
78.002925 72.633 154.8554
78.369135 73.464 151.3640
78.735346 74.238 147.7783
79.101557 74.942 144.1072
79.467768 75.590 140.4617
79.833979 76.191 136.7224
80.200190 76.731 132.9272
80.566401 77.229 129.1343
80.932612 77.685 125.2633
81.298823 78.090 121.3952
81.665034 78.457 117.5471
82.031245 78.781 113.6541
82.397455 79.062 109.8005
82.763666 79.313 105.9816
83.129877 79.525 102.1712
83.496088 79.699 98.4497
83.862299 79.845 94.7750
84.228510 79.955 91.1391
84.594721 80.037 87.6107
84.960932 80.096 84.1387
85.327143 80.123 80.7413
85.693354 80.126 77.4547
86.059565 80.109 74.2122
86.425775 80.066 71.0560
86.791986 80.006 68.0046
87.158197 79.925 65.0009
87.524408 79.823 62.0998
87.890619 79.707 59.2827
88.256830 79.573 56.5120
88.623041 79.420 53.8622
88.989252 79.257 51.2954
89.355463 79.072 48.8018
89.721674 78.872 46.4440
90.087885 78.660 44.1622
90.454095 78.427 41.9916
90.820306 78.182 39.9860
91.186517 77.923 38.0778
91.552728 77.641 36.3302
91.918939 77.351 34.7571
92.285150 77.047 33.3072
92.651361 76.726 32.0833
93.017572 76.402 31.0568
93.383783 76.062 30.2008
93.749994 75.714 29.6133
94.116205 75.371 29.2183
94.482415 75.022 29.0521
94.848626 74.680 29.1879
95.214837 74.351 29.5105
95.581048 74.024 30.0958
95.947259 73.728 30.9329
96.313470 73.451 31.9178
96.679681 73.200 33.1644
97.045892 72.990 34.5585
97.412103 72.805 36.0385
97.778314 72.661 37.6737
98.144524 72.561 39.2847
98.510735 72.488 40.9163
98.876946 72.461 42.5694
99.243157 72.463 44.0799
99.609368 72.485 45.5540
99.975579 72.544 46.9036
100.341790 72.613 48.0740
100.708001 72.699 49.1976
101.074212 72.804 50.1467
101.440423 72.903 50.9675
101.806634 73.014 51.7276
102.172844 73.127 52.3119
102.539055 73.233 52.8543
102.905266 73.347 53.3521
103.271477 73.454 53.7405
103.637688 73.555 54.1536
104.003899 73.665 54.5116
104.370110 73.767 54.8292
104.736321 73.874 55.2101
105.102532 73.989 55.5408
105.468743 74.100 55.8850
105.834954 74.225 56.2559
106.201164 74.359 56.5496
106.567375 74.500 56.8655
106.933586 74.660 57.1456
107.299797 74.825 57.3298
107.666008 75.000 57.4941
108.032219 75.191 57.5312
108.398430 75.384 57.4554
108.764641 75.586 57.3157
109.130852 75.793 57.0112
109.497063 75.993 56.6036
109.863274 76.198 56.0883
110.229484 76.396 55.4061
110.595695 76.585 54.6511
110.961906 76.771 53.7874
111.328117 76.940 52.8019
111.694328 77.098 51.7719
112.060539 77.247 50.6381
112.426750 77.376 49.4391
112.792961 77.494 48.2288
113.159172 77.599 46.9468
113.525383 77.683 45.6555
113.891594 77.758 44.3636
114.257804 77.817 43.0319
114.624015 77.859 41.7416
114.990226 77.894 40.4669
115.356437 77.911 39.1930
115.722648 77.916 37.9866
116.088859 77.914 36.7953
116.455070 77.898 35.6448
116.821281 77.877 34.5803
117.187492 77.849 33.5377
117.553703 77.809 32.5642
117.919914 77.770 31.6641
118.286124 77.725 30.7876
118.652335 77.676 30.0031
119.018546 77.630 29.2744
119.384757 77.579 28.5735
119.750968 77.528 27.9570
120.117179 77.484 27.3604
120.483390 77.437 26.7993
120.849601 77.395 26.3071
121.215812 77.356 25.8068
121.582023 77.315 25.3408
121.948233 77.284 24.9026
122.314444 77.254 24.4378
122.680655 77.223 24.0125
123.046866 77.201 23.5814
123.413077 77.176 23.1210
123.779288 77.151 22.6884
124.145499 77.133 22.2189
124.511710 77.109 21.7390
124.877921 77.087 21.2822
125.244132 77.066 20.7785
125.610343 77.039 20.2837
125.976553 77.015 19.7935
126.342764 76.986 19.2667
126.708975 76.953 18.7781
127.075186 76.922 18.2853
127.441397 76.884 17.7781
127.807608 76.842 17.3187
128.173819 76.804 16.8456
128.540030 76.758 16.3960
128.906241 76.713 16.0009
129.272452 76.668 15.5929
129.638663 76.616 15.2335
130.004873 76.570 14.9117
130.371084 76.523 14.5886
130.737295 76.475 14.3374
131.103506 76.434 14.1041
131.469717 76.390 13.8808
131.835928 76.351 13.7211
132.202139 76.319 13.5535
132.568350 76.286 13.4158
132.934561 76.262 13.3233
133.300772 76.242 13.2025
133.666983 76.223 13.1141
134.033193 76.215 13.0302
134.399404 76.210 12.9137
134.765615 76.208 12.8316
135.131826 76.215 12.7173
135.498037 76.221 12.5717
135.864248 76.233 12.4388
136.230459 76.252 12.2460
136.596670 76.268 12.0403
136.962881 76.291 11.8264
137.329092 76.314 11.5410
137.695303 76.335 11.2502
138.061513 76.363 10.9216
138.427724 76.386 10.5334
138.793935 76.409 10.1512
139.160146 76.434 9.7110
139.526357 76.451 9.2281
139.892568 76.470 8.7429
140.258779 76.488 8.1920
140.624990 76.498 7.6298
140.991201 76.509 7.0573
141.357412 76.513 6.4230
141.723623 76.511 5.7956
142.089833 76.510 5.1431
142.456044 76.500 4.4534
142.822255 76.484 3.7903
143.188466 76.467 3.0931
143.554677 76.439 2.3845
143.920888 76.409 1.7035
144.287099 76.375 0.9911
144.653310 76.330 0.3054
145.019521 76.284 -0.3548
145.385732 76.232 -1.0369
145.751942 76.172 -1.6696
146.118153 76.113 -2.2868
146.484364 76.045 -2.8979
146.850575 75.973 -3.4398
147.216786 75.901 -3.9775
147.582997 75.820 -4.4853
147.949208 75.741 -4.9269
148.315419 75.662 -5.3669
148.681630 75.577 -5.7450
149.047841 75.497 -6.0718
149.414052 75.415 -6.3989
149.780262 75.332 -6.6536
150.146473 75.257 -6.8833
150.512684 75.179 -7.0979
150.878895 75.104 -7.2394
151.245106 75.037 -7.3874
151.611317 74.968 -7.5117
151.977528 74.908 -7.5873
152.343739 74.854 -7.6877
152.709950 74.799 -7.7484
153.076161 74.755 -7.7968
153.442372 74.712 -7.8831
153.808582 74.672 -7.9340
154.174793 74.644 -8.0112
154.541004 74.614 -8.1149
154.907215 74.591 -8.1937
155.273426 74.574 -8.3330
155.639637 74.554 -8.4890
156.005848 74.542 -8.6472
156.372059 74.533 -8.8749
156.738270 74.521 -9.0992
157.104481 74.515 -9.3558
157.470692 74.506 -9.6804
157.836902 74.496 -9.9971
158.203113 74.491 -10.3698
158.569324 74.479 -10.7828
158.935535 74.468 -11.1885
159.301746 74.457 -11.6669
159.667957 74.437 -12.1622
160.034168 74.420 -12.6641
160.400379 74.398 -13.2306
160.766590 74.369 -13.7836
161.132801 74.342 -14.3626
161.499012 74.305 -14.9927
161.865222 74.265 -15.5969
162.231433 74.225 -16.2402
162.597644 74.173 -16.8995
162.963855 74.121 -17.5302
163.330066 74.064 -18.2114
163.696277 73.998 -18.8811
164.062488 73.932 -19.5327
164.428699 73.860 -20.2235
164.794910 73.779 -20.8721
165.161121 73.700 -21.5237
165.527332 73.611 -22.2005
165.893542 73.518 -22.8228
