* Measurement data measured by REW V5.40 beta 121
* Source: 
* Format: 
* Dated: Aug 12, 2026, 4:19:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 71.2 dB
* Note: ; Minimum phase copy of LX8 Cal file effects included LF tail from 16 Hz at 24 dB/octave No HF tail
* Measurement: LX8-MP
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 0.902 -131.4304
0.732422 0.864 96.4863
1.098633 1.436 -33.1591
1.464844 -0.686 -158.4076
1.831055 2.430 37.8503
2.197266 6.446 -44.4221
2.563477 0.430 -28.1688
2.929688 12.964 -14.6849
3.295899 16.066 -39.4968
3.662110 18.056 -29.4969
4.028321 23.082 -33.1918
4.394532 25.401 -42.0339
4.760743 27.977 -39.5566
5.126954 31.110 -44.4124
5.493164 33.092 -48.9125
5.859375 35.405 -49.6276
6.225586 37.696 -54.1808
6.591797 39.454 -57.4161
6.958008 41.439 -59.5763
7.324219 43.265 -63.7277
7.690430 44.841 -66.6522
8.056641 46.549 -69.5275
8.422852 48.083 -73.3868
8.789063 49.506 -76.3292
9.155274 50.990 -79.5903
9.521485 52.324 -83.2817
9.887696 53.615 -86.3611
10.253907 54.922 -89.8564
10.620118 56.110 -93.4851
10.986329 57.286 -96.7476
11.352540 58.452 -100.4152
11.718751 59.527 -104.0690
12.084962 60.604 -107.5374
12.451173 61.656 -111.3676
12.817384 62.639 -115.1243
13.183595 63.630 -118.8192
13.549806 64.590 -122.8389
13.916017 65.496 -126.7704
14.282228 66.413 -130.6980
14.648439 67.301 -134.8921
15.014650 68.167 -138.8846
15.380861 69.141 -143.0524
15.747072 70.161 -148.8093
16.113283 70.935 -156.2670
16.479493 71.295 -163.4739
16.845704 71.452 -168.2722
17.211915 71.811 -171.2378
17.578126 72.367 -174.7717
17.944337 72.868 -178.9365
18.310548 73.337 177.3218
18.676759 73.893 173.7156
19.042970 74.525 169.5691
19.409181 75.173 164.4829
19.775392 75.729 158.3271
20.141603 76.096 151.7106
20.507814 76.301 145.3535
20.874025 76.399 139.4575
21.240236 76.421 134.1051
21.606447 76.409 129.3306
21.972658 76.386 125.0278
22.338869 76.377 121.1697
22.705080 76.419 117.5049
23.071291 76.489 113.6218
23.437502 76.536 109.4773
23.803713 76.536 105.1808
24.169924 76.468 100.8743
24.536135 76.340 96.7836
24.902346 76.174 92.9041
25.268557 75.958 89.2112
25.634768 75.691 85.9012
26.000979 75.403 83.0317
26.367190 75.107 80.5776
26.733401 74.824 78.5087
27.099612 74.558 76.6206
27.465823 74.284 74.8972
27.832033 74.006 73.4675
