* Measurement data measured by REW V5.40 beta 121
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Aug 12, 2026, 4:18:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 71.2 dB
* Note: ; Trace Arithmetic A times B A = L120 [FDW8] B = X801 
* Measurement: LX8
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 61.150 -140.0128
15.380859 68.768 -155.3852
15.747070 70.738 -165.3850
16.113281 70.884 -165.2767
16.479492 71.296 -165.7937
16.845703 71.461 -171.5092
17.211914 71.711 -176.1552
17.578125 72.388 179.1132
17.944336 72.865 173.6483
18.310547 73.277 168.7803
18.676758 73.882 162.5242
19.042968 74.490 155.8914
19.409179 75.152 150.9069
19.775390 75.760 146.6103
20.141601 76.098 143.0716
20.507812 76.303 140.4333
20.874023 76.418 137.7173
21.240234 76.407 135.3701
21.606445 76.403 133.2198
21.972656 76.381 130.2552
22.338867 76.344 126.8105
22.705077 76.408 122.7755
23.071288 76.486 118.1644
23.437499 76.527 113.7976
23.803710 76.550 109.3730
24.169921 76.469 104.7347
24.536132 76.330 100.4173
24.902343 76.184 96.2110
25.268554 75.952 92.3187
25.634765 75.680 89.0501
26.000976 75.399 85.8344
26.367187 75.078 82.8957
26.733397 74.805 80.5209
27.099608 74.553 78.3399
27.465819 74.260 76.7106
27.832030 73.997 75.4356
28.198241 73.719 74.0945
28.564452 73.436 73.2589
28.930663 73.208 72.7263
29.296874 72.948 72.3996
29.663085 72.700 72.6217
30.029296 72.516 72.7670
30.395507 72.352 73.0143
30.761717 72.304 73.6103
31.127928 72.340 73.9916
31.494139 72.411 74.4127
31.860350 72.586 74.5241
32.226561 72.804 73.9035
32.592772 73.062 73.0315
32.958983 73.375 71.6443
33.325194 73.649 69.7455
33.691405 73.900 67.6301
34.057616 74.140 64.9580
34.423827 74.320 62.0253
34.790037 74.481 59.1388
35.156248 74.594 56.0642
35.522459 74.616 53.1067
35.888670 74.606 50.2765
36.254881 74.541 47.3990
36.621092 74.414 44.8943
36.987303 74.259 42.6891
37.353514 74.029 40.6470
37.719725 73.741 39.0386
38.085936 73.442 37.6024
38.452147 73.090 36.4330
38.818357 72.726 35.8247
39.184568 72.351 35.4064
39.550779 71.933 35.3435
39.916990 71.545 35.6727
40.283201 71.175 36.0854
40.649412 70.817 37.0389
41.015623 70.529 38.3441
41.381834 70.251 39.7643
41.748045 70.025 41.6172
42.114256 69.894 43.4238
42.480467 69.803 45.3456
42.846677 69.810 47.5657
43.212888 69.883 49.5442
43.579099 69.984 51.5581
