* Measurement data measured by REW V5.40 beta 121
* Source: 
* Format: 
* Dated: Aug 12, 2026, 4:15:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Copy of R 120.Rscreen.orig
* Measurement: R120 [FDW8]
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 68.703 -160.6821
15.123451 68.874 -161.9742
15.233042 69.082 -163.1695
15.343426 69.295 -164.3097
15.454611 69.506 -165.4137
15.566602 69.716 -166.4618
15.679404 69.919 -167.4993
15.793023 70.114 -168.5664
15.907466 70.302 -169.6407
16.022738 70.481 -170.7463
16.138845 70.650 -171.9184
16.255794 70.811 -173.1521
16.373590 70.963 -174.4500
16.492240 71.105 -175.8263
16.611750 71.240 -177.2888
16.732125 71.367 -178.8325
16.853373 71.487 179.5518
16.975500 71.602 177.8533
17.098511 71.713 176.0768
17.222414 71.819 174.2491
17.347215 71.923 172.3600
17.472920 72.026 170.4146
17.599536 72.127 168.4485
17.727069 72.229 166.4488
17.855527 72.330 164.4267
17.984915 72.434 162.4176
18.115241 72.540 160.4064
18.246512 72.648 158.4099
18.378734 72.758 156.4540
18.511914 72.870 154.5249
18.646058 72.984 152.6387
18.781175 73.101 150.8060
18.917272 73.218 149.0178
19.054354 73.336 147.2825
19.192430 73.454 145.5989
19.331506 73.571 143.9618
19.471590 73.686 142.3679
19.612689 73.799 140.8135
19.754811 73.908 139.2920
19.897962 74.015 137.7959
20.042151 74.119 136.3228
20.187385 74.220 134.8640
20.333671 74.318 133.4161
20.481017 74.414 131.9744
20.629431 74.508 130.5325
20.778920 74.601 129.0896
20.929493 74.694 127.6385
21.081157 74.787 126.1785
21.233919 74.881 124.7047
21.387789 74.975 123.2119
21.542774 75.070 121.6997
21.698882 75.164 120.1581
21.856121 75.259 118.5876
22.014499 75.352 116.9812
22.174025 75.444 115.3333
22.334708 75.533 113.6448
22.496554 75.617 111.9052
22.659573 75.697 110.1193
22.823774 75.771 108.2857
22.989164 75.839 106.4006
23.155753 75.899 104.4780
23.323549 75.952 102.5059
23.492562 75.998 100.5097
23.662798 76.037 98.4764
23.834269 76.069 96.4319
24.006982 76.094 94.3702
24.180946 76.113 92.3086
24.356171 76.127 90.2493
24.532666 76.136 88.1994
24.710440 76.142 86.1650
24.889502 76.145 84.1457
25.069862 76.147 82.1456
25.251528 76.148 80.1609
25.434511 76.150 78.1897
25.618820 76.153 76.2281
25.804465 76.158 74.2683
25.991454 76.165 72.3070
26.179799 76.175 70.3333
26.369509 76.186 68.3449
26.560593 76.198 66.3302
26.753062 76.211 64.2897
26.946926 76.223 62.2132
27.142194 76.233 60.1054
27.338878 76.240 57.9573
27.536987 76.240 55.7795
27.736531 76.234 53.5634
27.937521 76.219 51.3256
28.139968 76.193 49.0589
28.343882 76.156 46.7826
28.549273 76.105 44.4943
28.756153 76.040 42.2064
28.964532 75.960 39.9269
29.174421 75.865 37.6578
29.385831 75.755 35.4153
29.598773 75.629 33.1952
29.813258 75.490 31.0120
30.029297 75.336 28.8636
30.246902 75.170 26.7568
30.466083 74.992 24.6935
30.686853 74.805 22.6747
30.909222 74.609 20.7024
31.133203 74.407 18.7772
31.358807 74.199 16.8987
31.586046 73.986 15.0662
31.814932 73.768 13.2820
32.045476 73.547 11.5415
32.277691 73.324 9.8460
32.511588 73.097 8.1952
32.747180 72.867 6.5846
32.984480 72.634 5.0159
33.223499 72.397 3.4862
33.464250 72.156 1.9932
33.706746 71.909 0.5382
33.950999 71.659 -0.8805
34.197022 71.402 -2.2626
34.444828 71.138 -3.6049
34.694429 70.867 -4.9065
34.945839 70.589 -6.1649
35.199071 70.303 -7.3700
35.454138 70.007 -8.5047
35.711054 69.703 -9.5596
35.969831 69.391 -10.5280
36.230483 69.074 -11.3998
36.493024 68.751 -12.1669
36.757467 68.424 -12.8224
37.023827 68.095 -13.3597
37.292117 67.766 -13.7778
37.562351 67.440 -14.0859
37.834543 67.118 -14.2927
38.108708 66.804 -14.4115
38.384859 66.497 -14.4661
38.663012 66.200 -14.4833
38.943180 65.911 -14.4835
39.225378 65.629 -14.4861
39.509622 65.354 -14.5092
39.795925 65.083 -14.5594
40.084302 64.814 -14.6307
40.374770 64.548 -14.7114
40.667342 64.285 -14.7831
40.962034 64.031 -14.8218
41.258862 63.791 -14.8010
41.557841 63.574 -14.7079
41.858986 63.391 -14.5449
42.162313 63.252 -14.3356
42.467839 63.169 -14.1304
42.775578 63.150 -14.0142
43.085548 63.196 -14.0930
43.397763 63.304 -14.4778
43.712242 63.465 -15.2721
44.028998 63.665 -16.5635
44.348051 63.890 -18.4182
44.669415 64.124 -20.8809
44.993108 64.353 -23.9774
45.319147 64.565 -27.7184
45.647548 64.753 -32.1038
45.978329 64.911 -37.1285
46.311507 65.040 -42.7826
46.647099 65.140 -49.0492
46.985123 65.218 -55.9023
47.325597 65.279 -63.3022
47.668537 65.332 -71.1925
48.013963 65.382 -79.5000
48.361892 65.435 -88.1371
48.712342 65.494 -97.0104
49.065332 65.558 -106.0309
49.420880 65.625 -115.1212
49.779004 65.689 -124.2252
50.139723 65.747 -133.3097
50.503056 65.796 -142.3566
50.869022 65.838 -151.3568
51.237640 65.874 -160.2967
51.608929 65.910 -169.1475
51.982909 65.955 -177.8566
52.359598 66.012 173.6547
52.739018 66.086 165.4866
53.121186 66.178 157.7486
53.506124 66.285 150.5464
53.893852 66.401 143.9688
54.284389 66.521 138.0805
54.677756 66.640 132.9217
55.073973 66.757 128.5074
55.473062 66.872 124.8320
55.875043 66.991 121.8702
56.279936 67.124 119.5769
56.687764 67.280 117.8852
57.098547 67.473 116.7029
57.512306 67.712 115.9138
57.929064 68.006 115.3839
58.348842 68.358 114.9685
58.771662 68.764 114.5272
59.197546 69.219 113.9369
59.626515 69.710 113.1028
60.058594 70.225 111.9626
60.493803 70.750 110.4866
60.932166 71.273 108.6703
61.373706 71.783 106.5268
61.818445 72.272 104.0831
62.266407 72.731 101.3759
62.717615 73.156 98.4464
63.172093 73.544 95.3367
63.629864 73.890 92.0922
64.090952 74.194 88.7588
64.555381 74.455 85.3793
65.023176 74.672 81.9941
65.494361 74.847 78.6465
65.968960 74.980 75.3784
66.446998 75.073 72.2245
66.928501 75.130 69.2228
67.413492 75.153 66.4099
67.901998 75.147 63.8163
68.394044 75.118 61.4721
68.889655 75.073 59.4032
69.388858 75.018 57.6270
69.891679 74.964 56.1519
70.398142 74.921 54.9723
70.908276 74.899 54.0677
71.422107 74.909 53.3942
71.939661 74.960 52.8886
72.460965 75.058 52.4699
72.986047 75.205 52.0389
73.514934 75.401 51.5004
74.047654 75.640 50.7576
74.584234 75.912 49.7379
75.124702 76.207 48.3839
75.669086 76.511 46.6658
76.217416 76.812 44.5747
76.769719 77.099 42.1201
77.326024 77.361 39.3284
77.886360 77.590 36.2332
78.450757 77.780 32.8799
79.019243 77.923 29.3124
79.591849 78.016 25.5844
80.168605 78.055 21.7429
80.749539 78.039 17.8422
81.334684 77.965 13.9318
81.924068 77.833 10.0610
82.517724 77.642 6.2819
83.115681 77.393 2.6407
83.717972 77.086 -0.8110
84.324627 76.724 -4.0226
84.935678 76.306 -6.9414
85.551157 75.837 -9.5081
86.171096 75.320 -11.6587
86.795527 74.759 -13.3203
87.424483 74.162 -14.4116
88.057997 73.541 -14.8461
88.696102 72.912 -14.5358
89.338830 72.298 -13.4065
89.986216 71.728 -11.4238
90.638293 71.239 -8.6228
91.295096 70.865 -5.1353
91.956658 70.635 -1.1981
92.623013 70.561 2.8830
93.294198 70.636 6.8006
93.970246 70.835 10.3168
94.651193 71.127 13.2968
95.337075 71.482 15.7026
96.027927 71.873 17.5646
96.723785 72.283 18.9476
97.424685 72.701 19.9247
98.130664 73.121 20.5621
98.841760 73.543 20.9116
99.558008 73.965 21.0081
100.279446 74.389 20.8702
101.006112 74.817 20.5034
101.738044 75.249 19.9033
102.475280 75.683 19.0613
103.217858 76.119 17.9677
103.965817 76.555 16.6139
104.719197 76.986 14.9952
105.478035 77.410 13.1111
106.242372 77.821 10.9662
107.012248 78.218 8.5695
107.787703 78.596 5.9330
108.568777 78.950 3.0717
109.355511 79.279 0.0038
110.147947 79.580 -3.2521
110.946124 79.850 -6.6758
111.750085 80.086 -10.2464
112.559873 80.288 -13.9423
113.375528 80.453 -17.7420
114.197094 80.579 -21.6230
115.024613 80.668 -25.5625
115.858129 80.717 -29.5378
116.697684 80.726 -33.5259
117.543324 80.697 -37.5039
118.395091 80.628 -41.4492
119.253031 80.523 -45.3392
120.117188 80.381 -49.1518
120.987606 80.204 -52.8663
121.864332 79.995 -56.4637
122.747411 79.755 -59.9259
123.636890 79.488 -63.2371
124.532814 79.196 -66.3830
125.435230 78.881 -69.3516
126.344185 78.547 -72.1321
127.259727 78.197 -74.7151
128.181904 77.832 -77.0910
129.110763 77.457 -79.2502
130.046352 77.074 -81.1827
130.988722 76.688 -82.8773
131.937920 76.302 -84.3231
132.893997 75.922 -85.5112
133.857001 75.555 -86.4380
134.826984 75.207 -87.1095
135.803996 74.887 -87.5450
136.788088 74.604 -87.7815
137.779311 74.363 -87.8741
138.777717 74.170 -87.8942
139.783357 74.027 -87.9241
140.796285 73.931 -88.0474
141.816553 73.876 -88.3393
142.844214 73.856 -88.8594
143.879322 73.860 -89.6476
144.921931 73.877 -90.7247
145.972095 73.900 -92.0937
147.029869 73.918 -93.7451
148.095308 73.924 -95.6611
149.168468 73.915 -97.8199
150.249404 73.886 -100.1993
151.338173 73.832 -102.7786
152.434832 73.753 -105.5394
153.539437 73.645 -108.4671
154.652047 73.508 -111.5506
155.772720 73.340 -114.7813
156.901513 73.140 -118.1528
158.038486 72.905 -121.6596
159.183698 72.635 -125.2976
160.337209 72.327 -129.0645
161.499079 71.980 -132.9590
162.669367 71.593 -136.9838
163.848137 71.164 -141.1453
165.035448 70.692 -145.4572
166.231363 70.174 -149.9425
167.435944 69.611 -154.6372
168.649254 69.000 -159.5940
169.871356 68.339 -164.8875
171.102314 67.628 -170.6211
172.342191 66.866 -176.9346
173.591054 66.057 175.9868
174.848966 65.209 167.8999
176.115994 64.344 158.5056
177.392203 63.509 147.4753
178.677660 62.784 134.5465
179.972432 62.285 119.7394
181.276587 62.131 103.6068
182.590191 62.381 87.2339
183.913315 62.984 71.7686
185.246027 63.820 57.8911
186.588396 64.763 45.7264
187.940492 65.721 35.0765
189.302387 66.642 25.6501
190.674150 67.496 17.1782
192.055853 68.274 9.4480
193.447569 68.973 2.3016
194.849370 69.593 -4.3752
196.261329 70.140 -10.6648
197.683519 70.618 -16.6266
199.116016 71.034 -22.3036
200.558892 71.391 -27.7292
202.012225 71.696 -32.9304
203.476089 71.954 -37.9298
204.950560 72.169 -42.7469
206.435716 72.345 -47.3997
207.931635 72.484 -51.9052
209.438393 72.591 -56.2789
210.956070 72.668 -60.5347
212.484745 72.715 -64.6848
214.024497 72.735 -68.7393
215.575406 72.727 -72.7052
217.137555 72.690 -76.5862
218.711023 72.625 -80.3815
220.295893 72.531 -84.0859
221.892248 72.406 -87.6888
223.500171 72.251 -91.1748
225.119745 72.063 -94.5217
226.751056 71.843 -97.7009
228.394187 71.591 -100.6786
230.049226 71.310 -103.4158
231.716257 71.004 -105.8699
233.395369 70.678 -107.9977
235.086648 70.340 -109.7610
236.790182 70.003 -111.1311
238.506062 69.677 -112.0970
240.234375 69.380 -112.6748
241.975212 69.125 -112.9139
243.728664 68.925 -112.8989
245.494823 68.790 -112.7430
247.273780 68.720 -112.5745
249.065627 68.713 -112.5170
250.870459 68.757 -112.6727
252.688370 68.842 -113.1112
254.519454 68.950 -113.8661
256.363807 69.070 -114.9406
258.221525 69.189 -116.3152
260.092705 69.299 -117.9569
261.977444 69.392 -119.8267
263.875840 69.465 -121.8843
265.787993 69.513 -124.0928
267.714003 69.535 -126.4192
269.653969 69.530 -128.8353
271.607992 69.497 -131.3174
273.576176 69.436 -133.8440
275.558622 69.344 -136.3943
277.555433 69.222 -138.9469
279.566714 69.068 -141.4780
281.592570 68.880 -143.9594
