* Measurement data measured by REW V5.40 beta 121
* Source: RMS + phase average
* Format: RMS + phase average
* Dated: Aug 12, 2026, 4:20:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 68.9 dB
* Note: ; RMS + phase average of LX8, RX8
* Measurement: RMS8 + phase average8
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 62.059 -141.2430
15.380859 67.987 -155.8687
15.747070 70.744 -164.1224
16.113281 70.842 -165.2763
16.479492 71.164 -166.0807
16.845703 71.530 -171.6405
17.211914 71.644 -177.3025
17.578125 72.276 177.9951
17.944336 72.725 172.5624
18.310547 72.959 167.4870
18.676758 73.477 162.0896
19.042968 73.946 155.9074
19.409179 74.445 151.2828
19.775390 74.982 147.5635
20.141601 75.252 143.7717
20.507812 75.452 140.9025
20.874023 75.641 137.8747
21.240234 75.710 134.7866
21.606445 75.818 132.3740
21.972656 75.906 129.1329
22.338867 75.946 125.4243
22.705077 76.079 121.6681
23.071288 76.202 117.1385
23.437499 76.270 112.9315
23.803710 76.327 108.8433
24.169921 76.299 104.1886
24.536132 76.227 100.0358
24.902343 76.174 95.9766
25.268554 76.065 91.9374
25.634765 75.924 88.6519
26.000976 75.806 85.1323
26.367187 75.666 81.6358
26.733397 75.561 78.6931
27.099608 75.493 75.5048
27.465819 75.368 72.6421
27.832030 75.251 69.9856
28.198241 75.135 66.9005
28.564452 74.966 64.2710
28.930663 74.819 61.8290
29.296874 74.627 59.3395
29.663085 74.370 57.4298
30.029296 74.156 55.4297
30.395507 73.915 53.5641
30.761717 73.684 52.3914
31.127928 73.520 51.1830
31.494139 73.320 50.3093
31.860350 73.181 49.6968
32.226561 73.114 48.7004
32.592772 73.037 48.0328
32.958983 73.040 47.3300
33.325194 73.042 46.2267
33.691405 73.011 45.2292
34.057616 73.044 43.7390
34.423827 73.034 41.9954
34.790037 73.005 40.4803
35.156248 72.991 38.6154
35.522459 72.877 36.7765
35.888670 72.756 35.0603
36.254881 72.630 33.0944
36.621092 72.413 31.5242
36.987303 72.207 30.2057
37.353514 71.943 28.8221
37.719725 71.600 27.8528
38.085936 71.302 26.9103
38.452147 70.940 26.0911
38.818357 70.555 25.8640
39.184568 70.209 25.5942
39.550779 69.777 25.5246
39.916990 69.395 25.8003
40.283201 69.060 25.9413
40.649412 68.676 26.6744
41.015623 68.400 27.7298
41.381834 68.126 28.7072
41.748045 67.862 30.2167
42.114256 67.757 31.5512
42.480467 67.654 32.9728
42.846677 67.644 34.8152
43.212888 67.747 36.1077
43.579099 67.827 37.3753
43.945310 68.037 38.3391
44.311521 68.305 38.6094
44.677732 68.567 39.0427
45.043943 68.928 39.0243
45.410154 69.262 38.5641
45.776365 69.603 38.1204
46.142576 70.009 37.0993
46.508786 70.367 36.0492
46.874997 70.747 35.1296
47.241208 71.136 33.8077
47.607419 71.466 32.5644
47.973630 71.823 31.2209
48.339841 72.157 29.6323
48.706052 72.444 28.3462
49.072263 72.743 26.9684
49.438474 72.985 25.4251
49.804685 73.195 24.0261
50.170896 73.402 22.4070
50.537106 73.546 20.8275
50.903317 73.674 19.4388
51.269528 73.778 17.7683
51.635739 73.822 16.0656
52.001950 73.865 14.3304
52.368161 73.875 12.3281
52.734372 73.843 10.4438
53.100583 73.815 8.4178
53.466794 73.740 5.9977
53.833005 73.645 3.5487
54.199216 73.553 0.8051
54.565426 73.417 -2.2061
54.931637 73.278 -5.2156
55.297848 73.126 -8.7732
55.664059 72.936 -12.7619
56.030270 72.757 -16.9166
56.396481 72.561 -21.7372
56.762692 72.341 -26.9555
57.128903 72.131 -32.7408
57.495114 71.900 -39.9130
57.861325 71.669 -48.0324
58.227536 71.445 -57.4880
58.593746 71.219 -69.4093
58.959957 71.006 -83.6682
59.326168 70.804 -100.6680
59.692379 70.640 -119.6039
60.058590 70.487 -137.5759
60.424801 70.377 -153.3553
60.791012 70.331 -166.9629
61.157223 70.302 -178.0435
61.523434 70.347 173.0895
61.889645 70.438 165.2995
62.255856 70.548 158.5088
62.622066 70.723 152.6226
62.988277 70.917 147.0075
63.354488 71.116 142.0572
63.720699 71.341 137.5717
64.086910 71.549 133.0519
64.453121 71.747 128.9893
64.819332 71.952 125.1100
65.185543 72.124 121.2773
65.551754 72.271 117.9065
65.917965 72.404 114.5250
66.284176 72.500 111.2274
66.650386 72.580 108.3142
67.016597 72.646 105.3777
67.382808 72.668 102.7136
67.749019 72.676 100.3365
68.115230 72.669 97.9001
68.481441 72.631 95.8305
68.847652 72.598 93.9924
69.213863 72.546 92.2464
69.580074 72.472 90.9522
69.946285 72.414 89.7631
70.312495 72.345 88.7670
70.678706 72.285 88.2460
71.044917 72.254 87.8320
71.411128 72.215 87.7742
71.777339 72.207 88.0570
72.143550 72.234 88.3499
72.509761 72.276 89.0238
72.875972 72.371 89.8538
73.242183 72.491 90.6823
73.608394 72.632 91.7534
73.974605 72.823 92.6389
74.340815 73.029 93.4301
74.707026 73.264 94.2531
75.073237 73.527 94.7488
75.439448 73.785 95.1581
75.805659 74.061 95.3739
76.171870 74.342 95.2031
76.538081 74.616 94.9675
76.904292 74.898 94.4830
77.270503 75.163 93.7535
77.636714 75.415 92.9760
78.002925 75.665 91.9045
78.369135 75.891 90.7024
78.735346 76.108 89.4716
79.101557 76.313 88.0292
79.467768 76.488 86.5764
79.833979 76.654 85.0511
80.200190 76.803 83.3630
80.566401 76.928 81.7352
80.932612 77.047 80.0463
81.298823 77.140 78.2986
81.665034 77.212 76.6207
82.031245 77.279 74.8474
82.397455 77.320 73.0869
82.763666 77.350 71.4099
83.129877 77.370 69.6742
83.496088 77.361 68.0082
83.862299 77.347 66.3749
84.228510 77.322 64.6987
84.594721 77.274 63.1425
84.960932 77.226 61.6165
85.327143 77.158 60.0985
85.693354 77.073 58.6931
86.059565 76.992 57.2767
86.425775 76.890 55.9219
86.791986 76.781 54.6978
87.158197 76.670 53.4750
87.524408 76.536 52.3481
87.890619 76.405 51.3058
88.256830 76.270 50.2729
88.623041 76.117 49.3932
88.989252 75.974 48.5941
89.355463 75.817 47.8347
89.721674 75.651 47.2223
90.087885 75.499 46.6462
90.454095 75.332 46.1653
90.820306 75.170 45.8536
91.186517 75.016 45.5712
91.552728 74.844 45.4084
91.918939 74.692 45.3569
92.285150 74.544 45.3321
92.651361 74.390 45.4821
93.017572 74.261 45.7133
93.383783 74.126 45.9816
93.749994 73.996 46.3938
94.116205 73.895 46.8131
94.482415 73.788 47.3160
94.848626 73.703 47.9510
95.214837 73.635 48.5596
95.581048 73.560 49.2548
95.947259 73.520 49.9812
96.313470 73.489 50.6714
96.679681 73.464 51.4769
97.045892 73.472 52.2556
97.412103 73.476 53.0092
97.778314 73.497 53.8130
98.144524 73.546 54.5157
98.510735 73.591 55.2413
98.876946 73.663 55.9818
99.243157 73.745 56.6124
99.609368 73.823 57.2632
99.975579 73.931 57.8329
100.341790 74.041 58.3141
100.708001 74.157 58.8312
101.074212 74.296 59.2368
101.440423 74.423 59.5868
101.806634 74.564 59.9105
102.172844 74.720 60.0929
102.539055 74.867 60.2688
102.905266 75.032 60.3958
103.271477 75.195 60.4049
103.637688 75.352 60.4036
104.003899 75.527 60.2935
104.370110 75.695 60.1028
104.736321 75.864 59.9133
105.102532 76.043 59.6121
105.468743 76.206 59.2605
105.834954 76.376 58.8655
106.201164 76.550 58.3543
106.567375 76.713 57.8328
106.933586 76.884 57.2604
107.299797 77.045 56.5965
107.666008 77.198 55.9173
108.032219 77.360 55.1541
108.398430 77.510 54.3333
108.764641 77.656 53.5124
109.130852 77.804 52.6123
109.497063 77.934 51.6749
109.863274 78.068 50.7114
110.229484 78.197 49.6725
110.595695 78.313 48.6317
110.961906 78.431 47.5679
111.328117 78.537 46.4437
111.694328 78.634 45.3177
112.060539 78.733 44.1516
112.426750 78.818 42.9536
112.792961 78.897 41.7757
113.159172 78.975 40.5590
113.525383 79.034 39.3225
113.891594 79.095 38.0952
114.257804 79.149 36.8317
114.624015 79.189 35.5835
114.990226 79.231 34.3501
115.356437 79.260 33.0822
115.722648 79.279 31.8356
116.088859 79.301 30.5917
116.455070 79.308 29.3356
116.821281 79.312 28.1270
117.187492 79.312 26.9111
117.553703 79.297 25.6898
117.919914 79.284 24.5127
118.286124 79.265 23.3248
118.652335 79.234 22.1672
119.018546 79.205 21.0552
119.384757 79.166 19.9204
119.750968 79.120 18.8275
120.117179 79.079 17.7657
120.483390 79.024 16.6990
120.849601 78.968 15.7017
121.215812 78.910 14.7111
121.582023 78.841 13.7201
121.948233 78.777 12.7988
122.314444 78.708 11.8727
122.680655 78.630 10.9850
123.046866 78.557 10.1593
123.413077 78.476 9.3063
123.779288 78.391 8.5091
124.145499 78.313 7.7535
124.511710 78.224 6.9882
124.877921 78.137 6.3063
125.244132 78.049 5.6273
125.610343 77.955 4.9459
125.976553 77.867 4.3490
126.342764 77.775 3.7379
126.708975 77.679 3.1696
127.075186 77.589 2.6676
127.441397 77.492 2.1240
127.807608 77.396 1.6479
128.173819 77.307 1.2111
128.540030 77.209 0.7550
128.906241 77.117 0.3935
129.272452 77.025 0.0200
129.638663 76.927 -0.3574
130.004873 76.840 -0.6415
130.371084 76.750 -0.9574
130.737295 76.658 -1.2245
131.103506 76.573 -1.4297
131.469717 76.484 -1.6944
131.835928 76.399 -1.8807
132.202139 76.321 -2.0420
132.568350 76.237 -2.2332
132.934561 76.161 -2.3253
133.300772 76.086 -2.4554
133.666983 76.008 -2.5926
134.033193 75.943 -2.6410
134.399404 75.875 -2.7489
134.765615 75.808 -2.8080
135.131826 75.750 -2.8265
135.498037 75.687 -2.9304
135.864248 75.632 -2.9573
136.230459 75.584 -2.9910
136.596670 75.530 -3.0720
136.962881 75.486 -3.0656
137.329092 75.443 -3.1362
137.695303 75.399 -3.2228
138.061513 75.366 -3.2424
138.427724 75.330 -3.3554
138.793935 75.296 -3.4255
139.160146 75.269 -3.4883
139.526357 75.237 -3.6594
139.892568 75.214 -3.7574
140.258779 75.193 -3.8972
140.624990 75.167 -4.0941
140.991201 75.149 -4.2143
141.357412 75.128 -4.4419
141.723623 75.107 -4.6813
142.089833 75.095 -4.8684
142.456044 75.076 -5.1672
142.822255 75.059 -5.4124
143.188466 75.045 -5.6699
143.554677 75.024 -6.0381
143.920888 75.011 -6.3204
144.287099 74.996 -6.6622
144.653310 74.976 -7.0497
145.019521 74.961 -7.3546
145.385732 74.941 -7.7798
145.751942 74.922 -8.1924
146.118153 74.907 -8.5524
146.484364 74.884 -9.0270
146.850575 74.863 -9.4233
147.216786 74.841 -9.8420
147.582997 74.814 -10.3596
147.949208 74.792 -10.7676
148.315419 74.767 -11.2485
148.681630 74.739 -11.7527
149.047841 74.713 -12.1652
149.414052 74.681 -12.7094
149.780262 74.651 -13.2091
150.146473 74.623 -13.6595
150.512684 74.588 -14.2271
150.878895 74.555 -14.6882
151.245106 74.520 -15.1900
151.611317 74.482 -15.7781
151.977528 74.448 -16.2359
152.343739 74.409 -16.7892
152.709950 74.369 -17.3429
153.076161 74.329 -17.8039
153.442372 74.285 -18.4153
153.808582 74.242 -18.9495
154.174793 74.198 -19.4498
154.541004 74.152 -20.0731
154.907215 74.105 -20.5635
155.273426 74.055 -21.1258
155.639637 74.005 -21.7597
156.005848 73.955 -22.2476
156.372059 73.902 -22.8641
156.738270 73.849 -23.4521
157.104481 73.790 -23.9561
157.470692 73.732 -24.6327
157.836902 73.674 -25.1923
158.203113 73.611 -25.7451
158.569324 73.549 -26.4228
158.935535 73.483 -26.9376
159.301746 73.413 -27.5657
159.667957 73.348 -28.2397
160.034168 73.274 -28.7535
160.400379 73.201 -29.4349
160.766590 73.128 -30.0446
161.132801 73.044 -30.5867
161.499012 72.966 -31.3222
161.865222 72.886 -31.8871
