* Measurement data measured by REW V5.40 beta 121
* Source: 
* Format: 
* Dated: Aug 12, 2026, 3:14:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Minimum phase copy of RX Cal file effects included LF tail from 16 Hz at 24 dB/octave No HF tail
* Measurement: RX-MP
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 -0.965 -131.5994
0.732422 -1.006 95.8873
1.098633 -0.317 -33.5017
1.464844 -2.945 -157.4214
1.831055 1.053 33.0174
2.197266 5.427 -42.6678
2.563477 1.659 -26.1915
2.929688 12.484 -16.9415
3.295899 15.682 -38.2415
3.662110 18.033 -30.2147
4.028321 22.747 -34.0345
4.394532 25.160 -41.7601
4.760743 27.802 -40.2703
5.126954 30.825 -44.9490
5.493164 32.874 -49.1206
5.859375 35.188 -50.3335
6.225586 37.436 -54.7054
6.591797 39.236 -57.8901
6.958008 41.208 -60.3146
7.324219 43.018 -64.3306
7.690430 44.620 -67.3083
8.056641 46.312 -70.3287
8.422852 47.843 -74.1016
8.789063 49.281 -77.1352
9.155274 50.752 -80.4775
9.521485 52.089 -84.1237
9.887696 53.387 -87.3058
10.253907 54.683 -90.8470
10.620118 55.877 -94.4642
10.986329 57.056 -97.8295
11.352540 58.214 -101.5231
11.718751 59.295 -105.1917
12.084962 60.372 -108.7581
12.451173 61.418 -112.6010
12.817384 62.409 -116.3917
13.183595 63.397 -120.1744
13.549806 64.353 -124.1897
13.916017 65.267 -128.1599
14.282228 66.178 -132.1462
14.648439 67.063 -136.2743
15.014650 67.938 -140.1864
15.380861 68.927 -144.1143
15.747072 70.035 -149.5143
16.113283 70.978 -157.1810
16.479493 71.484 -165.4443
16.845704 71.690 -171.7935
17.211915 71.992 -176.3540
17.578126 72.409 178.6788
17.944337 72.695 173.3689
18.310548 72.888 168.9640
18.676759 73.135 165.2808
19.042970 73.453 161.7256
19.409181 73.827 157.8923
19.775392 74.171 153.4491
20.141603 74.398 148.9491
20.507814 74.567 145.0145
20.874025 74.752 141.4873
21.240236 74.964 138.1711
21.606447 75.221 134.8689
21.972658 75.498 131.3120
22.338869 75.766 127.5668
22.705080 76.034 123.5757
23.071291 76.264 119.1873
23.437502 76.416 114.6179
23.803713 76.493 110.0983
24.169924 76.496 105.7974
24.536135 76.454 101.9198
24.902346 76.403 98.4014
25.268557 76.343 95.1694
25.634768 76.293 92.3186
26.000979 76.285 89.7183
26.367190 76.328 87.1581
26.733401 76.422 84.4458
27.099612 76.543 81.3203
27.465823 76.645 77.7834
27.832033 76.714 73.9561
28.198244 76.739 69.8329
28.564455 76.699 65.5015
28.930666 76.586 61.0748
29.296877 76.387 56.6648
29.663088 76.100 52.5291
30.029299 75.759 48.8088
30.395510 75.381 45.4844
30.761721 74.980 42.5922
31.127932 74.579 40.0774
31.494143 74.179 37.8699
31.860354 73.793 35.9714
32.226565 73.434 34.2115
32.592776 73.081 32.4763
32.958987 72.724 30.8143
33.325198 72.361 29.2125
33.691409 71.984 27.7460
34.057620 71.611 26.4258
34.423831 71.238 25.0984
34.790042 70.843 23.7987
35.156253 70.425 22.5868
35.522464 69.974 21.4930
35.888675 69.493 20.6691
36.254886 68.996 20.0862
36.621097 68.468 19.7485
36.987308 67.913 19.8765
37.353519 67.358 20.5240
37.719730 66.821 21.7544
38.085941 66.354 23.5161
38.452152 65.970 25.4396
38.818363 65.650 27.3721
39.184573 65.392 29.1539
39.550784 65.155 30.6035
39.916995 64.909 31.8125
40.283206 64.630 32.7466
40.649417 64.259 33.5797
41.015628 63.784 34.7949
41.381839 63.218 36.7318
41.748050 62.587 39.8979
42.114261 61.993 44.6526
42.480472 61.531 50.9287
42.846683 61.319 58.5996
43.212894 61.477 66.7411
43.579105 61.984 74.1914
43.945316 62.765 80.1676
44.311527 63.683 84.1202
44.677738 64.596 86.2827
45.043949 65.447 87.0800
45.410160 66.196 86.8599
45.776371 66.838 86.0322
46.142582 67.386 84.7720
46.508793 67.834 83.2345
46.875004 68.195 81.6702
47.241215 68.495 80.1541
47.607426 68.747 78.7295
47.973637 68.975 77.4121
48.339848 69.189 76.0808
48.706059 69.384 74.7048
49.072270 69.566 73.2603
49.438481 69.730 71.6357
49.804692 69.854 69.8306
50.170902 69.929 67.8982
50.537113 69.941 65.9158
50.903324 69.886 64.0436
51.269535 69.778 62.3821
51.635746 69.621 60.9946
52.001957 69.430 59.9758
52.368168 69.228 59.3374
52.734379 69.030 59.0271
53.100590 68.848 58.9524
53.466801 68.681 58.9827
53.833012 68.515 59.0669
54.199223 68.341 59.2079
54.565434 68.148 59.4285
54.931645 67.928 59.8030
55.297856 67.677 60.4099
55.664067 67.392 61.3813
56.030278 67.085 62.8806
56.396489 66.778 65.0093
56.762700 66.496 67.8557
57.128911 66.278 71.4397
57.495122 66.158 75.6863
57.861333 66.176 80.4601
58.227544 66.364 85.4602
58.593755 66.729 90.3125
58.959966 67.257 94.6613
59.326177 67.908 98.2186
59.692388 68.636 100.8840
60.058599 69.405 102.6534
60.424810 70.181 103.5723
60.791021 70.943 103.7361
61.157232 71.673 103.2307
61.523442 72.358 102.1632
61.889653 72.991 100.6455
62.255864 73.571 98.7552
62.622075 74.095 96.5662
62.988286 74.564 94.1384
63.354497 74.978 91.5183
63.720708 75.336 88.7650
64.086919 75.641 85.9221
64.453130 75.895 83.0205
64.819341 76.098 80.0964
65.185552 76.254 77.1761
65.551763 76.363 74.2898
65.917974 76.426 71.4739
66.284185 76.447 68.7493
66.650396 76.427 66.1392
67.016607 76.370 63.6703
67.382818 76.276 61.3621
67.749029 76.148 59.2454
68.115240 75.991 57.3463
68.481451 75.807 55.6805
68.847662 75.600 54.2749
69.213873 75.373 53.1536
69.580084 75.131 52.3424
69.946295 74.881 51.8763
70.312506 74.630 51.7737
70.678717 74.387 52.0525
71.044928 74.162 52.7307
71.411139 73.968 53.8013
71.777350 73.820 55.2463
72.143561 73.732 57.0161
72.509771 73.719 59.0168
72.875982 73.788 61.1373
73.242193 73.946 63.2380
73.608404 74.187 65.1799
73.974615 74.505 66.8444
74.340826 74.887 68.1211
74.707037 75.315 68.9434
75.073248 75.773 69.2825
75.439459 76.245 69.1317
75.805670 76.718 68.5142
76.171881 77.180 67.4614
76.538092 77.623 66.0083
76.904303 78.040 64.1997
77.270514 78.424 62.0778
77.636725 78.773 59.6848
78.002936 79.084 57.0631
78.369147 79.354 54.2460
78.735358 79.583 51.2681
79.101569 79.769 48.1632
79.467780 79.913 44.9601
79.833991 80.013 41.6899
80.200202 80.070 38.3785
80.566413 80.086 35.0485
80.932624 80.060 31.7252
81.298835 79.993 28.4308
81.665046 79.886 25.1849
82.031257 79.741 22.0098
82.397468 79.559 18.9200
82.763679 79.341 15.9318
83.129890 79.088 13.0625
83.496101 78.803 10.3247
83.862311 78.487 7.7324
84.228522 78.140 5.2981
84.594733 77.765 3.0295
84.960944 77.362 0.9401
85.327155 76.932 -0.9581
85.693366 76.476 -2.6553
86.059577 75.995 -4.1349
86.425788 75.489 -5.3831
86.791999 74.958 -6.3810
87.158210 74.403 -7.0979
87.524421 73.823 -7.5048
87.890632 73.221 -7.5607
88.256843 72.599 -7.2137
88.623054 71.961 -6.4116
88.989265 71.314 -5.0822
89.355476 70.669 -3.1522
89.721687 70.044 -0.5630
90.087898 69.462 2.7323
90.454109 68.951 6.7173
90.820320 68.541 11.3063
91.186531 68.261 16.3396
91.552742 68.128 21.5651
91.918953 68.142 26.7106
92.285164 68.290 31.5209
92.651375 68.544 35.8013
93.017586 68.871 39.4675
93.383797 69.243 42.5021
93.750008 69.633 44.9442
94.116219 70.024 46.8693
94.482430 70.403 48.3507
94.848641 70.763 49.4718
95.214851 71.099 50.3091
95.581062 71.408 50.9248
95.947273 71.692 51.3804
96.313484 71.951 51.7213
96.679695 72.187 51.9852
97.045906 72.403 52.2097
97.412117 72.601 52.4191
97.778328 72.784 52.6354
98.144539 72.957 52.8765
98.510750 73.122 53.1499
98.876961 73.282 53.4639
99.243172 73.441 53.8215
99.609383 73.601 54.2194
99.975594 73.767 54.6545
100.341805 73.939 55.1163
100.708016 74.121 55.5924
101.074227 74.313 56.0709
101.440438 74.516 56.5347
101.806649 74.732 56.9702
102.172860 74.960 57.3623
102.539071 75.199 57.6938
102.905282 75.449 57.9548
103.271493 75.709 58.1331
103.637704 75.977 58.2188
104.003915 76.251 58.2076
104.370126 76.530 58.0925
104.736337 76.812 57.8710
105.102548 77.095 57.5433
105.468759 77.380 57.1082
105.834970 77.662 56.5682
106.201180 77.943 55.9259
106.567391 78.220 55.1825
106.933602 78.492 54.3430
107.299813 78.759 53.4105
107.666024 79.019 52.3887
108.032235 79.273 51.2831
108.398446 79.519 50.0963
108.764657 79.756 48.8330
109.130868 79.986 47.4982
109.497079 80.206 46.0946
109.863290 80.416 44.6272
110.229501 80.617 43.1001
110.595712 80.807 41.5160
110.961923 80.987 39.8800
111.328134 81.156 38.1957
111.694345 81.315 36.4659
112.060556 81.462 34.6957
112.426767 81.598 32.8878
112.792978 81.722 31.0460
113.159189 81.835 29.1748
113.525400 81.935 27.2770
113.891611 82.024 25.3569
114.257822 82.101 23.4186
114.624033 82.165 21.4648
114.990244 82.217 19.5007
115.356455 82.257 17.5298
115.722666 82.285 15.5553
116.088877 82.301 13.5822
116.455088 82.305 11.6136
116.821299 82.296 9.6537
117.187510 82.276 7.7069
117.553720 82.244 5.7764
117.919931 82.200 3.8662
118.286142 82.146 1.9806
118.652353 82.080 0.1221
119.018564 82.003 -1.7048
119.384775 81.916 -3.4967
119.750986 81.819 -5.2511
120.117197 81.712 -6.9641
120.483408 81.596 -8.6329
120.849619 81.471 -10.2551
121.215830 81.338 -11.8268
121.582041 81.197 -13.3466
121.948252 81.049 -14.8119
122.314463 80.894 -16.2200
122.680674 80.733 -17.5706
123.046885 80.566 -18.8616
123.413096 80.394 -20.0914
123.779307 80.218 -21.2610
124.145518 80.038 -22.3690
124.511729 79.856 -23.4161
124.877940 79.671 -24.4041
125.244151 79.484 -25.3324
125.610362 79.295 -26.2039
125.976573 79.106 -27.0208
126.342784 78.917 -27.7839
126.708995 78.727 -28.4977
127.075206 78.537 -29.1638
127.441417 78.348 -29.7838
127.807628 78.159 -30.3628
128.173839 77.970 -30.9010
128.540049 77.782 -31.4005
128.906260 77.594 -31.8651
129.272471 77.405 -32.2932
129.638682 77.216 -32.6862
130.004893 77.026 -33.0457
130.371104 76.835 -33.3672
130.737315 76.643 -33.6519
131.103526 76.449 -33.8978
131.469737 76.254 -34.0984
131.835948 76.057 -34.2540
132.202159 75.857 -34.3589
132.568370 75.656 -34.4052
132.934581 75.454 -34.3931
133.300792 75.251 -34.3135
133.667003 75.047 -34.1586
134.033214 74.844 -33.9298
134.399425 74.642 -33.6157
134.765636 74.443 -33.2114
135.131847 74.249 -32.7218
135.498058 74.059 -32.1346
135.864269 73.879 -31.4518
136.230480 73.707 -30.6841
136.596691 73.547 -29.8224
136.962902 73.402 -28.8779
137.329113 73.271 -27.8701
137.695324 73.157 -26.7936
138.061535 73.064 -25.6704
138.427746 72.990 -24.5275
138.793957 72.935 -23.3618
139.160168 72.903 -22.2019
139.526379 72.890 -21.0765
139.892589 72.895 -19.9810
140.258800 72.920 -18.9423
140.625011 72.961 -17.9841
140.991222 73.015 -17.0959
141.357433 73.084 -16.2982
141.723644 73.162 -15.6053
142.089855 73.247 -15.0010
142.456066 73.340 -14.4978
142.822277 73.436 -14.1014
143.188488 73.534 -13.7930
143.554699 73.635 -13.5790
143.920910 73.733 -13.4589
144.287121 73.830 -13.4144
144.653332 73.924 -13.4490
145.019543 74.014 -13.5583
145.385754 74.100 -13.7272
145.751965 74.181 -13.9568
146.118176 74.257 -14.2416
146.484387 74.326 -14.5696
146.850598 74.390 -14.9406
147.216809 74.448 -15.3492
147.583020 74.500 -15.7871
147.949231 74.546 -16.2529
148.315442 74.586 -16.7424
148.681653 74.620 -17.2501
149.047864 74.648 -17.7739
149.414075 74.671 -18.3112
149.780286 74.689 -18.8588
150.146497 74.701 -19.4139
