* Measurement data measured by REW V5.40 beta 132
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Aug 11, 2026, 3:01:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A times B A = R 120.Rscreen B = X801 
* Measurement: RX
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.197266 28.405 22.2292
2.563477 29.429 80.2698
2.929687 28.895 157.5641
3.295898 29.182 -149.2311
3.662109 29.702 -68.9096
4.028320 28.673 -16.8051
4.394531 30.579 61.8621
4.760742 28.140 119.5063
5.126953 31.271 -169.7713
5.493164 28.164 -100.0128
5.859375 31.603 -42.7697
6.225586 29.212 40.5223
6.591797 31.464 84.3018
6.958007 30.939 176.2218
7.324218 30.793 -146.4647
7.690429 32.699 -53.5154
8.056640 29.715 -11.5548
8.422851 34.129 73.0186
8.789062 29.090 133.1099
9.155273 35.090 -162.4136
9.521484 30.512 -77.8464
9.887695 35.508 -38.2789
10.253906 33.286 58.9999
10.620117 34.649 82.5461
10.986327 35.616 -172.5034
11.352538 32.994 -147.7614
11.718749 37.700 -47.3953
12.084960 31.186 -2.5129
12.451171 39.531 76.1467
12.817382 32.787 161.3884
13.183593 41.222 -160.3943
13.549804 38.785 -48.8606
13.916015 42.936 -34.9355
14.282226 46.365 85.7246
14.648436 44.325 102.5413
15.014647 60.475 -142.3315
15.380858 68.303 -154.9666
15.747069 70.492 -163.0281
16.113280 70.934 -162.2417
16.479491 71.487 -163.3201
16.845702 71.689 -169.7993
17.211913 71.906 -175.8701
17.578124 72.427 178.0215
17.944335 72.695 171.7075
18.310546 72.832 166.5815
18.676756 73.120 160.9341
19.042967 73.414 155.4812
19.409178 73.795 151.8142
19.775389 74.186 148.4121
20.141600 74.375 145.0623
20.507811 74.538 141.9082
20.874022 74.736 138.2097
21.240233 74.921 134.9360
21.606444 75.197 132.2039
21.972655 75.482 129.0435
22.338866 75.731 125.7058
22.705076 76.024 121.8789
23.071287 76.261 117.3767
23.437498 76.405 112.8647
23.803709 76.496 108.1052
24.169920 76.484 103.1189
24.536131 76.430 98.5820
24.902342 76.393 94.3999
25.268553 76.317 90.6887
25.634764 76.259 87.5564
26.000975 76.257 84.3176
26.367186 76.285 80.9988
26.733396 76.394 77.6929
27.099607 76.532 73.9971
27.465818 76.627 70.0957
27.832029 76.710 65.8931
28.198240 76.740 61.2146
28.564451 76.696 56.5925
28.930662 76.599 52.1062
29.296873 76.391 47.6853
29.663084 76.086 43.6348
30.029295 75.747 39.7649
30.395506 75.352 36.1147
30.761716 74.945 33.0249
31.127927 74.551 30.1184
31.494138 74.133 27.3452
31.860349 73.749 24.8320
32.226560 73.405 22.2507
32.592771 73.044 19.9434
32.958982 72.701 17.9541
33.325193 72.336 15.8279
33.691404 71.938 13.8601
34.057615 71.584 11.9165
34.423826 71.211 9.8645
34.790036 70.812 8.1672
35.156247 70.413 6.3811
35.522458 69.936 4.4614
35.888669 69.451 2.8787
36.254880 68.972 1.3379
36.621091 68.419 0.3157
36.987302 67.863 0.0725
37.353513 67.294 -0.0142
37.719724 66.714 0.5796
38.085935 66.273 1.6733
38.452145 65.893 2.7754
38.818356 65.578 4.3115
39.184567 65.366 5.2202
39.550778 65.119 5.2783
39.916989 64.900 4.9988
40.283200 64.667 3.8440
40.649411 64.272 2.6404
41.015622 63.800 1.6904
41.381833 63.191 0.4565
41.748044 62.466 0.2085
42.114255 61.851 1.1953
42.480465 61.307 3.4951
42.846676 61.020 8.0381
43.212887 61.180 12.7126
43.579098 61.653 16.6086
43.945309 62.510 19.1653
44.311520 63.517 19.2817
44.677731 64.475 17.9663
45.043942 65.399 15.0449
45.410153 66.171 10.3147
45.776364 66.819 4.5708
46.142575 67.408 -2.2922
46.508785 67.860 -10.1465
46.874996 68.205 -18.5601
47.241207 68.502 -27.9089
47.607418 68.733 -38.0554
47.973629 68.951 -48.4106
48.339840 69.181 -59.0662
48.706051 69.367 -69.8789
49.072262 69.546 -80.4841
49.438473 69.741 -91.0020
49.804684 69.883 -101.2090
50.170895 69.968 -110.8667
50.537105 69.994 -120.4241
50.903316 69.921 -129.9663
51.269527 69.796 -139.3325
51.635738 69.639 -148.8215
52.001949 69.413 -158.3730
52.368160 69.181 -167.8213
52.734371 68.984 -177.3477
53.100582 68.798 173.4990
53.466793 68.650 165.1924
53.833004 68.512 157.5376
54.199215 68.328 150.7651
54.565425 68.147 145.0459
54.931636 67.945 140.1367
55.297847 67.673 136.3862
55.664058 67.383 133.7510
56.030269 67.048 131.8452
56.396480 66.688 131.0759
56.762691 66.393 131.3269
57.128902 66.129 132.5083
57.495113 65.956 134.9600
57.861324 65.944 137.9663
58.227535 66.069 141.3296
58.593745 66.422 144.8501
58.959956 66.961 147.7710
59.326167 67.615 150.2273
59.692378 68.384 151.8467
60.058589 69.174 152.4004
60.424800 69.976 152.2329
60.791011 70.787 151.2170
61.157222 71.545 149.5732
61.523433 72.263 147.5308
61.889644 72.928 144.9243
62.255854 73.519 141.9512
62.622065 74.069 138.7251
62.988276 74.562 135.2041
63.354487 74.985 131.6006
63.720698 75.360 127.8938
64.086909 75.672 124.0298
64.453120 75.929 120.1926
64.819331 76.146 116.3652
65.185542 76.305 112.5715
65.551753 76.412 108.9326
65.917964 76.477 105.3469
66.284174 76.491 101.8665
66.650385 76.470 98.6116
67.016596 76.413 95.5059
67.382807 76.308 92.6274
67.749018 76.172 90.0015
68.115229 76.007 87.5361
68.481440 75.809 85.3770
68.847651 75.599 83.5396
69.213862 75.360 81.9683
69.580073 75.099 80.7886
69.946284 74.838 79.9233
70.312494 74.568 79.3967
70.678705 74.308 79.3706
71.044916 74.070 79.7305
71.411127 73.846 80.5303
71.777338 73.674 81.7783
72.143549 73.564 83.2886
72.509760 73.524 85.1479
72.875971 73.586 87.2007
73.242182 73.730 89.2280
73.608393 73.961 91.1958
73.974604 74.288 92.8120
74.340814 74.676 94.0171
74.707025 75.126 94.8213
75.073236 75.612 95.0637
75.439447 76.104 94.8218
75.805658 76.605 94.0757
76.171869 77.092 92.7905
76.538080 77.560 91.1245
76.904291 78.007 89.0730
77.270502 78.412 86.6606
77.636713 78.779 83.9868
78.002924 79.110 81.0161
78.369134 79.395 77.8252
78.735345 79.639 74.5049
79.101556 79.839 71.0210
79.467767 79.986 67.4418
79.833978 80.092 63.8000
80.200189 80.154 60.0790
80.566400 80.168 56.3790
80.932611 80.143 52.7119
81.298822 80.070 49.0544
81.665033 79.952 45.4819
82.031244 79.801 41.9795
82.397454 79.608 38.5667
82.763665 79.377 35.3243
83.129876 79.114 32.1976
83.496087 78.809 29.2029
83.862298 78.477 26.3962
84.228509 78.118 23.7289
84.594720 77.724 21.2678
84.960931 77.307 19.0293
85.327142 76.860 16.9324
85.693353 76.382 15.0615
86.059563 75.889 13.4139
86.425774 75.367 11.9675
86.791985 74.814 10.8405
87.158196 74.241 9.9580
87.524407 73.634 9.3373
87.890618 73.005 9.1273
88.256829 72.361 9.2771
88.623040 71.683 9.9441
88.989251 70.997 11.2345
89.355462 70.303 13.0656
89.721673 69.617 15.6963
90.087883 68.993 19.1342
90.454094 68.436 23.3447
90.820305 67.994 28.4471
91.186516 67.713 33.9658
91.552727 67.585 39.6855
91.918938 67.655 45.2980
92.285149 67.876 50.3119
92.651360 68.202 54.7988
93.017571 68.617 58.5035
93.383782 69.045 61.4037
93.749993 69.488 63.7136
94.116203 69.931 65.3441
94.482414 70.343 66.5588
94.848625 70.737 67.4805
95.214836 71.093 68.0391
95.581047 71.406 68.4424
95.947258 71.702 68.6621
96.313469 71.963 68.7302
96.679680 72.200 68.8389
97.045891 72.418 68.8870
97.412102 72.603 68.9263
97.778313 72.778 69.0249
98.144523 72.943 69.0820
98.510734 73.094 69.2354
98.876945 73.249 69.4827
99.243156 73.395 69.7329
99.609367 73.537 70.0825
99.975578 73.695 70.4419
100.341789 73.853 70.8091
100.708000 74.026 71.2739
101.074211 74.215 71.7075
101.440422 74.405 72.1333
101.806633 74.616 72.5488
102.172843 74.841 72.8535
102.539054 75.076 73.1404
102.905265 75.331 73.3643
103.271476 75.589 73.4612
103.637687 75.855 73.4937
104.003898 76.135 73.3804
104.370109 76.416 73.1440
104.736320 76.705 72.8438
105.102531 76.996 72.3977
105.468742 77.282 71.8477
105.834953 77.571 71.1938
106.201163 77.858 70.3921
106.567374 78.140 69.5234
106.933585 78.422 68.5627
107.299796 78.694 67.4846
107.666007 78.958 66.3403
108.032218 79.220 65.0847
108.398429 79.472 63.7449
108.764640 79.717 62.3633
109.130851 79.953 60.8873
109.497062 80.176 59.3473
109.863272 80.394 57.7495
110.229483 80.601 56.0660
110.595694 80.797 54.3525
110.961905 80.984 52.5934
111.328116 81.157 50.7659
111.694327 81.319 48.9099
112.060538 81.473 46.9995
112.426749 81.613 45.0492
112.792960 81.742 43.0930
113.159171 81.860 41.0895
113.525382 81.962 39.0583
113.891592 82.054 37.0139
114.257803 82.135 34.9331
114.624014 82.201 32.8567
114.990225 82.257 30.7761
115.356436 82.298 28.6670
115.722647 82.326 26.5671
116.088858 82.344 24.4622
116.455069 82.347 22.3567
116.821280 82.339 20.2827
117.187491 82.318 18.2047
117.553702 82.282 16.1355
117.919912 82.237 14.0995
118.286123 82.182 12.0728
118.652334 82.112 10.0875
119.018545 82.032 8.1410
119.384756 81.941 6.2047
119.750967 81.838 4.3191
120.117178 81.729 2.4757
120.483389 81.609 0.6692
120.849600 81.478 -1.0670
121.215811 81.339 -2.7693
121.582022 81.191 -4.4291
121.948232 81.037 -6.0132
122.314443 80.879 -7.5531
122.680654 80.709 -9.0227
123.046865 80.537 -10.4219
123.413076 80.359 -11.7880
123.779287 80.175 -13.0765
124.145498 79.993 -14.2963
124.511709 79.806 -15.4659
124.877920 79.613 -16.5505
125.244131 79.424 -17.5950
125.610342 79.230 -18.5953
125.976552 79.039 -19.5134
126.342763 78.849 -20.3956
126.708974 78.656 -21.2194
127.075185 78.466 -21.9874
127.441396 78.276 -22.7494
127.807607 78.085 -23.4521
128.173818 77.901 -24.1108
128.540029 77.714 -24.7533
128.906240 77.524 -25.3375
129.272451 77.339 -25.9177
129.638662 77.149 -26.4830
130.004872 76.962 -26.9850
130.371083 76.775 -27.4778
130.737294 76.581 -27.9275
131.103505 76.387 -28.3330
131.469716 76.192 -28.7429
131.835927 75.991 -29.0813
132.202138 75.794 -29.3633
132.568349 75.589 -29.6112
132.934560 75.380 -29.7660
133.300771 75.174 -29.8877
133.666981 74.961 -29.9463
134.033192 74.753 -29.8811
134.399403 74.546 -29.7561
134.765614 74.334 -29.5187
135.131825 74.130 -29.1759
135.498036 73.931 -28.7814
135.864247 73.737 -28.2404
136.230458 73.561 -27.5944
136.596669 73.390 -26.8668
136.962880 73.233 -26.0063
137.329091 73.097 -25.1138
137.695301 72.976 -24.1526
138.061512 72.882 -23.0959
138.427723 72.810 -22.0427
138.793934 72.753 -20.9418
139.160145 72.726 -19.8589
139.526356 72.717 -18.8564
139.892567 72.732 -17.8527
140.258778 72.773 -16.9338
140.624989 72.823 -16.1016
140.991200 72.890 -15.3306
141.357411 72.973 -14.7258
141.723621 73.062 -14.2172
142.089832 73.166 -13.7972
142.456043 73.273 -13.5238
142.822254 73.379 -13.3220
143.188465 73.492 -13.2523
143.554676 73.600 -13.3217
143.920887 73.709 -13.4441
144.287098 73.820 -13.6799
144.653309 73.919 -13.9928
145.019520 74.016 -14.3596
145.385731 74.108 -14.8505
145.751941 74.192 -15.3851
146.118152 74.276 -15.9602
146.484363 74.350 -16.6117
146.850574 74.413 -17.2727
147.216785 74.474 -17.9982
147.582996 74.524 -18.7848
147.949207 74.571 -19.5607
148.315418 74.615 -20.3824
148.681629 74.646 -21.2192
149.047840 74.673 -22.0566
149.414051 74.695 -22.9574
149.780261 74.709 -23.8500
150.146472 74.724 -24.7377
150.512683 74.730 -25.6591
150.878894 74.729 -26.5577
151.245105 74.727 -27.4880
151.611316 74.719 -28.4478
151.977527 74.709 -29.3730
