* Measurement data measured by REW V5.40 beta 121
* Source: 
* Format: 
* Dated: Aug 12, 2026, 4:19:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Minimum phase copy of RX8 Cal file effects included LF tail from 16 Hz at 24 dB/octave No HF tail
* Measurement: RX8-MP
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 -0.157 -131.4409
0.732422 -0.186 96.1183
1.098633 0.447 -33.2878
1.464844 -1.905 -158.0192
1.831055 1.577 35.7057
2.197266 5.754 -43.8170
2.563477 0.759 -27.6204
2.929688 12.489 -15.9578
3.295899 15.642 -39.2940
3.662110 17.784 -30.2662
4.028321 22.671 -34.0024
4.394532 25.036 -42.4153
4.760743 27.637 -40.4323
5.126954 30.722 -45.2304
5.493164 32.736 -49.6463
5.859375 35.046 -50.6275
6.225586 37.320 -55.1351
6.591797 39.096 -58.4070
6.958008 41.074 -60.7270
7.324219 42.895 -64.8616
7.690430 44.482 -67.8667
8.056641 46.182 -70.8508
8.422852 47.716 -74.7209
8.789063 49.145 -77.7606
9.155274 50.622 -81.1051
9.521485 51.959 -84.8309
9.887696 53.252 -88.0140
10.253907 54.554 -91.5815
10.620118 55.745 -95.2646
10.986329 56.922 -98.6337
11.352540 58.085 -102.3700
11.718751 59.163 -106.0959
12.084962 60.239 -109.6735
12.451173 61.289 -113.5733
12.817384 62.276 -117.4179
13.183595 63.265 -121.2236
13.549806 64.224 -125.3136
13.916017 65.133 -129.3436
14.282228 66.047 -133.3757
14.648439 66.934 -137.6162
15.014650 67.805 -141.6411
15.380861 68.792 -145.7466
15.747072 69.870 -151.4221
16.113283 70.747 -159.1628
16.479493 71.197 -167.1700
16.845704 71.388 -173.1405
17.211915 71.705 -177.4172
17.578126 72.149 177.8032
17.944337 72.472 172.5923
18.310548 72.707 168.1228
18.676759 72.982 164.2148
19.042970 73.297 160.3923
19.409181 73.642 156.4279
19.775392 73.961 152.0813
20.141603 74.194 147.7875
20.507814 74.407 143.9457
20.874025 74.647 140.2258
21.240236 74.889 136.4370
21.606447 75.126 132.5750
21.972658 75.338 128.5994
22.338869 75.519 124.7019
22.705080 75.702 120.8474
23.071291 75.869 116.8079
23.437502 75.988 112.7030
23.803713 76.065 108.6816
24.169924 76.103 104.8167
24.536135 76.122 101.2203
24.902346 76.146 97.7571
25.268557 76.159 94.3221
25.634768 76.158 91.0438
26.000979 76.164 87.8868
26.367190 76.179 84.7638
26.733401 76.207 81.6104
27.099612 76.238 78.2614
27.465823 76.240 74.7538
27.832033 76.217 71.2111
28.198244 76.171 67.5846
28.564455 76.089 63.8926
28.930666 75.970 60.1738
29.296877 75.801 56.4492
29.663088 75.579 52.8912
30.029299 75.326 49.5676
30.395510 75.048 46.4106
30.761721 74.744 43.4596
31.127932 74.422 40.7076
31.494143 74.077 38.1631
31.860354 73.723 35.9087
32.226565 73.378 33.8353
32.592776 73.028 31.8528
32.958987 72.671 30.0063
33.325198 72.306 28.2671
33.691409 71.926 26.6946
34.057620 71.549 25.3046
34.423831 71.172 23.9573
34.790042 70.776 22.6997
35.156253 70.364 21.5996
35.522464 69.934 20.6689
35.888675 69.492 20.0206
36.254886 69.059 19.5715
36.621097 68.616 19.2516
36.987308 68.163 19.2019
37.353519 67.713 19.4111
37.719730 67.265 19.9144
38.085941 66.846 20.7159
38.452152 66.454 21.6027
38.818363 66.065 22.6232
39.184573 65.691 23.8365
39.550784 65.325 25.1912
39.916995 64.973 26.8011
40.283206 64.650 28.5479
40.649417 64.328 30.4008
41.015628 64.012 32.5848
41.381839 63.726 35.0822
41.748050 63.475 37.9688
42.114261 63.307 41.1917
42.480472 63.221 44.4417
42.846683 63.204 47.7260
43.212894 63.277 50.9043
43.579105 63.418 53.7985
43.945316 63.625 56.3871
44.311527 63.883 58.4133
44.677738 64.139 59.8975
45.043949 64.383 61.0168
45.410160 64.606 61.7800
45.776371 64.794 62.3500
46.142582 64.963 62.7629
46.508793 65.093 63.0061
46.875004 65.183 63.3004
47.241215 65.257 63.6843
47.607426 65.318 64.1335
47.973637 65.377 64.6952
48.339848 65.441 65.2523
48.706059 65.497 65.8269
49.072270 65.557 66.4863
49.438481 65.627 67.1030
49.804692 65.690 67.6790
50.170902 65.749 68.2504
50.537113 65.797 68.8186
50.903324 65.834 69.4906
51.269535 65.877 70.2512
51.635746 65.921 71.0503
52.001957 65.968 71.9436
52.368168 66.025 72.9155
52.734379 66.094 73.9451
53.100590 66.183 74.9983
53.466801 66.284 75.9976
53.833012 66.389 76.9618
54.199223 66.496 77.9175
54.565434 66.604 78.8737
54.931645 66.715 79.8589
55.297856 66.827 80.8650
55.664067 66.937 81.9391
56.030278 67.054 83.1409
56.396489 67.186 84.4607
56.762700 67.342 85.8956
57.128911 67.530 87.4008
57.495122 67.751 88.9213
57.861333 68.008 90.4397
58.227544 68.307 91.8875
58.593755 68.645 93.1971
58.959966 69.019 94.3107
59.326177 69.422 95.1578
59.692388 69.840 95.7324
60.058599 70.271 96.0334
60.424810 70.706 96.0463
60.791021 71.138 95.7843
61.157232 71.563 95.2483
61.523442 71.970 94.4607
61.889653 72.359 93.4669
62.255864 72.726 92.2854
62.622075 73.069 90.9407
62.988286 73.387 89.4585
63.354497 73.677 87.8535
63.720708 73.939 86.1636
64.086919 74.173 84.4155
64.453130 74.381 82.6213
64.819341 74.560 80.8057
65.185552 74.714 78.9825
65.551763 74.841 77.1710
65.917974 74.942 75.4004
66.284185 75.021 73.6802
66.650396 75.078 72.0232
67.016607 75.115 70.4470
67.382818 75.133 68.9602
67.749029 75.135 67.5837
68.115240 75.123 66.3322
68.481451 75.101 65.2061
68.847662 75.071 64.2162
69.213873 75.037 63.3667
69.580084 75.001 62.6599
69.946295 74.967 62.1040
70.312506 74.941 61.6865
70.678717 74.924 61.3950
71.044928 74.922 61.2195
71.411139 74.936 61.1355
71.777350 74.970 61.1257
72.143561 75.026 61.1642
72.509771 75.105 61.2124
72.875982 75.207 61.2437
73.242193 75.331 61.2256
73.608404 75.475 61.1296
73.974615 75.637 60.9380
74.340826 75.814 60.6228
74.707037 76.002 60.1670
75.073248 76.198 59.5636
75.439459 76.397 58.8037
75.805670 76.595 57.8911
76.171881 76.790 56.8293
76.538092 76.979 55.6179
76.904303 77.157 54.2690
77.270514 77.323 52.7922
77.636725 77.475 51.1987
78.002936 77.611 49.5044
78.369147 77.729 47.7181
78.735358 77.828 45.8521
79.101569 77.907 43.9221
79.467780 77.966 41.9393
79.833991 78.003 39.9194
80.200202 78.019 37.8751
80.566413 78.012 35.8142
80.932624 77.984 33.7518
81.298835 77.934 31.6996
81.665046 77.862 29.6670
82.031257 77.768 27.6687
82.397468 77.654 25.7120
82.763679 77.518 23.8058
83.129890 77.361 21.9642
83.496101 77.184 20.1949
83.862311 76.987 18.5101
84.228522 76.771 16.9208
84.594733 76.537 15.4329
84.960944 76.285 14.0602
85.327155 76.016 12.8148
85.693366 75.731 11.7058
86.059577 75.431 10.7487
86.425788 75.118 9.9525
86.791999 74.791 9.3293
87.158210 74.455 8.8981
87.524421 74.110 8.6689
87.890632 73.759 8.6570
88.256843 73.406 8.8766
88.623054 73.054 9.3335
88.989265 72.706 10.0417
89.355476 72.369 11.0082
89.721687 72.047 12.2296
90.087898 71.746 13.7053
90.454109 71.473 15.4153
90.820320 71.232 17.3358
91.186531 71.029 19.4412
91.552742 70.869 21.6854
91.918953 70.754 24.0264
92.285164 70.685 26.4144
92.651375 70.662 28.7927
93.017586 70.681 31.1228
93.383797 70.741 33.3627
93.750008 70.835 35.4805
94.116219 70.960 37.4597
94.482430 71.110 39.2794
94.848641 71.279 40.9365
95.214851 71.463 42.4346
95.581062 71.660 43.7738
95.947273 71.864 44.9678
96.313484 72.074 46.0249
96.679695 72.289 46.9523
97.045906 72.504 47.7667
97.412117 72.722 48.4757
97.778328 72.939 49.0895
98.144539 73.157 49.6196
98.510750 73.374 50.0684
98.876961 73.591 50.4443
99.243172 73.807 50.7538
99.609383 74.024 50.9980
99.975594 74.239 51.1833
100.341805 74.455 51.3099
100.708016 74.671 51.3777
101.074227 74.887 51.3901
101.440438 75.103 51.3448
101.806649 75.319 51.2437
102.172860 75.534 51.0872
102.539071 75.750 50.8716
102.905282 75.964 50.5995
103.271493 76.178 50.2699
103.637704 76.391 49.8812
104.003915 76.601 49.4359
104.370126 76.811 48.9323
104.736337 77.017 48.3701
105.102548 77.221 47.7523
105.468759 77.422 47.0778
105.834970 77.620 46.3486
106.201180 77.814 45.5667
106.567391 78.003 44.7312
106.933602 78.188 43.8452
107.299813 78.368 42.9104
107.666024 78.543 41.9275
108.032235 78.712 40.9001
108.398446 78.876 39.8289
108.764657 79.034 38.7156
109.130868 79.185 37.5640
109.497079 79.330 36.3746
109.863290 79.468 35.1501
110.229501 79.600 33.8936
110.595712 79.724 32.6056
110.961923 79.841 31.2896
111.328134 79.952 29.9476
111.694345 80.054 28.5813
112.060556 80.150 27.1940
112.426767 80.238 25.7869
112.792978 80.318 24.3621
113.159189 80.391 22.9231
113.525400 80.456 21.4711
113.891611 80.513 20.0082
114.257822 80.563 18.5377
114.624033 80.605 17.0602
114.990244 80.639 15.5787
115.356455 80.666 14.0955
115.722666 80.685 12.6117
116.088877 80.697 11.1305
116.455088 80.701 9.6534
116.821299 80.698 8.1815
117.187510 80.688 6.7184
117.553720 80.671 5.2648
117.919931 80.646 3.8226
118.286142 80.615 2.3944
118.652353 80.577 0.9808
119.018564 80.533 -0.4160
119.384775 80.482 -1.7943
119.750986 80.425 -3.1533
120.117197 80.361 -4.4907
120.483408 80.292 -5.8055
120.849619 80.218 -7.0970
121.215830 80.137 -8.3625
121.582041 80.052 -9.6018
121.948252 79.961 -10.8140
122.314463 79.866 -11.9969
122.680674 79.766 -13.1509
123.046885 79.661 -14.2745
123.413096 79.552 -15.3665
123.779307 79.439 -16.4269
124.145518 79.323 -17.4543
124.511729 79.202 -18.4484
124.877940 79.079 -19.4094
125.244151 78.952 -20.3354
125.610362 78.822 -21.2269
125.976573 78.690 -22.0837
126.342784 78.555 -22.9045
126.708995 78.418 -23.6899
127.075206 78.279 -24.4390
127.441417 78.138 -25.1509
127.807628 77.995 -25.8269
128.173839 77.850 -26.4652
128.540049 77.705 -27.0658
128.906260 77.558 -27.6294
129.272471 77.410 -28.1541
129.638682 77.262 -28.6404
130.004893 77.113 -29.0885
130.371104 76.964 -29.4968
130.737315 76.815 -29.8663
131.103526 76.666 -30.1964
131.469737 76.518 -30.4861
131.835948 76.371 -30.7368
132.202159 76.225 -30.9474
132.568370 76.081 -31.1178
132.934581 75.938 -31.2494
133.300792 75.797 -31.3413
133.667003 75.660 -31.3942
134.033214 75.525 -31.4098
134.399425 75.393 -31.3879
134.765636 75.265 -31.3302
135.131847 75.142 -31.2386
135.498058 75.023 -31.1144
135.864269 74.908 -30.9596
136.230480 74.799 -30.7772
136.596691 74.696 -30.5695
136.962902 74.599 -30.3390
137.329113 74.507 -30.0902
137.695324 74.422 -29.8254
138.061535 74.343 -29.5479
138.427746 74.271 -29.2632
138.793957 74.206 -28.9736
139.160168 74.147 -28.6823
139.526379 74.095 -28.3958
139.892589 74.048 -28.1149
140.258800 74.009 -27.8435
140.625011 73.974 -27.5880
140.991222 73.946 -27.3475
141.357433 73.923 -27.1261
141.723644 73.904 -26.9293
142.089855 73.890 -26.7540
142.456066 73.880 -26.6053
142.822277 73.873 -26.4868
143.188488 73.869 -26.3936
143.554699 73.869 -26.3317
143.920910 73.870 -26.3019
144.287121 73.873 -26.2993
144.653332 73.877 -26.3298
145.019543 73.882 -26.3915
145.385754 73.888 -26.4803
145.751965 73.894 -26.6019
146.118176 73.899 -26.7520
146.484387 73.904 -26.9276
146.850598 73.909 -27.1332
147.216809 73.912 -27.3634
147.583020 73.914 -27.6169
147.949231 73.914 -27.8964
148.315442 73.912 -28.1965
148.681653 73.909 -28.5173
149.047864 73.904 -28.8599
149.414075 73.896 -29.2195
149.780286 73.886 -29.5972
150.146497 73.874 -29.9923
