* Measurement data measured by REW V5.40 beta 121
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Aug 12, 2026, 4:19:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A times B A = R120 [FDW8] B = X801 
* Measurement: RX8
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 60.501 -141.3496
15.380859 68.267 -155.2930
15.747070 70.384 -164.5385
16.113281 70.708 -164.6114
16.479492 71.201 -165.9486
16.845703 71.401 -172.4307
17.211914 71.623 -177.9671
17.578125 72.177 176.7340
17.944336 72.482 171.1225
18.310547 72.661 166.6038
18.676758 72.984 161.2964
19.042968 73.272 155.8695
19.409179 73.619 152.0349
19.775390 73.982 148.3802
20.141601 74.174 144.8291
20.507812 74.384 141.5825
20.874023 74.646 137.7930
21.240234 74.865 134.3419
21.606445 75.122 131.3075
21.972656 75.339 127.7612
22.338867 75.494 124.1291
22.705077 75.699 120.2779
23.071288 75.871 116.0624
23.437499 75.979 112.1375
23.803710 76.073 108.0952
24.169921 76.094 103.7493
24.536132 76.103 99.6548
24.902343 76.148 95.6030
25.268554 76.148 91.7207
25.634765 76.143 88.1976
26.000976 76.158 84.4500
26.367187 76.157 80.6470
26.733397 76.197 77.0132
27.099608 76.241 73.2086
27.465819 76.231 69.4593
27.832030 76.217 65.6641
28.198241 76.173 61.5660
28.564452 76.084 57.6443
28.930663 75.981 53.8693
29.296874 75.806 50.0701
29.663085 75.569 46.5197
30.029296 75.326 42.9682
30.395507 75.036 39.4763
30.761717 74.730 36.4258
31.127928 74.418 33.4542
31.494139 74.053 30.5781
31.860350 73.699 27.9476
32.226561 73.364 25.2402
32.592772 73.003 22.8235
32.958983 72.658 20.7263
33.325194 72.291 18.4966
33.691405 71.890 16.4627
34.057616 71.533 14.4957
34.423827 71.154 12.4971
34.790037 70.751 10.9619
35.156248 70.356 9.4266
35.522459 69.898 7.8486
35.888670 69.455 6.6466
36.254881 69.042 5.4210
36.621092 68.578 4.5778
36.987303 68.135 4.2321
37.353514 67.680 3.6952
37.719725 67.200 3.4816
38.085936 66.813 3.4619
38.452147 66.420 3.3636
38.818357 66.022 3.8275
39.184568 65.674 4.0686
39.550779 65.274 4.0005
39.916990 64.929 4.2049
40.283201 64.638 4.0505
40.649412 64.286 4.1956
41.015623 63.986 4.6871
41.381834 63.681 4.6648
41.748045 63.384 4.9991
42.114256 63.253 5.3745
42.480467 63.154 5.5655
42.846677 63.129 6.2623
43.212888 63.229 6.2441
43.579099 63.335 5.5330
43.945310 63.568 4.5264
44.311521 63.872 2.4617
44.677732 64.118 -0.0233
45.043943 64.390 -3.1271
45.410154 64.613 -7.5513
45.776365 64.783 -12.5314
46.142576 64.988 -18.1665
46.508786 65.120 -24.6580
46.874997 65.180 -31.4639
47.241208 65.259 -39.0884
47.607419 65.304 -47.5417
47.973630 65.355 -56.0107
48.339841 65.447 -64.7990
48.706052 65.483 -73.9604
49.072263 65.523 -83.0381
49.438474 65.623 -92.3473
49.804685 65.690 -101.6155
50.170896 65.745 -110.3970
50.537106 65.805 -119.3156
50.903317 65.816 -128.3200
51.269528 65.852 -136.9452
51.635739 65.924 -145.5259
52.001950 65.947 -153.8575
52.368161 65.987 -161.7393
52.734372 66.071 -169.6108
53.100583 66.147 -176.9977
53.466794 66.266 176.4581
53.833005 66.389 170.3106
54.199216 66.469 164.8352
54.565426 66.586 160.0776
54.931637 66.711 155.7502
55.297848 66.807 152.3372
55.664059 66.928 149.6467
56.030270 67.026 147.2953
56.396481 67.127 145.6314
56.762692 67.294 144.3550
57.128903 67.465 143.4280
57.495114 67.674 143.0883
57.861325 67.934 142.7717
58.227536 68.203 142.5134
58.593746 68.544 142.3707
58.959957 68.931 141.9954
59.326168 69.328 141.6520
59.692379 69.763 141.1599
60.058590 70.194 140.2685
60.424801 70.626 139.2473
60.791012 71.085 137.9396
61.157223 71.516 136.3929
61.523434 71.933 134.7913
61.889645 72.336 132.8865
62.255856 72.700 130.7928
62.622066 73.055 128.6328
62.988277 73.390 126.2874
63.354488 73.680 123.9406
63.720699 73.951 121.5576
64.086910 74.187 119.0226
64.453121 74.393 116.5345
64.819332 74.585 114.0544
65.185543 74.740 111.5738
65.551754 74.864 109.2254
65.917965 74.969 106.8687
66.284176 75.041 104.5535
66.650386 75.100 102.4102
67.016597 75.141 100.3312
67.382808 75.150 98.4080
67.749019 75.148 96.6466
68.115230 75.132 94.9323
68.481441 75.100 93.4238
68.847652 75.073 92.1035
69.213863 75.031 90.9073
69.580074 74.982 89.9455
69.946285 74.946 89.0913
70.312495 74.908 88.3582
70.678706 74.887 87.8600
71.044917 74.884 87.4529
71.411128 74.886 87.1793
71.777339 74.914 87.0189
72.143550 74.968 86.8243
72.509761 75.040 86.7139
72.875972 75.149 86.6183
73.242183 75.272 86.4399
73.608394 75.412 86.2476
73.974605 75.581 85.8950
74.340815 75.760 85.3953
74.707026 75.956 84.8270
75.073237 76.164 84.0632
75.439448 76.364 83.1583
75.805659 76.571 82.1027
76.171870 76.774 80.8170
76.538081 76.969 79.4280
76.904292 77.161 77.9085
77.270503 77.332 76.2203
77.636714 77.487 74.4489
78.002925 77.632 72.5256
78.369135 77.754 70.4918
78.735346 77.860 68.4366
79.101557 77.947 66.2823
79.467768 78.003 64.0779
79.833979 78.043 61.8492
80.200190 78.062 59.5438
80.566401 78.055 57.2678
80.932612 78.030 55.0143
81.298823 77.978 52.7329
81.665034 77.899 50.5059
82.031245 77.807 48.2925
82.397455 77.688 46.1098
82.763666 77.549 44.0482
83.129877 77.391 42.0254
83.496088 77.203 40.0678
83.862299 77.000 38.2270
84.228510 76.782 36.4407
84.594721 76.538 34.8044
84.960932 76.282 33.3208
85.327143 76.004 31.9099
85.693354 75.704 30.6737
86.059565 75.401 29.5820
86.425775 75.078 28.6355
86.791986 74.740 27.9505
87.158197 74.396 27.4200
87.524408 74.033 27.0737
87.890619 73.671 26.9983
88.256830 73.313 27.1038
88.623041 72.944 27.5193
88.989252 72.589 28.2363
89.355463 72.237 29.1352
89.721674 71.897 30.3596
90.087885 71.595 31.8201
90.454095 71.313 33.5094
90.820306 71.067 35.5368
91.186517 70.866 37.6719
91.552728 70.693 39.9503
91.918939 70.585 42.3577
92.285150 70.526 44.7160
92.651361 70.507 47.1705
93.017572 70.546 49.5605
93.383783 70.609 51.7765
93.749994 70.710 53.9272
94.116205 70.853 55.8347
94.482415 71.010 57.6021
94.848626 71.195 59.2805
95.214837 71.390 60.7040
95.581048 71.583 62.0094
95.947259 71.800 63.1421
96.313470 72.014 64.0772
96.679681 72.233 64.9865
97.045892 72.458 65.7471
97.412103 72.669 66.3854
97.778314 72.887 66.9697
98.144524 73.108 67.3903
98.510735 73.322 67.7788
98.876946 73.545 68.1370
99.243157 73.760 68.3728
99.609368 73.969 68.5887
99.975579 74.188 68.7104
100.341790 74.401 68.7446
100.708001 74.618 68.7941
101.074212 74.839 68.7520
101.440423 75.048 68.6503
101.806634 75.264 68.5117
102.172844 75.482 68.2557
102.539055 75.696 67.9825
102.905266 75.916 67.6703
103.271477 76.130 67.2592
103.637688 76.340 66.8203
104.003899 76.556 66.2902
104.370110 76.766 65.6857
104.736321 76.977 65.0740
105.102532 77.185 64.3741
105.468743 77.385 63.6172
105.834954 77.585 62.8159
106.201164 77.783 61.9182
106.567375 77.975 61.0015
106.933586 78.166 60.0452
107.299797 78.348 59.0089
107.666008 78.523 57.9481
108.032219 78.698 56.8193
108.398430 78.864 55.6389
108.764641 79.026 54.4572
109.130852 79.181 53.2123
109.497063 79.326 51.9289
109.863274 79.468 50.6218
110.229484 79.603 49.2536
110.595695 79.730 47.8828
110.961906 79.851 46.4943
111.328117 79.962 45.0533
111.694328 80.066 43.6073
112.060539 80.166 42.1271
112.426750 80.255 40.6225
112.792961 80.337 39.1345
113.159172 80.413 37.6110
113.525383 80.476 36.0704
113.891594 80.536 34.5326
114.257804 80.588 32.9652
114.624015 80.630 31.4142
114.990226 80.667 29.8687
115.356437 80.693 28.2940
115.722648 80.711 26.7354
116.088859 80.725 25.1726
116.455070 80.729 23.6077
116.821281 80.726 22.0779
117.187492 80.716 20.5356
117.553703 80.695 18.9949
117.919914 80.670 17.4818
118.286124 80.640 15.9637
118.652335 80.600 14.4788
119.018546 80.555 13.0189
119.384757 80.502 11.5479
119.750968 80.441 10.1122
120.117179 80.379 8.6960
120.483390 80.308 7.2941
120.849601 80.231 5.9433
121.215812 80.149 4.5960
121.582023 80.059 3.2642
121.948233 79.967 1.9805
122.314444 79.872 0.7079
122.680655 79.767 -0.5201
123.046866 79.661 -1.7097
123.413077 79.549 -2.9011
123.779288 79.432 -4.0432
124.145499 79.316 -5.1507
124.511710 79.194 -6.2362
124.877921 79.066 -7.2611
125.244132 78.938 -8.2764
125.610343 78.804 -9.2693
125.976553 78.671 -10.2012
126.342764 78.536 -11.1168
126.708975 78.395 -11.9825
127.075186 78.254 -12.8047
127.441397 78.111 -13.6283
127.807608 77.963 -14.3929
128.173819 77.821 -15.1171
128.540030 77.673 -15.8180
128.906241 77.522 -16.4526
129.272452 77.374 -17.0791
129.638663 77.221 -17.6788
130.004873 77.072 -18.2085
130.371084 76.924 -18.7219
130.737295 76.770 -19.1801
131.103506 76.621 -19.5928
131.469717 76.470 -20.0084
131.835928 76.320 -20.3543
132.202139 76.176 -20.6573
132.568350 76.029 -20.9356
132.934561 75.882 -21.1417
133.300772 75.742 -21.3451
133.666983 75.600 -21.5169
134.033193 75.465 -21.6137
134.399404 75.335 -21.7005
134.765615 75.202 -21.7292
135.131826 75.078 -21.7217
135.498037 74.957 -21.7272
135.864248 74.840 -21.6631
136.230459 74.735 -21.5732
136.596670 74.629 -21.4709
136.962881 74.529 -21.3113
137.329092 74.440 -21.1796
137.695303 74.352 -21.0322
138.061513 74.277 -20.8373
138.427724 74.208 -20.6671
138.793935 74.140 -20.4638
139.160146 74.084 -20.2692
139.526357 74.032 -20.1245
139.892568 73.988 -19.9434
140.258779 73.955 -19.7861
140.624990 73.921 -19.6514
140.991201 73.894 -19.5038
141.357412 73.875 -19.4324
141.723623 73.857 -19.3762
142.089833 73.850 -19.3177
142.456044 73.845 -19.3210
142.822255 73.838 -19.3209
143.188466 73.839 -19.3705
143.554677 73.840 -19.4921
143.920888 73.844 -19.6012
144.287099 73.856 -19.7620
144.653310 73.860 -19.9568
145.019521 73.867 -20.1592
145.385732 73.877 -20.4498
145.751942 73.883 -20.7560
146.118153 73.896 -21.0710
146.484364 73.904 -21.4474
146.850575 73.907 -21.8196
147.216786 73.914 -22.2444
147.582997 73.915 -22.7296
147.949208 73.917 -23.1961
148.315419 73.922 -23.7089
148.681630 73.916 -24.2437
149.047841 73.912 -24.7810
149.414052 73.906 -25.3943
149.780262 73.895 -26.0074
150.146473 73.887 -26.6206
150.512684 73.874 -27.2830
150.878895 73.853 -27.9315
151.245106 73.835 -28.6240
151.611317 73.810 -29.3611
151.977528 73.786 -30.0678
152.343739 73.761 -30.8121
152.709950 73.725 -31.5691
153.076161 73.690 -32.3226
153.442372 73.653 -33.1418
153.808582 73.609 -33.9488
154.174793 73.569 -34.7488
154.541004 73.522 -35.5925
154.907215 73.467 -36.4174
155.273426 73.415 -37.2817
155.639637 73.357 -38.1817
156.005848 73.297 -39.0432
156.372059 73.238 -39.9399
156.738270 73.166 -40.8470
157.104481 73.095 -41.7477
157.470692 73.023 -42.7102
157.836902 72.943 -43.6522
158.203113 72.866 -44.5831
158.569324 72.781 -45.5589
158.935535 72.688 -46.5137
159.301746 72.600 -47.5059
159.667957 72.503 -48.5297
160.034168 72.405 -49.5070
160.400379 72.306 -50.5212
160.766590 72.195 -51.5477
161.132801 72.085 -52.5645
161.499012 71.973 -53.6434
161.865222 71.854 -54.6949
162.231433 71.737 -55.7321
162.597644 71.610 -56.8216
162.963855 71.477 -57.8890
163.330066 71.347 -58.9940
163.696277 71.210 -60.1304
164.062488 71.070 -61.2130
164.428699 70.930 -62.3401
