* Measurement data measured by REW V5.40 beta 121
* Source: 
* Format: 
* Dated: Aug 12, 2026, 3:18:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Minimum phase copy of SUM Cal file effects included LF tail from 16 Hz at 24 dB/octave No HF tail
* Measurement: SUM-MP
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 -0.174 -131.6300
0.732422 -0.222 96.1221
1.098633 0.405 -33.5529
1.464844 -1.985 -158.1432
1.831055 1.622 34.7800
2.197266 5.850 -43.6480
2.563477 1.249 -26.9575
2.929688 12.706 -16.3533
3.295899 15.861 -39.0174
3.662110 18.082 -30.2207
4.028321 22.914 -34.0637
4.394532 25.288 -42.2253
4.760743 27.909 -40.3837
5.126954 30.973 -45.1776
5.493164 32.995 -49.4886
5.859375 35.310 -50.5445
6.225586 37.574 -55.0230
6.591797 39.357 -58.2467
6.958008 41.335 -60.6053
7.324219 43.151 -64.7053
7.690430 44.743 -67.6863
8.056641 46.442 -70.6864
8.422852 47.973 -74.5215
8.789063 49.406 -77.5465
9.155274 50.881 -80.8916
9.521485 52.217 -84.5827
9.887696 53.513 -87.7536
10.253907 54.813 -91.3096
10.620118 56.004 -94.9575
10.986329 57.183 -98.3121
11.352540 58.343 -102.0261
11.718751 59.422 -105.7141
12.084962 60.500 -109.2712
12.451173 61.548 -113.1369
12.817384 62.535 -116.9376
13.183595 63.525 -120.7131
13.549806 64.482 -124.7533
13.916017 65.393 -128.7280
14.282228 66.306 -132.7139
14.648439 67.192 -136.8811
15.014650 68.065 -140.8318
15.380861 69.051 -144.8673
15.747072 70.127 -150.4253
16.113283 71.006 -158.0479
16.479493 71.451 -165.9648
16.845704 71.619 -171.7256
17.211915 71.923 -175.5266
17.578126 72.391 -179.6892
17.944337 72.775 175.7178
18.310548 73.104 171.8745
18.676759 73.528 168.5892
19.042970 74.078 165.1173
19.409181 74.723 160.6978
19.775392 75.310 154.8228
20.141603 75.680 148.1620
20.507814 75.831 141.7795
20.874025 75.838 136.2225
21.240236 75.785 131.7644
21.606447 75.782 128.2761
21.972658 75.877 125.1781
22.338869 76.062 122.0483
22.705080 76.317 118.4937
23.071291 76.572 114.2163
23.437502 76.754 109.4082
23.803713 76.839 104.3706
24.169924 76.816 99.3771
24.536135 76.704 94.7400
24.902346 76.541 90.5210
25.268557 76.333 86.7280
25.634768 76.105 83.5115
26.000979 75.902 80.8031
26.367190 75.742 78.4121
26.733401 75.641 76.1401
27.099612 75.587 73.6626
27.465823 75.532 70.8896
27.832033 75.459 67.9043
28.198244 75.348 64.7026
28.564455 75.176 61.4117
28.930666 74.939 58.1858
29.296877 74.629 55.1357
29.663088 74.250 52.5210
30.029299 73.837 50.4757
30.395510 73.410 48.9786
30.761721 72.988 48.1000
31.127932 72.601 47.7939
31.494143 72.263 48.0038
31.860354 72.011 48.6973
32.226565 71.874 49.5475
32.592776 71.837 50.2589
32.958987 71.885 50.6462
33.325198 71.984 50.5343
33.691409 72.102 49.9794
34.057620 72.235 48.9869
34.423831 72.356 47.4893
34.790042 72.444 45.5732
35.156253 72.484 43.2955
35.522464 72.455 40.7758
35.888675 72.359 38.2087
36.254886 72.205 35.6234
36.621097 71.984 33.0845
36.987308 71.699 30.7328
37.353519 71.360 28.6229
37.719730 70.970 26.8777
38.085941 70.559 25.5511
38.452152 70.136 24.5421
38.818363 69.702 23.8612
39.184573 69.266 23.4872
39.550784 68.823 23.3771
39.916995 68.374 23.6123
40.283206 67.930 24.1453
40.649417 67.473 24.9972
41.015628 67.011 26.3518
41.381839 66.563 28.2805
41.748050 66.151 30.9282
42.114261 65.835 34.2914
42.480472 65.652 38.0735
42.846683 65.620 42.0259
43.212894 65.749 45.7427
43.579105 66.001 48.8989
43.945316 66.347 51.3656
44.311527 66.746 52.9520
44.677738 67.145 53.7003
45.043949 67.516 53.7522
45.410160 67.834 53.2203
45.776371 68.085 52.3289
46.142582 68.275 51.1897
46.508793 68.396 49.8743
46.875004 68.448 48.5499
47.241215 68.440 47.3010
47.607426 68.374 46.2375
47.973637 68.270 45.4808
48.339848 68.148 45.0044
48.706059 68.013 44.8297
49.072270 67.885 44.9708
49.438481 67.774 45.3524
49.804692 67.692 45.9595
50.170902 67.653 46.6763
50.537113 67.652 47.3544
50.903324 67.681 47.9619
51.269535 67.737 48.4100
51.635746 67.804 48.6675
52.001957 67.879 48.7454
52.368168 67.950 48.5775
52.734379 68.001 48.2089
53.100590 68.027 47.7019
53.466801 68.021 47.0746
53.833012 67.978 46.4247
54.199223 67.903 45.7793
54.565434 67.789 45.1517
54.931645 67.634 44.6492
55.297856 67.445 44.3076
55.664067 67.220 44.1792
56.030278 66.969 44.3387
56.396489 66.696 44.7749
56.762700 66.400 45.5632
57.128911 66.094 46.7831
57.495122 65.787 48.4408
57.861333 65.488 50.6246
58.227544 65.220 53.3541
58.593755 64.994 56.6382
58.959966 64.837 60.5471
59.326177 64.791 64.9727
59.692388 64.879 69.7491
60.058599 65.129 74.6338
60.424810 65.545 79.2542
60.791021 66.109 83.3199
61.157232 66.793 86.5576
61.523442 67.547 88.8082
61.889653 68.329 90.0859
62.255864 69.103 90.4451
62.622075 69.843 90.0071
62.988286 70.532 88.9010
63.354497 71.160 87.2322
63.720708 71.718 85.1348
64.086919 72.206 82.7136
64.453130 72.623 80.0468
64.819341 72.972 77.2179
65.185552 73.256 74.2786
65.551763 73.475 71.2791
65.917974 73.633 68.2771
66.284185 73.735 65.3003
66.650396 73.782 62.3813
67.016607 73.777 59.5537
67.382818 73.724 56.8333
67.749029 73.621 54.2546
68.115240 73.475 51.8468
68.481451 73.286 49.6221
68.847662 73.054 47.6145
69.213873 72.783 45.8502
69.580084 72.473 44.3595
69.946295 72.125 43.1971
70.312506 71.745 42.4025
70.678717 71.333 42.0314
71.044928 70.897 42.1643
71.411139 70.446 42.8683
71.777350 69.994 44.2372
72.143561 69.564 46.3517
72.509771 69.186 49.2351
72.875982 68.895 52.8678
73.242193 68.731 57.1088
73.608404 68.722 61.7129
73.974615 68.885 66.3652
74.340826 69.214 70.6946
74.707037 69.677 74.4248
75.073248 70.237 77.3928
75.439459 70.855 79.5317
75.805670 71.495 80.8850
76.171881 72.134 81.5242
76.538092 72.753 81.5413
76.904303 73.342 81.0403
77.270514 73.893 80.1039
77.636725 74.401 78.8164
78.002936 74.867 77.2500
78.369147 75.290 75.4548
78.735358 75.670 73.4846
79.101569 76.010 71.3799
79.467780 76.311 69.1716
79.833991 76.573 66.8962
80.200202 76.801 64.5753
80.566413 76.995 62.2269
80.932624 77.158 59.8732
81.298835 77.292 57.5239
81.665046 77.398 55.1930
82.031257 77.478 52.8939
82.397468 77.535 50.6293
82.763679 77.569 48.4077
83.129890 77.582 46.2357
83.496101 77.576 44.1143
83.862311 77.551 42.0521
84.228522 77.508 40.0510
84.594733 77.449 38.1102
84.960944 77.374 36.2369
85.327155 77.285 34.4314
85.693366 77.180 32.6964
86.059577 77.061 31.0391
86.425788 76.930 29.4578
86.791999 76.785 27.9581
87.158210 76.627 26.5476
87.524421 76.458 25.2263
87.890632 76.277 24.0048
88.256843 76.085 22.8877
88.623054 75.884 21.8779
88.989265 75.673 20.9880
89.355476 75.455 20.2223
89.721687 75.229 19.5875
90.087898 74.998 19.0956
90.454109 74.764 18.7462
90.820320 74.529 18.5468
91.186531 74.294 18.5038
91.552742 74.063 18.6134
91.918953 73.838 18.8804
92.285164 73.622 19.2996
92.651375 73.416 19.8597
93.017586 73.224 20.5582
93.383797 73.049 21.3784
93.750008 72.891 22.3062
94.116219 72.752 23.3306
94.482430 72.633 24.4272
94.848641 72.535 25.5830
95.214851 72.458 26.7831
95.581062 72.402 28.0061
95.947273 72.364 29.2452
96.313484 72.347 30.4850
96.679695 72.347 31.7124
97.045906 72.365 32.9260
97.412117 72.399 34.1135
97.778328 72.447 35.2716
98.144539 72.510 36.3995
98.510750 72.586 37.4866
98.876961 72.675 38.5353
99.243172 72.776 39.5419
99.609383 72.889 40.5006
99.975594 73.012 41.4150
100.341805 73.146 42.2776
100.708016 73.289 43.0863
101.074227 73.442 43.8425
101.440438 73.604 44.5383
101.806649 73.774 45.1761
102.172860 73.952 45.7540
102.539071 74.138 46.2661
102.905282 74.329 46.7159
103.271493 74.528 47.0990
103.637704 74.733 47.4125
104.003915 74.943 47.6588
104.370126 75.158 47.8314
104.736337 75.378 47.9293
105.102548 75.603 47.9518
105.468759 75.831 47.8926
105.834970 76.063 47.7517
106.201180 76.297 47.5258
106.567391 76.533 47.2096
106.933602 76.769 46.8040
107.299813 77.006 46.3048
107.666024 77.242 45.7109
108.032235 77.475 45.0245
108.398446 77.705 44.2429
108.764657 77.930 43.3685
109.130868 78.149 42.4052
109.497079 78.362 41.3529
109.863290 78.567 40.2181
110.229501 78.764 39.0048
110.595712 78.951 37.7158
110.961923 79.127 36.3595
111.328134 79.293 34.9398
111.694345 79.448 33.4625
112.060556 79.590 31.9358
112.426767 79.721 30.3630
112.792978 79.838 28.7517
113.159189 79.943 27.1090
113.525400 80.036 25.4388
113.891611 80.115 23.7488
114.257822 80.181 22.0446
114.624033 80.234 20.3304
114.990244 80.275 18.6138
115.356455 80.303 16.8990
115.722666 80.318 15.1908
116.088877 80.322 13.4956
116.455088 80.313 11.8169
116.821299 80.294 10.1592
117.187510 80.263 8.5284
117.553720 80.221 6.9266
117.919931 80.170 5.3588
118.286142 80.108 3.8289
118.652353 80.038 2.3384
119.018564 79.959 0.8922
119.384775 79.872 -0.5078
119.750986 79.778 -1.8605
120.117197 79.677 -3.1619
120.483408 79.570 -4.4121
120.849619 79.458 -5.6095
121.215830 79.340 -6.7521
121.582041 79.219 -7.8413
121.948252 79.094 -8.8759
122.314463 78.966 -9.8558
122.680674 78.836 -10.7837
123.046885 78.704 -11.6587
123.413096 78.571 -12.4828
123.779307 78.438 -13.2587
124.145518 78.304 -13.9867
124.511729 78.170 -14.6702
124.877940 78.036 -15.3116
125.244151 77.903 -15.9120
125.610362 77.770 -16.4752
125.976573 77.639 -17.0027
126.342784 77.508 -17.4958
126.708995 77.379 -17.9580
127.075206 77.250 -18.3892
127.441417 77.122 -18.7908
127.807628 76.994 -19.1643
128.173839 76.868 -19.5087
128.540049 76.741 -19.8246
128.906260 76.615 -20.1117
129.272471 76.490 -20.3680
129.638682 76.365 -20.5936
130.004893 76.240 -20.7860
130.371104 76.116 -20.9438
130.737315 75.993 -21.0659
131.103526 75.871 -21.1497
131.469737 75.750 -21.1942
131.835948 75.632 -21.1975
132.202159 75.516 -21.1591
132.568370 75.403 -21.0784
132.934581 75.293 -20.9539
133.300792 75.189 -20.7885
133.667003 75.089 -20.5818
134.033214 74.996 -20.3350
134.399425 74.909 -20.0549
134.765636 74.829 -19.7408
135.131847 74.758 -19.3989
135.498058 74.695 -19.0378
135.864269 74.641 -18.6573
136.230480 74.597 -18.2684
136.596691 74.563 -17.8804
136.962902 74.537 -17.4926
137.329113 74.523 -17.1200
137.695324 74.516 -16.7693
138.061535 74.519 -16.4393
138.427746 74.530 -16.1471
138.793957 74.548 -15.8942
139.160168 74.573 -15.6790
139.526379 74.604 -15.5177
139.892589 74.639 -15.4055
140.258800 74.679 -15.3416
140.625011 74.721 -15.3387
140.991222 74.765 -15.3867
141.357433 74.810 -15.4863
141.723644 74.855 -15.6447
142.089855 74.898 -15.8495
142.456066 74.941 -16.1024
142.822277 74.981 -16.4055
143.188488 75.017 -16.7466
143.554699 75.051 -17.1274
143.920910 75.081 -17.5463
144.287121 75.106 -17.9927
144.653332 75.127 -18.4681
145.019543 75.143 -18.9681
145.385754 75.154 -19.4856
145.751965 75.161 -20.0200
146.118176 75.162 -20.5669
146.484387 75.158 -21.1216
146.850598 75.150 -21.6819
147.216809 75.137 -22.2443
147.583020 75.120 -22.8069
147.949231 75.099 -23.3652
148.315442 75.074 -23.9186
148.681653 75.045 -24.4667
149.047864 75.013 -25.0037
149.414075 74.978 -25.5322
149.780286 74.941 -26.0525
150.146497 74.901 -26.5583
