* Measurement data measured by REW V5.40 beta 121
* Source: EQ window target shape
* Format: 
* Dated: Aug 12, 2026, 3:15:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Target LRrms+phavg
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 2.5 Hz
*
* Freq(Hz) SPL(dB)
2.500000 49.163
2.518116 49.365
2.536363 49.608
2.554743 49.857
2.573256 50.107
2.591902 50.356
2.610684 50.606
2.629603 50.855
2.648658 51.105
2.667851 51.354
2.687183 51.603
2.706656 51.852
2.726269 52.101
2.746025 52.350
2.765924 52.599
2.785967 52.847
2.806155 53.096
2.826490 53.344
2.846972 53.592
2.867602 53.840
2.888382 54.088
2.909312 54.336
2.930394 54.583
2.951629 54.831
2.973018 55.078
2.994561 55.325
3.016261 55.571
3.038118 55.818
3.060134 56.064
3.082309 56.310
3.104645 56.555
3.127142 56.801
3.149803 57.046
3.172627 57.290
3.195618 57.534
3.218774 57.778
3.242099 58.022
3.265592 58.265
3.289256 58.507
3.313092 58.749
3.337100 58.991
3.361282 59.232
3.385639 59.472
3.410173 59.712
3.434884 59.952
3.459775 60.190
3.484846 60.428
3.510098 60.666
3.535534 60.902
3.561154 61.138
3.586959 61.372
3.612952 61.606
3.639133 61.839
3.665504 62.071
3.692065 62.302
3.718820 62.532
3.745768 62.761
3.772911 62.989
3.800251 63.215
3.827789 63.440
3.855527 63.663
3.883466 63.886
3.911607 64.106
3.939952 64.326
3.968503 64.543
3.997260 64.759
4.026226 64.973
4.055402 65.185
4.084789 65.395
4.114389 65.603
4.144203 65.810
4.174234 66.014
4.204482 66.215
4.234949 66.415
4.265638 66.612
4.296548 66.806
4.327683 66.998
4.359043 67.188
4.390630 67.374
4.422447 67.558
4.454494 67.739
4.486773 67.917
4.519286 68.092
4.552034 68.264
4.585020 68.433
4.618245 68.598
4.651711 68.761
4.685419 68.919
4.719372 69.075
4.753570 69.227
4.788016 69.376
4.822712 69.521
4.857660 69.662
4.892860 69.800
4.928316 69.935
4.964029 70.066
5.000000 70.193
5.036232 70.316
5.072727 70.436
5.109486 70.553
5.146511 70.665
5.183805 70.775
5.221369 70.880
5.259205 70.982
5.297315 71.081
5.335702 71.176
5.374367 71.268
5.413312 71.356
5.452539 71.442
5.492050 71.524
5.531848 71.603
5.571934 71.678
5.612310 71.751
5.652979 71.821
5.693943 71.888
5.735204 71.952
5.776763 72.013
5.818624 72.072
5.860788 72.128
5.903258 72.182
5.946036 72.233
5.989123 72.283
6.032523 72.329
6.076237 72.374
6.120268 72.417
6.164618 72.457
6.209289 72.496
6.254284 72.532
6.299605 72.568
6.345255 72.601
6.391235 72.632
6.437549 72.663
6.484198 72.691
6.531185 72.718
6.578513 72.744
6.626183 72.769
6.674199 72.792
6.722563 72.814
6.771278 72.835
6.820345 72.855
6.869768 72.874
6.919549 72.891
6.969691 72.908
7.020197 72.924
7.071068 72.940
7.122308 72.954
7.173919 72.968
7.225904 72.980
7.278266 72.993
7.331007 73.004
7.384131 73.015
7.437639 73.025
7.491535 73.035
7.545822 73.044
7.600502 73.053
7.655579 73.062
7.711054 73.069
7.766932 73.077
7.823214 73.084
7.879904 73.090
7.937005 73.097
7.994520 73.102
8.052452 73.108
8.110803 73.113
8.169577 73.118
8.228777 73.123
8.288407 73.128
8.348468 73.132
8.408964 73.136
8.469899 73.139
8.531275 73.143
8.593096 73.146
8.655366 73.150
8.718086 73.152
8.781261 73.155
8.844893 73.158
8.908987 73.160
8.973545 73.163
9.038571 73.165
9.104069 73.167
9.170040 73.169
9.236490 73.171
9.303422 73.173
9.370838 73.175
9.438743 73.176
9.507140 73.178
9.576033 73.179
9.645425 73.180
9.715319 73.182
9.785721 73.183
9.856632 73.184
9.928057 73.185
10.000000 73.186
10.072464 73.187
10.145453 73.187
10.218971 73.188
10.293022 73.189
10.367610 73.189
10.442738 73.190
10.518410 73.190
10.594631 73.190
10.671404 73.191
10.748733 73.191
10.826623 73.191
10.905077 73.192
10.984100 73.192
11.063695 73.192
11.143867 73.192
11.224620 73.192
11.305959 73.192
11.387886 73.192
11.470408 73.192
11.553527 73.192
11.637249 73.192
11.721577 73.192
11.806516 73.192
11.892071 73.192
11.978246 73.192
12.065045 73.191
12.152474 73.191
12.240535 73.191
12.329235 73.190
12.418578 73.190
12.508568 73.190
12.599210 73.189
12.690510 73.189
12.782470 73.189
12.875097 73.188
12.968396 73.188
13.062370 73.188
13.157025 73.187
13.252366 73.187
13.348399 73.186
13.445127 73.186
13.542555 73.185
13.640690 73.184
13.739536 73.184
13.839099 73.183
13.939383 73.182
14.040393 73.182
14.142136 73.181
14.244615 73.180
14.347838 73.180
14.451808 73.179
14.556532 73.178
14.662014 73.177
14.768261 73.177
14.875278 73.176
14.983071 73.175
15.091644 73.174
15.201005 73.173
15.311157 73.172
15.422108 73.171
15.533863 73.170
15.646428 73.169
15.759808 73.168
15.874011 73.167
15.989040 73.166
16.104903 73.165
16.221606 73.164
16.339155 73.162
16.457555 73.161
16.576813 73.160
16.696935 73.159
16.817928 73.157
16.939798 73.156
17.062551 73.154
17.186193 73.153
17.310731 73.152
17.436172 73.150
17.562522 73.149
17.689787 73.147
17.817974 73.145
17.947091 73.143
18.077143 73.141
18.208137 73.139
18.340081 73.138
18.472981 73.136
18.606843 73.134
18.741676 73.132
18.877486 73.130
19.014280 73.128
19.152066 73.126
19.290849 73.124
19.430639 73.121
19.571441 73.119
19.713264 73.116
19.856114 73.114
20.000000 73.111
20.144928 73.109
20.290907 73.106
20.437943 73.104
20.586045 73.101
20.735220 73.098
20.885476 73.095
21.036820 73.092
21.189262 73.089
21.342808 73.086
21.497467 73.082
21.653246 73.079
21.810155 73.076
21.968200 73.072
22.127391 73.069
22.287735 73.065
22.449241 73.062
22.611917 73.058
22.775773 73.054
22.940815 73.050
23.107054 73.045
23.274497 73.041
23.443154 73.037
23.613033 73.033
23.784142 73.028
23.956492 73.024
24.130091 73.019
24.304947 73.014
24.481071 73.009
24.658471 73.004
24.837156 72.998
25.017137 72.993
25.198421 72.988
25.381019 72.982
25.564940 72.976
25.750195 72.970
25.936791 72.964
26.124740 72.958
26.314050 72.952
26.504733 72.946
26.696797 72.939
26.890253 72.932
27.085111 72.925
27.281381 72.918
27.479073 72.911
27.678198 72.903
27.878765 72.896
28.080786 72.888
28.284271 72.880
28.489231 72.872
28.695675 72.864
28.903616 72.855
29.113064 72.847
29.324029 72.838
29.536523 72.829
29.750557 72.820
29.966142 72.810
30.183289 72.801
30.402009 72.791
30.622315 72.781
30.844217 72.771
31.067726 72.760
31.292856 72.749
31.519617 72.738
31.748021 72.727
31.978080 72.716
32.209807 72.704
32.443212 72.693
32.678309 72.681
32.915110 72.668
33.153626 72.656
33.393871 72.643
33.635857 72.630
33.879596 72.616
34.125101 72.602
34.372386 72.588
34.621462 72.574
34.872344 72.560
35.125043 72.545
35.379574 72.530
35.635949 72.515
35.894182 72.499
36.154286 72.483
36.416274 72.467
36.680162 72.451
36.945961 72.434
37.213687 72.417
37.483353 72.400
37.754973 72.382
38.028561 72.364
38.304131 72.346
38.581699 72.328
38.861278 72.309
39.142882 72.289
39.426528 72.270
39.712229 72.250
40.000000 72.230
40.289856 72.209
40.581813 72.188
40.875886 72.167
41.172089 72.146
41.470439 72.124
41.770951 72.102
42.073641 72.079
42.378524 72.056
42.685616 72.033
42.994934 72.009
43.306493 71.986
43.620309 71.961
43.936400 71.937
44.254781 71.912
44.575470 71.887
44.898482 71.861
45.223835 71.835
45.551545 71.809
45.881631 71.783
46.214108 71.756
46.548994 71.728
46.886308 71.701
47.226065 71.673
47.568285 71.644
47.912984 71.615
48.260181 71.586
48.609894 71.557
48.962142 71.527
49.316942 71.497
49.674312 71.467
50.034273 71.436
50.396842 71.405
50.762038 71.374
51.129881 71.342
51.500389 71.310
51.873582 71.278
52.249480 71.245
52.628101 71.211
53.009466 71.178
53.393594 71.144
53.780506 71.110
54.170222 71.076
54.562762 71.041
54.958146 71.006
55.356395 70.970
55.757531 70.935
56.161573 70.899
56.568542 70.863
56.978461 70.826
57.391351 70.789
57.807232 70.752
58.226127 70.714
58.648058 70.676
59.073046 70.638
59.501113 70.600
59.932283 70.561
60.366577 70.522
60.804018 70.483
61.244629 70.443
61.688433 70.404
62.135453 70.364
62.585712 70.323
63.039234 70.283
63.496042 70.242
63.956161 70.201
64.419613 70.160
64.886424 70.119
65.356618 70.077
65.830219 70.035
66.307252 69.993
66.787742 69.951
67.271713 69.908
67.759192 69.866
68.250203 69.823
68.744772 69.780
69.242925 69.737
69.744688 69.694
70.250086 69.650
70.759147 69.607
71.271897 69.563
71.788363 69.520
72.308571 69.476
72.832549 69.432
73.360323 69.389
73.891923 69.345
74.427374 69.301
74.966705 69.257
75.509945 69.213
76.057121 69.170
76.608262 69.126
77.163398 69.082
77.722555 69.039
78.285765 68.995
78.853056 68.952
79.424458 68.909
80.000000 68.866
80.579713 68.823
81.163627 68.781
81.751772 68.738
82.344179 68.697
82.940879 68.655
83.541903 68.614
84.147282 68.573
84.757048 68.532
85.371232 68.492
85.989867 68.452
86.612985 68.412
87.240619 68.373
87.872800 68.335
88.509563 68.297
89.150939 68.259
89.796964 68.222
90.447670 68.186
91.103091 68.150
91.763261 68.114
92.428216 68.080
93.097989 68.046
93.772615 68.013
94.452130 67.980
95.136569 67.948
95.825968 67.917
96.520362 67.887
97.219789 67.856
97.924283 67.828
98.633883 67.801
99.348625 67.774
100.068546 67.747
100.793684 67.723
101.524077 67.699
102.259762 67.675
103.000778 67.652
103.747164 67.631
104.498959 67.611
105.256202 67.591
106.018931 67.572
106.787188 67.555
107.561012 67.539
108.340444 67.523
109.125523 67.508
109.916292 67.495
110.712791 67.483
111.515061 67.472
112.323145 67.461
113.137085 67.452
113.956923 67.444
114.782702 67.437
115.614465 67.430
116.452255 67.425
117.296116 67.422
118.146092 67.419
119.002227 67.416
119.864566 67.416
120.733154 67.416
121.608036 67.417
122.489258 67.418
123.376866 67.422
124.270906 67.426
125.171424 67.430
126.078468 67.436
126.992084 67.443
127.912321 67.451
128.839227 67.459
129.772849 67.468
130.713236 67.479
131.660438 67.490
132.614504 67.502
133.575483 67.514
134.543426 67.528
135.518384 67.542
136.500406 67.557
137.489544 67.572
138.485850 67.588
139.489375 67.605
140.500173 67.623
141.518295 67.640
142.543795 67.659
143.576726 67.679
144.617142 67.698
145.665098 67.718
146.720647 67.739
147.783845 67.760
148.854748 67.781
149.933411 67.802
151.019890 67.824
152.114242 67.847
153.216525 67.869
154.326795 67.892
155.445111 67.915
156.571530 67.938
157.706112 67.961
158.848915 67.985
160.000000 68.008
161.159426 68.032
162.327254 68.055
163.503544 68.079
164.688358 68.103
165.881758 68.127
167.083805 68.151
168.294563 68.174
169.514095 68.198
170.742464 68.221
171.979734 68.245
173.225970 68.268
174.481237 68.291
175.745600 68.314
177.019125 68.337
178.301879 68.359
179.593928 68.381
180.895339 68.403
182.206182 68.425
183.526523 68.446
184.856431 68.468
186.195977 68.489
187.545230 68.510
188.904260 68.530
190.273138 68.550
191.651936 68.569
193.040725 68.589
194.439578 68.608
195.848567 68.627
197.267766 68.645
198.697250 68.663
200.137092 68.681
201.587368 68.698
203.048153 68.715
204.519524 68.731
206.001557 68.747
207.494329 68.763
208.997918 68.778
210.512403 68.793
212.037863 68.807
213.574377 68.821
215.122025 68.835
216.680888 68.849
218.251047 68.862
219.832584 68.874
221.425581 68.887
223.030122 68.899
224.646290 68.911
226.274170 68.922
227.913846 68.932
229.565404 68.943
231.228929 68.953
232.904509 68.963
234.592231 68.973
236.292183 68.982
238.004454 68.991
239.729132 68.999
241.466308 69.008
243.216073 69.016
244.978517 69.024
246.753732 69.031
248.541811 69.038
250.342848 69.045
252.156935 69.051
253.984168 69.057
255.824642 69.063
257.678453 69.069
259.545697 69.075
261.426473 69.080
263.320877 69.085
265.229008 69.090
267.150967 69.095
269.086853 69.099
271.036767 69.103
273.000811 69.108
274.979088 69.111
276.971700 69.115
278.978751 69.119
281.000346 69.122
283.036590 69.125
285.087590 69.128
287.153452 69.131
289.234284 69.134
291.330195 69.136
293.441294 69.138
295.567690 69.141
297.709496 69.143
299.866821 69.145
302.039780 69.147
304.228485 69.149
306.433050 69.151
308.653590 69.153
310.890221 69.154
313.143060 69.156
315.412224 69.157
317.697831 69.159
320.000000 69.160
322.318852 69.161
324.654507 69.162
327.007088 69.163
329.376716 69.164
331.763515 69.165
334.167610 69.166
336.589127 69.166
339.028190 69.167
341.484928 69.168
343.959469 69.169
346.451941 69.169
348.962474 69.170
351.491200 69.170
