* Measurement data measured by REW V5.40 beta 122
* Source: U18dB [plughw:2,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -33.3 dBFS, measurement signal peak level -9.5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 17, 2026, 2:05:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; mic at tweeter level, on tripod. 61cm front tweeter-front mic Measuring the LEFT speaker  Delay -5.9564 ms (-2.043 m, -(6 ft 8.4 in)) using estimated IR delay relative to Acoustic reference played from DAC8STEREO R with no timing offset Clock adjustment: -19.2 ppm
* Measurement: L LEFT@61cm
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 499.87793 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
499.877930	84.545	91.1388
500.244141	84.718	91.2211
500.610352	84.898	91.0424
500.976562	85.045	90.6554
501.342773	85.179	90.4672
501.708984	85.362	90.1172
502.075195	85.513	89.2040
502.441406	85.595	88.2133
502.807617	85.663	87.2209
503.173828	85.693	86.0674
503.540039	85.672	85.1003
503.906250	85.643	84.2126
504.272461	85.562	83.2413
504.638671	85.436	82.5680
505.004882	85.327	82.0856
505.371093	85.206	81.6355
505.737304	85.078	81.5106
506.103515	84.972	81.5563
506.469726	84.861	81.7073
506.835937	84.776	82.1028
507.202148	84.735	82.2899
507.568359	84.658	82.2323
507.934570	84.559	82.3707
508.300781	84.482	82.5641
508.666991	84.410	82.6211
509.033202	84.325	82.5935
509.399413	84.217	82.5767
509.765624	84.106	82.7426
510.131835	84.020	82.8805
510.498046	83.911	82.9431
510.864257	83.783	83.3464
511.230468	83.688	83.8857
511.596679	83.577	84.3470
511.962890	83.467	85.0250
512.329101	83.421	85.5559
512.695311	83.376	85.6543
513.061522	83.309	85.8026
513.427733	83.265	86.0609
513.793944	83.234	86.1798
514.160155	83.196	86.1267
514.526366	83.142	85.8322
514.892577	83.050	85.4263
515.258788	82.938	85.0315
515.624999	82.804	84.4979
515.991210	82.623	83.8635
516.357421	82.417	83.1879
516.723631	82.180	82.3967
517.089842	81.887	81.7327
517.456053	81.558	81.4769
517.822264	81.209	81.4705
518.188475	80.818	81.4971
518.554686	80.371	81.6321
518.920897	79.891	81.9352
519.287108	79.376	82.3931
519.653319	78.804	83.2587
520.019530	78.193	84.6583
520.385741	77.522	86.5477
520.751951	76.800	89.4740
521.118162	76.167	93.6317
521.484373	75.668	98.4368
521.850584	75.269	103.9751
522.216795	75.032	110.2150
522.583006	74.988	116.7012
522.949217	75.169	122.6134
523.315428	75.420	127.0457
523.681639	75.610	131.0870
524.047850	75.912	134.9258
524.414061	76.214	137.3226
524.780271	76.340	139.7269
525.146482	76.544	142.9335
525.512693	76.831	145.3976
525.878904	77.012	147.7517
526.245115	77.220	150.5592
526.611326	77.438	152.9073
526.977537	77.596	155.5161
527.343748	77.865	158.3669
527.709959	78.168	160.3721
528.076170	78.387	162.4280
528.442380	78.695	164.8054
528.808591	79.088	166.1953
529.174802	79.388	166.8483
529.541013	79.633	167.7892
529.907224	79.921	168.8479
530.273435	80.201	169.5730
530.639646	80.412	170.1858
531.005857	80.579	170.9546
531.372068	80.737	171.9229
531.738279	80.926	173.0239
532.104490	81.128	173.9478
532.470700	81.273	174.8973
532.836911	81.418	176.4296
533.203122	81.668	177.9514
533.569333	81.937	178.9642
533.935544	82.200	-179.8677
534.301755	82.542	-178.6396
534.667966	82.918	-177.8679
535.034177	83.288	-177.4008
535.400388	83.667	-177.4216
535.766599	83.997	-177.9805
536.132810	84.280	-178.6017
536.499020	84.557	-179.3099
536.865231	84.798	179.7744
537.231442	84.992	178.8524
537.597653	85.160	177.8712
537.963864	85.286	176.7928
538.330075	85.374	175.7694
538.696286	85.438	174.8578
539.062497	85.491	174.1090
539.428708	85.551	173.4294
539.794919	85.603	172.6680
540.161130	85.627	171.9155
540.527340	85.634	171.2039
540.893551	85.624	170.5198
541.259762	85.617	169.9304
541.625973	85.630	169.2660
541.992184	85.620	168.4183
542.358395	85.557	167.6355
542.724606	85.458	167.1088
543.090817	85.349	166.7964
543.457028	85.237	166.5532
543.823239	85.104	166.3735
544.189450	84.950	166.4624
544.555660	84.801	166.8387
544.921871	84.665	167.3695
545.288082	84.548	168.0560
545.654293	84.469	168.8500
546.020504	84.420	169.7294
546.386715	84.406	170.7286
546.752926	84.424	171.7013
547.119137	84.453	172.5515
547.485348	84.505	173.2999
547.851559	84.597	173.8824
548.217770	84.721	174.2515
548.583980	84.855	174.4299
548.950191	84.986	174.4423
549.316402	85.116	174.1879
549.682613	85.235	173.5029
550.048824	85.325	172.4708
550.415035	85.387	171.2751
550.781246	85.408	169.9482
551.147457	85.365	168.5479
551.513668	85.267	167.1276
551.879879	85.130	165.6288
552.246089	84.954	164.0901
552.612300	84.739	162.6808
552.978511	84.480	161.5182
553.344722	84.163	160.5879
553.710933	83.778	159.8721
554.077144	83.350	159.4817
554.443355	82.934	159.3950
554.809566	82.539	159.4535
555.175777	82.137	159.8531
555.541988	81.747	160.8445
555.908199	81.396	162.2294
556.274409	81.074	163.7651
556.640620	80.781	165.2814
557.006831	80.494	166.5498
557.373042	80.170	167.7859
557.739253	79.853	169.3987
558.105464	79.590	171.1398
558.471675	79.302	172.9197
558.837886	78.995	175.3832
559.204097	78.782	178.1698
559.570308	78.597	-179.5476
559.936519	78.397	-177.1362
560.302729	78.334	-174.6421
560.668940	78.330	-173.0361
561.035151	78.225	-171.5601
561.401362	78.127	-169.6509
561.767573	78.067	-168.4270
562.133784	77.884	-168.0619
562.499995	77.549	-167.3478
562.866206	77.214	-165.6754
563.232417	76.941	-163.9376
563.598628	76.523	-162.5067
563.964839	75.909	-159.8923
564.331049	75.361	-155.8145
564.697260	74.895	-151.3192
565.063471	74.452	-145.3920
565.429682	74.251	-137.7665
565.795893	74.319	-129.7692
566.162104	74.599	-122.0245
566.528315	75.041	-115.0178
566.894526	75.690	-108.6072
567.260737	76.597	-104.1204
567.626948	77.441	-101.8900
567.993159	78.171	-99.9531
568.359369	78.957	-98.7477
568.725580	79.607	-98.9899
569.091791	80.051	-99.2456
569.458002	80.453	-99.3207
569.824213	80.792	-99.6754
570.190424	81.073	-99.7687
570.556635	81.384	-99.8066
570.922846	81.678	-100.0350
571.289057	81.953	-100.1251
571.655268	82.228	-100.3420
572.021479	82.458	-100.7706
572.387689	82.651	-101.2954
572.753900	82.799	-102.0045
573.120111	82.884	-102.5885
573.486322	82.939	-102.9893
573.852533	82.937	-103.2864
574.218744	82.897	-103.1868
574.584955	82.873	-102.9490
574.951166	82.821	-102.5896
575.317377	82.783	-101.5968
575.683588	82.822	-100.4321
576.049798	82.854	-99.3185
576.416009	82.906	-97.8237
576.782220	83.050	-96.4026
577.148431	83.227	-95.3733
577.514642	83.413	-94.4570
577.880853	83.621	-93.6797
578.247064	83.837	-93.1050
578.613275	84.061	-92.7646
578.979486	84.282	-92.6533
579.345697	84.499	-92.7668
579.711908	84.681	-93.1841
580.078118	84.798	-93.6572
580.444329	84.894	-94.1066
580.810540	84.962	-94.7684
581.176751	84.969	-95.3658
581.542962	84.959	-95.6631
581.909173	84.945	-95.8302
582.275384	84.926	-95.9230
582.641595	84.898	-96.1110
583.007806	84.813	-96.1860
583.374017	84.729	-95.7002
583.740228	84.702	-95.1227
584.106438	84.658	-94.6920
584.472649	84.612	-94.1006
584.838860	84.583	-93.6340
585.205071	84.518	-93.0643
585.571282	84.477	-91.9874
585.937493	84.485	-90.9581
586.303704	84.468	-89.9287
586.669915	84.485	-88.6326
587.036126	84.562	-87.6101
587.402337	84.631	-86.8389
587.768548	84.700	-86.0919
588.134758	84.766	-85.4969
588.500969	84.824	-84.8901
588.867180	84.908	-84.3618
589.233391	84.975	-83.9495
589.599602	85.023	-83.2515
589.965813	85.093	-82.4186
590.332024	85.165	-81.6765
590.698235	85.266	-80.9768
591.064446	85.416	-80.6470
591.430657	85.551	-80.5386
591.796868	85.700	-80.2776
592.163078	85.871	-80.3477
592.529289	85.967	-80.8383
592.895500	86.014	-81.1746
593.261711	86.105	-81.5636
593.627922	86.192	-82.3877
593.994133	86.206	-83.2719
594.360344	86.174	-84.0067
594.726555	86.112	-84.8462
595.092766	86.007	-85.8660
595.458977	85.860	-86.9143
595.825188	85.670	-87.7948
596.191398	85.438	-88.4071
596.557609	85.152	-88.8085
596.923820	84.798	-88.9414
597.290031	84.398	-88.6384
597.656242	83.986	-87.7571
598.022453	83.592	-86.0953
598.388664	83.267	-83.7466
598.754875	83.011	-81.0140
599.121086	82.834	-77.9568
599.487297	82.782	-74.9375
599.853507	82.807	-72.3448
600.219718	82.858	-70.0413
600.585929	82.921	-68.0977
600.952140	82.930	-66.4878
601.318351	82.891	-64.7369
601.684562	82.871	-62.7463
602.050773	82.886	-60.6323
602.416984	82.938	-58.3071
602.783195	83.045	-55.8607
603.149406	83.203	-53.6006
603.515617	83.380	-51.7522
603.881827	83.546	-50.0870
604.248038	83.750	-48.3318
604.614249	84.019	-46.7902
604.980460	84.290	-45.6063
605.346671	84.541	-44.5679
605.712882	84.784	-43.7440
606.079093	85.010	-43.1980
606.445304	85.232	-42.8549
606.811515	85.459	-42.7527
607.177726	85.670	-42.8784
607.543937	85.844	-43.0862
607.910147	85.987	-43.2467
608.276358	86.115	-43.5447
608.642569	86.190	-44.1752
609.008780	86.181	-44.7410
609.374991	86.151	-44.9592
609.741202	86.121	-45.0474
610.107413	86.068	-44.9257
610.473624	86.027	-44.5911
610.839835	85.983	-44.3107
611.206046	85.917	-43.9073
611.572257	85.867	-43.3635
611.938467	85.806	-42.8589
612.304678	85.712	-42.1010
612.670889	85.634	-41.0524
613.037100	85.570	-39.9740
613.403311	85.496	-38.8011
613.769522	85.415	-37.3342
614.135733	85.358	-35.3413
614.501944	85.382	-33.0463
614.868155	85.461	-30.8434
615.234366	85.580	-28.4664
615.600577	85.820	-26.0713
615.966787	86.159	-24.2411
616.332998	86.539	-22.9661
616.699209	86.939	-22.2946
617.065420	87.306	-22.2429
617.431631	87.626	-22.5315
617.797842	87.918	-23.1938
618.164053	88.153	-24.2598
618.530264	88.319	-25.4531
618.896475	88.437	-26.6154
619.262686	88.522	-27.7985
619.628897	88.557	-29.0471
619.995107	88.525	-30.1663
620.361318	88.461	-31.0023
620.727529	88.377	-31.7126
621.093740	88.256	-32.1859
621.459951	88.144	-32.2936
621.826162	88.060	-32.4005
622.192373	87.954	-32.5112
622.558584	87.836	-32.3771
622.924795	87.722	-32.0667
623.291006	87.609	-31.5300
623.657216	87.517	-30.9263
624.023427	87.414	-30.4139
624.389638	87.305	-29.7012
624.755849	87.238	-28.9757
625.122060	87.168	-28.3143
625.488271	87.113	-27.3243
625.854482	87.106	-26.3678
626.220693	87.071	-25.5204
626.586904	87.039	-24.4049
626.953115	87.046	-23.4744
627.319326	87.015	-22.6655
627.685536	86.997	-21.5483
628.051747	87.023	-20.5919
628.417958	87.021	-19.7122
628.784169	87.057	-18.6128
629.150380	87.143	-17.8917
629.516591	87.168	-17.4425
629.882802	87.156	-16.5798
630.249013	87.190	-15.5994
630.615224	87.220	-15.0259
630.981435	87.189	-14.4672
631.347646	87.166	-13.4535
631.713856	87.209	-12.3605
632.080067	87.248	-11.3451
632.446278	87.293	-10.0319
632.812489	87.402	-8.7874
633.178700	87.521	-7.8954
633.544911	87.659	-6.9821
633.911122	87.853	-6.3038
634.277333	88.023	-6.0389
634.643544	88.144	-5.7439
635.009755	88.267	-5.4733
635.375966	88.380	-5.4493
635.742176	88.469	-5.5149
636.108387	88.547	-5.5240
636.474598	88.626	-5.4492
636.840809	88.703	-5.4135
637.207020	88.765	-5.4214
637.573231	88.833	-5.3882
637.939442	88.916	-5.4950
638.305653	88.984	-5.7019
638.671864	89.051	-5.9114
639.038075	89.109	-6.3208
639.404286	89.138	-6.7948
639.770496	89.178	-7.3009
640.136707	89.202	-8.0674
640.502918	89.171	-8.7823
640.869129	89.126	-9.3682
641.235340	89.047	-10.1064
641.601551	88.913	-10.7340
641.967762	88.775	-11.2512
642.333973	88.599	-11.8169
642.700184	88.374	-11.9661
643.066395	88.171	-11.7708
643.432606	87.952	-11.5591
643.798816	87.697	-10.8691
644.165027	87.491	-9.6990
644.531238	87.324	-8.5095
644.897449	87.157	-7.1357
645.263660	87.038	-5.4811
645.629871	86.994	-3.8726
645.996082	87.000	-2.5100
646.362293	87.026	-1.2909
646.728504	87.074	-0.1627
647.094715	87.132	0.7029
647.460925	87.168	1.3347
647.827136	87.186	1.7948
648.193347	87.174	2.1606
648.559558	87.155	2.7505
648.925769	87.175	3.3318
649.291980	87.169	3.6508
649.658191	87.122	4.1769
650.024402	87.108	4.7518
650.390613	87.086	5.0431
650.756824	87.043	5.4657
651.123035	87.027	5.8688
651.489245	86.973	6.1061
651.855456	86.885	6.6593
652.221667	86.828	7.2678
652.587878	86.754	7.6537
652.954089	86.665	8.1329
653.320300	86.591	8.6157
653.686511	86.502	9.1062
654.052722	86.403	9.7218
654.418933	86.279	10.2810
654.785144	86.098	11.0182
655.151355	85.912	12.1315
655.517565	85.747	13.4725
655.883776	85.607	15.1597
656.249987	85.527	17.1091
656.616198	85.492	19.1005
656.982409	85.498	21.0728
657.348620	85.545	22.7899
657.714831	85.607	24.2378
658.081042	85.685	25.5233
658.447253	85.757	26.6947
658.813464	85.821	27.9337
659.179675	85.893	29.0865
659.545885	85.942	30.0602
659.912096	85.988	31.1056
660.278307	86.069	32.0590
660.644518	86.143	32.8478
661.010729	86.202	33.7865
661.376940	86.286	34.7754
661.743151	86.382	35.5013
662.109362	86.451	35.9631
662.475573	86.483	36.5194
662.841784	86.533	37.3595
663.207995	86.618	38.0698
663.574205	86.676	38.6038
663.940416	86.734	39.2068
664.306627	86.820	39.5446
664.672838	86.879	39.6770
