* Measurement data measured by REW V5.40 beta 122
* Source: U18dB [plughw:2,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -14.8 dBFS, measurement signal peak level -8.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 17, 2026, 3:09:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; OLD TWEETER, the other spare mic at tweeter level, on tripod. 61cm front tweeter-front mic Measuring the LEFT speaker  Delay 0.0004 ms (0.14 mm, 0.01 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO R with no timing offset Clock adjustment: -14.8 ppm
* Measurement: R RIGHT.OLD.spare2@61cm
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 499.87793 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
499.877930	77.987	117.7377
500.244141	78.749	119.6418
500.610352	79.483	120.6347
500.976562	80.183	121.0688
501.342773	80.922	120.7138
501.708984	81.626	119.1792
502.075195	82.210	117.1714
502.441406	82.730	115.1955
502.807617	83.200	112.9620
503.173828	83.576	110.4375
503.540039	83.858	107.8931
503.906250	84.090	105.4322
504.272461	84.301	102.9899
504.638671	84.482	100.5095
505.004882	84.623	98.1349
505.371093	84.742	95.9469
505.737304	84.843	93.7397
506.103515	84.897	91.4343
506.469726	84.905	89.1394
506.835937	84.886	86.8718
507.202148	84.850	84.6692
507.568359	84.803	82.5842
507.934570	84.732	80.5600
508.300781	84.603	78.6867
508.666991	84.436	77.1731
509.033202	84.284	75.8342
509.399413	84.132	74.3638
509.765624	83.945	72.9899
510.131835	83.752	71.8712
510.498046	83.546	70.7641
510.864257	83.288	69.8481
511.230468	83.030	69.3335
511.596679	82.787	69.0139
511.962890	82.539	69.0784
512.329101	82.328	69.5788
512.695311	82.138	70.1853
513.061522	81.957	71.1121
513.427733	81.846	72.2824
513.793944	81.790	73.4654
514.160155	81.811	74.9101
514.526366	81.968	75.9190
514.892577	82.131	75.9458
515.258788	82.254	75.6090
515.624999	82.400	74.8973
515.991210	82.505	73.6227
516.357421	82.528	72.2852
516.723631	82.503	71.0771
517.089842	82.450	69.8952
517.456053	82.381	68.6706
517.822264	82.276	67.4037
518.188475	82.124	66.4059
518.554686	81.955	65.7380
518.920897	81.770	65.1932
519.287108	81.587	64.7316
519.653319	81.429	64.1601
520.019530	81.273	63.4840
520.385741	81.120	62.8698
520.751951	80.956	62.1427
521.118162	80.740	61.2464
521.484373	80.452	60.1929
521.850584	80.060	59.2855
522.216795	79.620	59.0695
522.583006	79.166	59.1557
522.949217	78.570	59.6774
523.315428	77.903	61.6305
523.681639	77.303	64.4130
524.047850	76.692	68.2981
524.414061	76.306	74.3173
524.780271	76.282	80.6282
525.146482	76.422	87.0665
525.512693	76.898	93.4617
525.878904	77.601	97.6863
526.245115	78.306	100.2746
526.611326	79.067	101.6134
526.977537	79.778	101.5210
527.343748	80.371	100.8434
527.709959	80.894	99.7054
528.076170	81.312	98.0016
528.442380	81.632	96.1517
528.808591	81.917	94.2843
529.174802	82.182	92.3894
529.541013	82.417	90.3242
529.907224	82.568	88.0454
530.273435	82.643	85.8932
530.639646	82.713	83.6783
531.005857	82.752	81.0857
531.372068	82.724	78.4274
531.738279	82.638	75.7842
532.104490	82.457	73.1499
532.470700	82.186	70.7931
532.836911	81.854	68.7951
533.203122	81.472	67.3833
533.569333	81.081	66.5911
533.935544	80.629	66.1297
534.301755	80.069	66.5698
534.667966	79.560	68.1887
535.034177	79.189	70.1607
