* Measurement data measured by REW V5.40 beta 122
* Source: U18dB [plughw:2,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -14.8 dBFS, measurement signal peak level -9.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 17, 2026, 3:01:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; OLD TWEETER  mic at tweeter level, on tripod. 61cm front tweeter-front mic Measuring the LEFT speaker  Delay -0.0003 ms (-0.09 mm, -0 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO R with no timing offset Clock adjustment: -14.9 ppm
* Measurement: R RIGHT.OLD@61cm
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 499.87793 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
499.877930	77.318	114.0948
500.244141	77.962	116.9503
500.610352	78.714	119.0978
500.976562	79.546	120.0094
501.342773	80.365	119.8998
501.708984	81.139	118.9317
502.075195	81.798	117.0628
502.441406	82.302	114.8081
502.807617	82.734	112.6121
503.173828	83.148	110.1463
503.540039	83.467	107.4542
503.906250	83.695	105.1494
504.272461	83.910	103.0794
504.638671	84.089	100.8278
505.004882	84.217	98.5628
505.371093	84.314	96.3325
505.737304	84.372	94.2102
506.103515	84.419	92.2985
506.469726	84.460	90.2122
506.835937	84.426	88.1223
507.202148	84.381	86.4500
507.568359	84.358	84.6455
507.934570	84.255	82.7441
508.300781	84.114	81.4580
508.666991	84.034	80.3534
509.033202	83.943	79.1073
509.399413	83.839	78.1583
509.765624	83.764	77.2366
510.131835	83.649	76.1621
510.498046	83.494	75.2947
510.864257	83.340	74.5583
511.230468	83.175	73.8905
511.596679	83.000	73.5317
511.962890	82.848	73.6007
512.329101	82.751	73.8877
512.695311	82.666	73.9854
513.061522	82.534	74.2356
513.427733	82.457	75.0050
513.793944	82.514	75.4543
514.160155	82.595	75.2686
514.526366	82.679	74.9601
514.892577	82.782	74.4769
515.258788	82.866	73.7425
515.624999	82.933	72.6447
515.991210	82.934	70.9843
516.357421	82.841	69.3409
516.723631	82.747	68.0420
517.089842	82.646	66.6643
517.456053	82.463	65.4757
517.822264	82.255	64.8075
518.188475	82.074	64.1297
518.554686	81.872	63.2897
518.920897	81.648	62.6443
519.287108	81.429	62.3711
519.653319	81.245	62.4622
520.019530	81.113	62.3471
520.385741	80.941	61.6277
520.751951	80.691	60.8134
521.118162	80.430	59.9736
521.484373	80.098	58.8837
521.850584	79.644	58.2251
522.216795	79.147	58.1939
522.583006	78.563	58.4577
522.949217	77.854	59.9231
523.315428	77.195	62.9455
523.681639	76.598	66.9149
524.047850	76.076	72.6363
524.414061	75.882	79.8237
524.780271	76.045	87.0132
525.146482	76.545	93.4634
525.512693	77.260	98.0522
525.878904	78.015	101.3229
526.245115	78.880	103.2857
526.611326	79.684	103.1042
526.977537	80.262	102.2482
527.343748	80.798	101.4592
527.709959	81.299	99.7622
528.076170	81.649	97.7133
528.442380	81.957	95.8652
528.808591	82.234	93.6978
529.174802	82.417	91.6795
529.541013	82.606	89.9681
529.907224	82.792	87.8237
530.273435	82.906	85.4409
530.639646	82.996	82.9806
531.005857	83.033	80.2149
531.372068	82.974	77.5190
531.738279	82.857	74.9114
532.104490	82.651	72.1512
532.470700	82.342	69.5709
532.836911	81.973	67.3621
533.203122	81.552	65.6539
533.569333	81.108	64.5364
533.935544	80.616	63.8052
534.301755	80.052	63.9180
534.667966	79.524	65.0626
535.034177	79.035	66.8810
535.400388	78.614	69.7890
535.766599	78.364	72.7948
536.132810	78.084	75.3174
536.499020	77.863	79.0141
536.865231	78.015	82.5252
537.231442	78.259	84.4517
537.597653	78.442	86.5372
537.963864	78.674	88.7700
538.330075	78.880	90.6753
538.696286	79.141	92.2426
539.062497	79.452	92.4486
539.428708	79.665	92.0716
539.794919	79.904	92.1909
540.161130	80.190	91.9407
540.527340	80.353	91.3714
540.893551	80.447	91.0747
541.259762	80.566	90.5574
541.625973	80.683	89.6466
541.992184	80.776	88.5976
542.358395	80.819	87.7297
542.724606	80.850	87.1376
543.090817	80.868	86.2173
543.457028	80.806	85.1476
543.823239	80.765	84.3169
544.189450	80.743	83.0227
544.555660	80.589	81.8635
544.921871	80.448	81.6393
545.288082	80.376	80.8059
545.654293	80.115	79.4563
546.020504	79.780	79.3513
546.386715	79.602	79.3747
546.752926	79.354	78.6050
547.119137	78.957	78.4389
547.485348	78.531	78.7852
547.851559	77.962	79.5553
548.217770	77.314	82.0819
548.583980	76.794	86.0552
548.950191	76.384	91.1340
549.316402	76.200	97.6518
549.682613	76.339	104.5206
550.048824	76.782	110.8539
550.415035	77.465	115.3283
550.781246	78.143	117.8945
551.147457	78.842	119.7321
551.513668	79.614	120.2456
551.879879	80.248	119.6656
552.246089	80.758	119.2345
552.612300	81.240	118.4851
552.978511	81.616	117.1278
553.344722	81.936	115.7167
553.710933	82.266	113.9810
554.077144	82.524	112.1471
554.443355	82.741	110.8947
554.809566	82.970	109.7207
555.175777	83.140	108.1800
555.541988	83.241	106.4460
555.908199	83.282	104.5738
556.274409	83.265	103.0174
556.640620	83.261	102.0049
557.006831	83.266	101.0401
557.373042	83.211	100.2569
557.739253	83.166	99.9359
558.105464	83.170	99.6039
558.471675	83.159	99.2560
558.837886	83.159	99.2450
559.204097	83.210	99.2457
559.570308	83.275	98.9060
559.936519	83.323	98.3351
560.302729	83.360	97.7552
560.668940	83.415	97.2128
561.035151	83.483	96.4354
561.401362	83.491	95.4281
561.767573	83.434	94.6598
562.133784	83.376	94.0888
562.499995	83.283	93.4567
562.866206	83.133	93.2078
