* Measurement data measured by REW V5.40 beta 122
* Source: U18dB [plughw:2,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -16.4 dBFS, measurement signal peak level -10.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 17, 2026, 1:57:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; mic at tweeter level, on tripod. 61cm front tweeter-front mic Delay 0.0002 ms (0.06 mm, 0 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO R with no timing offset Clock adjustment: -14.6 ppm
* Measurement: R RIGHT@61cm
* Smoothing: Psychoacoustic
* Frequency Step: 96 ppo
* Start Frequency: 499.87793 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
499.877930	80.981	85.0620
503.500251	81.141	85.1437
507.148822	81.303	85.2381
510.823831	81.467	85.3531
514.525471	81.635	85.4962
518.253935	81.810	85.6730
522.009416	81.995	85.8848
525.792112	82.193	86.1276
529.602218	82.406	86.3913
533.439934	82.635	86.6590
537.305460	82.882	86.9072
541.198997	83.146	87.1078
545.120748	83.424	87.2306
549.070917	83.714	87.2450
553.049712	84.011	87.1227
557.057338	84.312	86.8399
561.094005	84.613	86.3786
565.159923	84.909	85.7273
569.255305	85.196	84.8807
573.380364	85.471	83.8404
577.535314	85.732	82.6127
581.720373	85.976	81.2078
585.935759	86.203	79.6394
590.181691	86.410	77.9232
594.458391	86.599	76.0767
598.766081	86.768	74.1173
603.104987	86.920	72.0615
607.475334	87.055	69.9240
611.877351	87.174	67.7171
616.311267	87.279	65.4512
620.777312	87.371	63.1346
625.275720	87.449	60.7737
629.806726	87.515	58.3739
634.370565	87.569	55.9408
638.967476	87.611	53.4796
643.597697	87.640	50.9962
648.261472	87.656	48.4971
652.959042	87.659	45.9878
657.690652	87.649	43.4735
662.456550	87.626	40.9592
667.256983	87.588	38.4492
672.092202	87.537	35.9481
676.962459	87.472	33.4612
681.868008	87.393	30.9960
686.809105	87.299	28.5619
691.786007	87.190	26.1706
696.798973	87.065	23.8366
701.848266	86.923	21.5779
706.934148	86.764	19.4172
712.056884	86.587	17.3810
717.216742	86.391	15.5000
722.413990	86.175	13.8095
727.648899	85.941	12.3486
732.921743	85.689	11.1577
738.232796	85.419	10.2761
743.582335	85.135	9.7388
748.970640	84.841	9.5708
754.397990	84.540	9.7815
759.864668	84.239	10.3579
765.370961	83.946	11.2613
770.917155	83.668	12.4272
776.503538	83.414	13.7701
782.130403	83.193	15.1926
787.798042	83.009	16.5978
793.506751	82.868	17.9019
799.256828	82.769	19.0420
805.048573	82.712	19.9800
810.882287	82.693	20.7005
816.758274	82.706	21.2066
822.676841	82.747	21.5136
828.638297	82.810	21.6435
834.642951	82.891	21.6205
840.691118	82.987	21.4682
846.783113	83.094	21.2074
852.919252	83.212	20.8554
859.099857	83.339	20.4254
865.325248	83.472	19.9262
871.595752	83.611	19.3627
877.911694	83.753	18.7354
884.273404	83.897	18.0405
890.681214	84.041	17.2723
897.135457	84.181	16.4244
903.636470	84.314	15.4909
910.184593	84.436	14.4691
916.780165	84.545	13.3608
923.423532	84.636	12.1738
930.115040	84.709	10.9213
936.855037	84.762	9.6214
943.643875	84.795	8.2947
950.481907	84.808	6.9626
957.369491	84.804	5.6454
964.306985	84.786	4.3600
971.294751	84.756	3.1180
978.333153	84.718	1.9259
985.422558	84.676	0.7852
992.563336	84.631	-0.3069
999.755859	84.586	-1.3578
1007.000502	84.544	-2.3775
1014.297643	84.503	-3.3773
1021.647662	84.465	-4.3675
1029.050942	84.428	-5.3564
1036.507869	84.391	-6.3491
1044.018833	84.353	-7.3469
1051.584224	84.311	-8.3457
1059.204436	84.264	-9.3381
1066.879868	84.212	-10.3129
1074.610920	84.153	-11.2571
1082.397993	84.088	-12.1557
1090.241495	84.018	-12.9920
1098.141835	83.943	-13.7498
1106.099423	83.867	-14.4141
1114.114676	83.791	-14.9710
1122.188010	83.719	-15.4097
1130.319847	83.654	-15.7255
1138.510610	83.602	-15.9214
1146.760727	83.567	-16.0110
1155.070628	83.552	-16.0183
1163.440746	83.559	-15.9783
1171.871518	83.591	-15.9356
1180.363382	83.647	-15.9396
1188.916781	83.724	-16.0381
1197.532162	83.819	-16.2728
1206.209974	83.925	-16.6758
1214.950669	84.037	-17.2660
1223.754702	84.148	-18.0495
1232.622533	84.254	-19.0212
1241.554624	84.349	-20.1658
1250.551441	84.428	-21.4589
1259.613452	84.488	-22.8698
1268.741130	84.526	-24.3625
1277.934952	84.540	-25.8973
1287.195395	84.530	-27.4317
1296.522943	84.495	-28.9225
1305.918083	84.438	-30.3260
1315.381304	84.359	-31.6011
1324.913099	84.262	-32.7095
1334.513966	84.151	-33.6201
1344.184404	84.032	-34.3126
1353.924918	83.910	-34.7802
1363.736016	83.793	-35.0329
1373.618210	83.686	-35.0980
1383.572013	83.598	-35.0191
1393.597946	83.532	-34.8532
1403.696532	83.492	-34.6629
1413.868295	83.479	-34.5097
1424.113768	83.491	-34.4462
1434.433483	83.527	-34.5119
1444.827980	83.581	-34.7320
1455.297799	83.650	-35.1190
1465.843487	83.728	-35.6734
1476.465593	83.812	-36.3884
1487.164671	83.898	-37.2531
1497.941279	83.982	-38.2550
1508.795979	84.064	-39.3815
1519.729337	84.139	-40.6198
1530.741922	84.206	-41.9571
1541.834309	84.263	-43.3801
1553.007076	84.308	-44.8749
1564.260806	84.340	-46.4264
1575.596084	84.356	-48.0181
1587.013503	84.357	-49.6316
1598.513657	84.342	-51.2477
1610.097146	84.309	-52.8460
1621.764573	84.260	-54.4049
1633.516548	84.194	-55.9027
1645.353682	84.113	-57.3173
1657.276593	84.018	-58.6279
1669.285903	83.912	-59.8159
1681.382237	83.797	-60.8661
