* Distortion data saved by REW V5.40 Beta 122
* Dated: Aug 17, 2026, 3:09:35 PM
* Source: U18dB [plughw:2,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -14.8 dBFS, measurement signal peak level -8.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Measurement: R RIGHT.OLD.spare2@61cm
* Frequency Step: 24 ppo
* Freq (Hz)	Fundamental (dB)	THD (%)
500.000	80.462	0.045
515.000	81.851	0.063
530.000	80.334	0.071
545.000	79.990	0.114
560.000	82.581	0.077
580.000	84.620	0.045
600.000	87.706	0.107
615.000	86.381	0.091
630.000	87.458	0.080
650.000	87.563	0.073
670.000	87.339	0.077
690.000	87.328	0.087
710.000	85.985	0.073
730.000	85.329	0.074
750.000	81.617	0.070
775.000	79.439	0.064
800.000	81.402	0.060
825.000	82.141	0.049
850.000	82.192	0.043
875.000	81.925	0.074
900.000	81.926	0.073
925.000	84.188	0.052
950.000	84.820	0.067
975.000	83.585	0.056
1000.000	83.252	0.067
1030.000	84.512	0.068
1060.000	85.096	0.071
1090.000	83.704	0.052
1120.000	82.707	0.076
1150.000	81.422	0.069
1180.000	79.608	0.054
1220.000	82.539	0.041
1250.000	84.837	0.040
1280.000	85.777	0.045
1320.000	85.020	0.058
1360.000	81.306	0.064
1400.000	79.933	0.041
1450.000	83.373	0.066
1500.000	82.924	0.059
1550.000	84.375	0.070
1600.000	84.650	0.059
1650.000	84.995	0.073
1700.000	83.291	0.086
1750.000	81.664	0.069
1800.000	81.027	0.046
1850.000	81.669	0.034
1900.000	84.502	0.064
1950.000	84.535	0.069
2000.000	83.384	0.063
2060.000	82.191	0.044
2120.000	82.790	0.042
2180.000	83.431	0.059
2240.000	83.526	0.062
2300.000	83.191	0.064
2360.000	82.782	0.072
2430.000	81.474	0.043
2500.000	82.577	0.042
2580.000	83.438	0.058
2650.000	82.419	0.038
2720.000	81.163	0.043
2800.000	81.369	0.045
2900.000	82.392	0.073
3000.000	83.082	0.069
3070.000	82.076	0.048
3150.000	81.919	0.031
3250.000	82.001	0.037
3350.000	81.314	0.032
3450.000	81.745	0.024
3550.000	82.723	0.046
3650.000	81.649	0.048
3750.000	81.662	0.036
3870.000	83.456	0.050
4000.000	83.374	0.046
4120.000	81.792	0.043
4250.000	82.319	0.031
4370.000	80.069	0.032
4500.000	78.840	0.032
4620.000	77.707	0.031
4750.000	77.334	0.034
4870.000	80.311	0.030
5000.000	79.769	0.036
5150.000	81.973	0.032
5300.000	80.507	0.036
5450.000	80.406	0.034
5600.000	80.491	0.032
5800.000	79.725	0.029
6000.000	78.995	0.019
6150.000	80.123	0.026
6300.000	80.915	0.054
6500.000	82.246	0.061
6700.000	82.363	0.060
6900.000	82.089	0.047
7100.000	82.646	0.062
7300.000	83.063	0.060
7500.000	83.756	0.053
7750.000	84.767	0.076
8000.000	84.318	0.076
8250.000	83.768	0.075
8500.000	84.079	0.072
8750.000	85.672	0.107
9000.000	86.493	0.102
9250.000	86.239	0.106
9500.000	85.397	0.088
9750.000	84.621	0.077
10000.000	84.925	0.094
10300.000	85.699	0.110
10600.000	86.249	0.089
10900.000	86.583	0.072
