* Distortion data saved by REW V5.40 Beta 122
* Dated: Aug 17, 2026, 3:09:35 PM
* Source: U18dB [plughw:2,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -14.8 dBFS, measurement signal peak level -8.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Measurement: R RIGHT.OLD.spare2@61cm
* Frequency Step: 24 ppo
* Freq (Hz)	Fundamental (dB)	THD (%)	Noise (%)	H2 (%)	H3 (%)	H4 (%)	H5 (%)	H6 (%)	H7 (%)	H8 (%)	H9 (%)
500.000	80.462	0.045	0.089	0.012	0.031	0.014	0.018	0.022	0.030	0.019	0.0093
515.000	81.851	0.063	0.074	0.056	0.028	0.024	0.0078	0.0048	0.015	0.017	0.017
530.000	80.334	0.071	0.075	0.051	0.082	0.023	0.015	0.015	0.023	0.010	0.018
545.000	79.990	0.114	0.094	0.143	0.066	0.047	0.027	0.010	0.020	0.030	0.019
560.000	82.581	0.077	0.079	0.023	0.042	0.034	0.029	0.020	0.023	0.022	0.0093
580.000	84.620	0.045	0.089	0.015	0.019	0.0051	0.0036	0.0088	0.0064	0.0069	0.0064
600.000	87.706	0.107	0.050	0.049	0.016	0.0066	0.0077	0.0071	0.0082	0.0015	0.0028
615.000	86.381	0.091	0.044	0.050	0.022	0.016	0.0055	0.0068	0.0048	0.0079	0.0087
630.000	87.458	0.080	0.048	0.055	0.012	0.011	0.011	0.0066	0.0045	0.0054	0.0043
650.000	87.563	0.073	0.035	0.047	0.011	0.011	0.0068	0.0072	0.0092	0.0081	0.0032
670.000	87.339	0.077	0.024	0.036	0.023	0.0074	0.0025	0.0055	0.0083	0.0062	0.0055
690.000	87.328	0.087	0.032	0.031	0.0073	0.0045	0.0068	0.0041	0.014	0.0076	0.0027
710.000	85.985	0.073	0.040	0.037	0.0029	0.013	0.0036	0.0092	0.0089	0.0057	0.0015
730.000	85.329	0.074	0.040	0.050	0.012	0.013	0.0097	0.010	0.0077	0.0073	0.013
750.000	81.617	0.070	0.065	0.054	0.023	0.033	0.028	0.017	0.011	0.0061	0.016
775.000	79.439	0.064	0.052	0.050	0.024	0.016	0.031	0.034	0.016	0.0099	0.026
800.000	81.402	0.060	0.076	0.038	0.033	0.018	0.028	0.021	0.013	0.014	0.0075
825.000	82.141	0.049	0.056	0.014	0.020	0.018	0.030	0.0081	0.014	0.0096	0.0085
850.000	82.192	0.043	0.053	0.035	0.0099	0.016	0.014	0.0086	0.0050	0.0091	0.011
875.000	81.925	0.074	0.045	0.057	0.013	0.026	0.012	0.018	0.013	0.021	0.013
900.000	81.926	0.073	0.057	0.051	0.025	0.018	0.0090	0.016	0.011	0.019	0.010
925.000	84.188	0.052	0.049	0.020	0.011	0.010	0.012	0.0065	0.0091	0.023	0.0076
950.000	84.820	0.067	0.035	0.029	0.015	0.025	0.015	0.0048	0.012	0.013	0.012
975.000	83.585	0.056	0.036	0.013	0.039	0.015	0.010	0.014	0.011	0.0046	0.010
1000.000	83.252	0.067	0.064	0.040	0.035	0.011	0.0058	0.021	0.0055	0.011	0.020
1030.000	84.512	0.068	0.042	0.034	0.029	0.013	0.0085	0.014	0.0051	0.0029	0.013
1060.000	85.096	0.071	0.034	0.031	0.036	0.0092	0.0093	0.011	0.0031	0.0036	0.0089
1090.000	83.704	0.052	0.160	0.034	0.021	0.0090	0.0078	0.013	0.0095	0.016	0.0054
1120.000	82.707	0.076	0.042	0.061	0.034	0.0068	0.020	0.0058	0.0085	0.014	0.0096
1150.000	81.422	0.069	0.060	0.037	0.041	0.026	0.016	0.016	0.0048	0.026	0.015
1180.000	79.608	0.054	0.055	0.018	0.010	0.031	0.024	0.012	0.0078	0.028	0.025
1220.000	82.539	0.041	0.039	0.019	0.0041	0.018	0.0091	0.016	0.0096	0.011	0.022
1250.000	84.837	0.040	0.040	0.012	0.010	0.014	0.0095	0.0073	0.013	0.0046	0.0067
1280.000	85.777	0.045	0.042	0.022	0.015	0.0091	0.0054	0.0079	0.0098	0.0095	0.012
1320.000	85.020	0.058	0.034	0.030	0.022	0.017	0.011	0.0060	0.0083	0.0091	0.011
1360.000	81.306	0.064	0.045	0.051	0.031	0.0070	0.014	0.014	0.011	0.015	0.017
1400.000	79.933	0.041	0.051	0.029	0.037	0.011	0.0037	0.011	0.012	0.011	0.0081
1450.000	83.373	0.066	0.034	0.015	0.044	0.0061	0.0038	0.0071	0.0097	0.0064	0.016
1500.000	82.924	0.059	0.033	0.018	0.028	0.016	0.013	0.015	0.010	0.0080	0.013
1550.000	84.375	0.070	0.027	0.017	0.026	0.0052	0.0095	0.011	0.0062	0.0058	0.025
1600.000	84.650	0.059	0.027	0.029	0.018	0.0096	0.0051	0.010	0.011	0.0085	0.014
1650.000	84.995	0.073	0.027	0.031	0.028	0.011	0.0066	0.0040	0.012	0.014	0.010
1700.000	83.291	0.086	0.028	0.049	0.028	0.0089	0.020	0.011	0.026	0.014	0.030
1750.000	81.664	0.069	0.044	0.058	0.034	0.0084	0.029	0.0052	0.020	0.013	0.017
1800.000	81.027	0.046	0.043	0.033	0.025	0.018	0.018	0.0079	0.012	0.014	0.0043
1850.000	81.669	0.034	0.025	0.025	0.014	0.011	0.0099	0.0074	0.0083	0.0060	0.0084
1900.000	84.502	0.064	0.024	0.039	0.013	0.0061	0.0046	0.011	0.016	0.015	0.0083
1950.000	84.535	0.069	0.025	0.034	0.028	0.0094	0.013	0.011	0.016	0.014	0.012
2000.000	83.384	0.063	0.057	0.050	0.017	0.0085	0.0090	0.0093	0.015	0.012	0.0098
2060.000	82.191	0.044	0.036	0.030	0.012	0.0062	0.013	0.0086	0.0050	0.025	0.0092
2120.000	82.790	0.042	0.030	0.016	0.015	0.0068	0.0098	0.016	0.0060	0.019	0.028
2180.000	83.431	0.059	0.030	0.034	0.016	0.015	0.0100	0.0055	0.018	0.012	0.0076
2240.000	83.526	0.062	0.022	0.031	0.016	0.012	0.011	0.012	0.0075	0.017	0.010
