* Measurement data measured by REW V5.40 beta 100
* Source: 
* Format: 
* Dated: Sep 23, 2025 2:37:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FRX+2dB-trimmed
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 1.0986328 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.098633 -0.010 0.7210
1.106594 -0.010 0.7263
1.114613 -0.010 0.7316
1.122690 -0.009 0.7369
1.130825 -0.009 0.7423
1.139020 -0.008 0.7477
1.147273 -0.008 0.7530
1.155587 -0.007 0.7585
1.163961 -0.007 0.7639
1.172395 -0.006 0.7693
1.180891 -0.006 0.7748
1.189448 -0.005 0.7803
1.198068 -0.005 0.7858
1.206749 -0.004 0.7914
1.215494 -0.004 0.7969
1.224302 -0.003 0.8025
1.233174 -0.003 0.8081
1.242110 -0.002 0.8138
1.251111 -0.002 0.8195
1.260177 -0.001 0.8252
1.269308 -0.001 0.8309
1.278506 -0.000 0.8367
1.287771 0.000 0.8425
1.297103 0.001 0.8483
1.306502 0.001 0.8542
1.315969 0.002 0.8602
1.325505 0.002 0.8661
1.335111 0.003 0.8721
1.344785 0.004 0.8782
1.354530 0.004 0.8843
1.364346 0.005 0.8905
1.374232 0.005 0.8967
1.384191 0.006 0.9029
1.394221 0.006 0.9092
1.404324 0.007 0.9156
1.414500 0.008 0.9220
1.424750 0.008 0.9285
1.435075 0.009 0.9351
1.445474 0.009 0.9417
1.455948 0.010 0.9484
1.466499 0.010 0.9552
1.477126 0.010 0.9620
1.487830 0.010 0.9689
1.498611 0.010 0.9759
1.509471 0.010 0.9829
1.520409 0.009 0.9899
1.531426 0.009 0.9970
1.542524 0.008 1.0042
1.553701 0.007 1.0114
1.564960 0.007 1.0187
1.576301 0.006 1.0261
1.587723 0.005 1.0335
1.599228 0.004 1.0409
1.610817 0.003 1.0484
1.622490 0.002 1.0560
1.634247 0.001 1.0636
1.646089 0.000 1.0713
1.658018 -0.001 1.0791
1.670032 -0.002 1.0869
1.682134 -0.003 1.0948
1.694323 -0.004 1.1027
1.706601 -0.005 1.1107
1.718968 -0.006 1.1187
1.731424 -0.007 1.1268
1.743971 -0.007 1.1350
1.756608 -0.008 1.1432
1.769338 -0.009 1.1515
1.782159 -0.009 1.1598
1.795073 -0.010 1.1682
1.808081 -0.010 1.1767
1.821183 -0.010 1.1852
1.834380 -0.010 1.1938
1.847673 -0.010 1.2025
1.861062 -0.010 1.2112
1.874548 -0.010 1.2200
1.888132 -0.009 1.2288
1.901814 -0.008 1.2377
1.915595 -0.008 1.2467
1.929476 -0.007 1.2557
1.943458 -0.006 1.2649
1.957541 -0.005 1.2740
1.971726 -0.004 1.2833
1.986014 -0.002 1.2926
2.000406 -0.001 1.3020
2.014901 0.000 1.3115
2.029502 0.001 1.3210
2.044209 0.002 1.3306
2.059022 0.004 1.3403
2.073943 0.005 1.3500
2.088971 0.006 1.3598
2.104109 0.007 1.3697
2.119356 0.008 1.3797
2.134714 0.009 1.3897
2.150183 0.009 1.3998
2.165764 0.010 1.4100
2.181458 0.010 1.4203
2.197266 0.010 1.4306
2.213188 0.010 1.4410
2.229226 0.010 1.4515
2.245379 0.009 1.4621
2.261650 0.009 1.4727
2.278039 0.008 1.4835
2.294547 0.007 1.4943
2.311174 0.006 1.5052
2.327922 0.004 1.5161
2.344791 0.003 1.5272
2.361782 0.002 1.5383
2.378897 0.000 1.5495
2.396135 -0.001 1.5608
2.413499 -0.003 1.5722
2.430988 -0.004 1.5836
2.448604 -0.005 1.5952
2.466347 -0.007 1.6068
2.484219 -0.008 1.6186
2.502221 -0.009 1.6304
2.520353 -0.009 1.6423
2.538617 -0.010 1.6543
2.557013 -0.010 1.6664
2.575542 -0.010 1.6786
2.594205 -0.010 1.6909
2.613004 -0.009 1.7033
2.631939 -0.008 1.7158
2.651011 -0.007 1.7284
2.670221 -0.006 1.7411
2.689571 -0.005 1.7539
2.709061 -0.003 1.7668
2.728691 -0.002 1.7798
2.748465 0.000 1.7929
2.768381 0.002 1.8061
2.788442 0.003 1.8194
2.808648 0.005 1.8328
2.829001 0.006 1.8463
2.849501 0.008 1.8598
2.870150 0.009 1.8735
2.890948 0.010 1.8873
2.911897 0.010 1.9011
2.932998 0.010 1.9150
2.954251 0.010 1.9290
2.975659 0.009 1.9432
2.997222 0.008 1.9574
3.018941 0.007 1.9716
3.040818 0.006 1.9860
3.062853 0.004 2.0005
3.085047 0.002 2.0151
3.107403 0.000 2.0298
3.129920 -0.001 2.0446
3.152601 -0.003 2.0595
3.175446 -0.005 2.0746
3.198457 -0.007 2.0897
3.221634 -0.008 2.1050
3.244979 -0.009 2.1204
3.268494 -0.010 2.1359
3.292179 -0.010 2.1516
3.316035 -0.010 2.1674
3.340064 -0.009 2.1833
3.364268 -0.008 2.1994
3.388647 -0.007 2.2156
3.413202 -0.005 2.2320
3.437936 -0.003 2.2484
3.462849 -0.001 2.2650
3.487942 0.001 2.2818
3.513217 0.003 2.2986
3.538675 0.005 2.3156
3.564318 0.006 2.3327
3.590146 0.008 2.3499
3.616162 0.009 2.3672
3.642366 0.010 2.3847
3.668760 0.010 2.4023
3.695346 0.010 2.4200
3.722124 0.009 2.4378
3.749096 0.007 2.4557
3.776263 0.005 2.4738
3.803627 0.003 2.4920
3.831190 0.001 2.5103
3.858953 -0.001 2.5288
3.886916 -0.003 2.5474
3.915082 -0.005 2.5662
3.943453 -0.007 2.5851
3.972028 -0.009 2.6041
4.000811 -0.010 2.6233
4.029803 -0.010 2.6427
4.059005 -0.009 2.6622
4.088418 -0.008 2.6819
4.118044 -0.007 2.7017
4.147885 -0.005 2.7217
4.177942 -0.003 2.7419
4.208218 -0.000 2.7622
4.238712 0.002 2.7826
4.269427 0.004 2.8033
4.300366 0.007 2.8241
4.331528 0.008 2.8450
4.362916 0.009 2.8661
4.394531 0.010 2.8874
4.426376 0.009 2.9088
4.458451 0.008 2.9304
4.490759 0.006 2.9521
4.523301 0.004 2.9740
4.556079 0.002 2.9961
4.589094 -0.001 3.0184
4.622348 -0.003 3.0408
4.655844 -0.006 3.0634
4.689582 -0.008 3.0862
4.723564 -0.009 3.1091
4.757793 -0.010 3.1323
4.792270 -0.009 3.1556
4.826997 -0.008 3.1791
4.861975 -0.006 3.2028
4.897207 -0.004 3.2267
4.932695 -0.001 3.2507
4.968439 0.002 3.2750
5.004442 0.005 3.2994
5.040706 0.007 3.3240
5.077234 0.009 3.3489
5.114025 0.009 3.3739
5.151084 0.009 3.3991
5.188410 0.008 3.4246
5.226008 0.006 3.4502
5.263878 0.004 3.4761
5.302022 0.001 3.5021
5.340442 -0.002 3.5284
5.379142 -0.005 3.5549
5.418121 -0.007 3.5816
5.457383 -0.009 3.6085
5.496929 -0.009 3.6356
5.536762 -0.009 3.6629
5.576884 -0.007 3.6905
5.617296 -0.004 3.7183
5.658002 -0.001 3.7462
5.699002 0.002 3.7745
5.740299 0.005 3.8029
5.781896 0.007 3.8316
5.823794 0.009 3.8605
5.865995 0.009 3.8897
5.908503 0.008 3.9191
5.951318 0.006 3.9488
5.994444 0.004 3.9787
6.037882 0.000 4.0088
6.081635 -0.003 4.0392
6.125705 -0.006 4.0698
6.170095 -0.008 4.1007
6.214806 -0.009 4.1319
6.259841 -0.009 4.1633
6.305202 -0.007 4.1950
6.350892 -0.004 4.2270
6.396913 -0.001 4.2592
6.443268 0.002 4.2917
6.489959 0.006 4.3244
6.536988 0.008 4.3575
6.584357 0.009 4.3908
6.632070 0.008 4.4245
6.680129 0.006 4.4584
6.728536 0.003 4.4926
6.777294 -0.000 4.5271
6.826405 -0.004 4.5619
6.875872 -0.006 4.5970
6.925697 -0.008 4.6324
6.975884 -0.009 4.6681
7.026434 -0.007 4.7041
7.077350 -0.004 4.7404
7.128635 -0.001 4.7771
7.180293 0.003 4.8140
7.232324 0.006 4.8513
7.284732 0.008 4.8890
7.337520 0.008 4.9270
7.390691 0.007 4.9653
7.444247 0.004 5.0040
7.498191 0.001 5.0430
7.552526 -0.003 5.0824
7.607255 -0.006 5.1222
7.662380 -0.008 5.1623
7.717905 -0.008 5.2028
7.773832 -0.006 5.2436
7.830165 -0.003 5.2849
7.886905 0.001 5.3265
7.944057 0.004 5.3685
8.001623 0.007 5.4109
8.059606 0.008 5.4537
8.118009 0.007 5.4969
8.176836 0.004 5.5405
8.236088 0.000 5.5846
8.295770 -0.003 5.6291
8.355885 -0.007 5.6740
8.416435 -0.008 5.7194
8.477424 -0.007 5.7652
8.538855 -0.004 5.8114
8.600731 -0.000 5.8582
8.663055 0.003 5.9054
8.725832 0.006 5.9530
8.789063 0.008 6.0012
8.852752 0.007 6.0499
8.916902 0.003 6.0990
8.981518 -0.000 6.1487
9.046602 -0.004 6.1988
9.112157 -0.007 6.2495
9.178188 -0.007 6.3008
9.244696 -0.005 6.3527
9.311687 -0.002 6.4050
9.379164 0.002 6.4580
9.447129 0.006 6.5115
9.515587 0.007 6.5657
9.584541 0.006 6.6204
9.653994 0.003 6.6758
9.723951 -0.001 6.7317
9.794415 -0.005 6.7883
9.865389 -0.007 6.8457
9.936878 -0.006 6.9037
10.008884 -0.004 6.9623
10.081413 0.000 7.0217
10.154467 0.004 7.0818
10.228051 0.006 7.1427
10.302167 0.006 7.2043
10.376821 0.003 7.2667
10.452016 -0.001 7.3298
10.527755 -0.004 7.3938
10.604044 -0.006 7.4587
10.680885 -0.006 7.5244
10.758283 -0.002 7.5911
10.836242 0.002 7.6587
10.914766 0.005 7.7272
10.993859 0.006 7.7967
11.073525 0.005 7.8672
11.153768 0.001 7.9387
11.234593 -0.003 8.0112
11.316003 -0.005 8.0850
11.398004 -0.005 8.1599
11.480599 -0.003 8.2360
11.563792 0.001 8.3133
11.647588 0.004 8.3919
11.731991 0.005 8.4721
11.817006 0.004 8.5536
11.902637 0.000 8.6366
11.988888 -0.003 8.7211
12.075764 -0.005 8.8073
12.163270 -0.004 8.8949
12.251411 -0.001 8.9840
12.340189 0.003 9.0751
12.429611 0.005 9.1685
12.519681 0.004 9.2646
12.610404 0.001 9.3632
12.701784 -0.002 9.4642
12.793827 -0.004 9.5678
12.886536 -0.004 9.6736
12.979917 -0.001 9.7814
13.073975 0.002 9.8924
13.168715 0.004 10.0081
13.264140 0.003 10.1278
13.360258 0.001 10.2506
13.457072 -0.002 10.3805
13.554587 -0.003 10.5217
13.652809 -0.003 10.6759
13.751743 -0.001 10.8410
13.851394 0.003 11.0150
13.951767 0.007 11.1965
14.052867 0.011 11.3911
14.154700 0.017 11.5921
14.257271 0.027 11.7892
14.360585 0.043 11.9773
14.464648 0.064 12.1622
14.569465 0.087 12.3386
14.675041 0.108 12.5010
14.781382 0.126 12.6482
14.888494 0.144 12.7833
14.996382 0.163 12.9092
15.105052 0.187 13.0259
15.214510 0.213 13.1319
15.324760 0.238 13.2319
15.435810 0.259 13.3298
15.547664 0.275 13.4235
15.660329 0.290 13.5135
15.773810 0.309 13.6012
15.888114 0.333 13.6867
16.003246 0.359 13.7693
16.119212 0.383 13.8479
16.236018 0.401 13.9220
16.353671 0.418 13.9923
16.472176 0.436 14.0598
16.591541 0.458 14.1249
16.711770 0.483 14.1872
16.832870 0.506 14.2473
16.954848 0.525 14.3056
17.077710 0.542 14.3618
17.201462 0.560 14.4145
17.326111 0.584 14.4629
17.451663 0.609 14.5074
17.578125 0.633 14.5488
17.705503 0.651 14.5867
17.833805 0.667 14.6215
17.963036 0.686 14.6544
18.093203 0.710 14.6859
18.224314 0.735 14.7151
18.356375 0.756 14.7417
18.489393 0.773 14.7658
18.623375 0.790 14.7868
18.758327 0.812 14.8042
18.894258 0.837 14.8180
19.031174 0.861 14.8283
19.169081 0.879 14.8351
19.307988 0.896 14.8384
19.447902 0.915 14.8376
19.588829 0.940 14.8324
19.730778 0.965 14.8236
19.873756 0.984 14.8128
20.017769 1.000 14.7995
20.162826 1.019 14.7797
20.308934 1.044 14.7544
20.456101 1.070 14.7200
20.604334 1.090 14.6685
20.753642 1.105 14.6017
20.904031 1.123 14.5337
21.055511 1.146 14.4628
