* Measurement data measured by REW V5.40 beta 73
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Mar 11, 2025 7:35:45 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A times B A = Lfilter B = XOfix 
* Measurement: FilterL
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 -0.002 0.1475
0.732422 0.002 0.2692
1.098633 0.003 0.3700
1.464844 0.000 0.4798
1.831055 -0.003 0.6179
2.197265 -0.003 0.7697
2.563476 0.001 0.9043
2.929687 0.004 1.0114
3.295898 0.002 1.1136
3.662109 -0.002 1.2392
4.028320 -0.003 1.3887
4.394531 -0.001 1.5340
4.760742 0.003 1.6519
5.126953 0.003 1.7521
5.493164 -0.000 1.8651
5.859375 -0.003 2.0062
6.225585 -0.002 2.1569
6.591796 0.001 2.2871
6.958007 0.004 2.3911
7.324218 0.002 2.4942
7.690429 -0.002 2.6227
8.056640 -0.003 2.7722
8.422851 -0.000 2.9130
8.789062 0.003 3.0257
9.155273 0.003 3.1242
9.521484 -0.001 3.2391
9.887695 -0.004 3.3812
10.253905 -0.002 3.5286
10.620116 0.002 3.6527
10.986327 0.003 3.7529
11.352538 0.001 3.8566
11.718749 -0.003 3.9871
12.084960 -0.003 4.1352
12.451171 0.000 4.2706
12.817382 0.003 4.3780
13.183593 0.003 4.4755
13.549804 -0.001 4.5926
13.916015 -0.003 4.7352
14.282225 -0.001 4.8782
14.648436 0.002 4.9961
15.014647 0.003 5.0931
15.380858 0.000 5.1984
15.747069 -0.003 5.3305
16.113280 -0.003 5.4756
16.479491 0.001 5.6036
16.845702 0.004 5.7046
17.211913 0.002 5.8007
17.578124 -0.002 5.9194
17.944335 -0.003 6.0605
18.310545 -0.001 6.1965
18.676756 0.003 6.3055
19.042967 0.003 6.3975
19.409178 -0.000 6.5022
19.775389 -0.003 6.6334
20.141600 -0.002 6.7724
20.507811 0.001 6.8906
20.874022 0.003 6.9843
21.240233 0.001 7.0783
21.606444 -0.002 7.1964
21.972654 -0.003 7.3325
22.338865 -0.000 7.4582
22.705076 0.003 7.5574
23.071287 0.002 7.6455
23.437498 -0.001 7.7505
23.803709 -0.003 7.8787
24.169920 -0.001 8.0074
24.536131 0.002 8.1129
24.902342 0.003 8.1991
25.268553 0.000 8.2924
25.634764 -0.002 8.4090
26.000974 -0.002 8.5353
26.367185 0.001 8.6450
26.733396 0.003 8.7321
27.099607 0.001 8.8172
27.465818 -0.001 8.9205
27.832029 -0.002 9.0359
28.198240 0.000 9.1387
28.564451 0.001 9.2202
28.930662 -0.001 9.3014
29.296873 -0.006 9.4087
29.663084 -0.006 9.5372
30.029294 -0.001 9.6515
30.395505 0.004 9.7253
30.761716 0.004 9.7755
31.127927 -0.001 9.8453
31.494138 -0.005 9.9542
31.860349 -0.003 10.0737
32.226560 0.002 10.1595
32.592771 0.005 10.2057
32.958982 0.002 10.2525
33.325193 -0.004 10.3385
33.691404 -0.005 10.4518
34.057614 0.001 10.5424
34.423825 0.006 10.5831
34.790036 0.004 10.6052
35.156247 -0.003 10.6618
35.522458 -0.006 10.7618
35.888669 -0.002 10.8541
36.254880 0.006 10.8888
36.621091 0.007 10.8809
36.987302 -0.001 10.8964
37.353513 -0.008 10.9717
37.719724 -0.005 11.0623
38.085934 0.005 11.0917
38.452145 0.010 11.0467
38.818356 0.002 11.0016
39.184567 -0.010 11.0312
39.550778 -0.010 11.1126
39.916989 0.002 11.1389
40.283200 0.014 11.0471
40.649411 0.009 10.9059
41.015622 -0.009 10.8449
41.381833 -0.019 10.8945
41.748044 -0.006 10.9245
42.114254 0.017 10.7844
42.480465 0.021 10.4947
42.846676 -0.003 10.2484
43.212887 -0.029 10.1894
43.579098 -0.021 10.2018
43.945309 0.018 9.9907
44.311520 0.044 9.4257
44.677731 0.016 8.7449
45.043942 -0.047 8.3352
45.410153 -0.067 8.2394
45.776363 0.007 7.8877
46.142574 0.116 6.5342
46.508785 0.111 4.0279
46.874996 -0.140 1.0803
47.241207 -0.658 -1.0441
47.607418 -1.298 -1.1911
47.973629 -1.788 0.6147
48.339840 -1.968 2.6133
48.706051 -2.005 2.9406
49.072262 -2.222 1.5762
49.438473 -2.823 0.1664
49.804683 -3.769 1.0114
50.170894 -4.724 5.8026
50.537105 -5.201 13.5561
50.903316 -5.110 20.8910
51.269527 -4.808 26.3338
51.635738 -4.504 31.1414
52.001949 -4.056 36.3636
52.368160 -3.273 40.9823
52.734371 -2.249 43.1442
53.100582 -1.271 42.3973
53.466793 -0.544 39.6834
53.833003 -0.123 36.2712
54.199214 0.044 33.1521
54.565425 0.056 30.8472
54.931636 0.014 29.4018
55.297847 -0.018 28.5494
55.664058 -0.022 27.9690
56.030269 -0.008 27.4571
56.396480 0.009 26.9413
56.762691 0.016 26.4317
57.128902 0.009 25.9865
57.495113 -0.006 25.6695
57.861323 -0.015 25.4862
58.227534 -0.009 25.3515
58.593745 0.007 25.1566
58.959956 0.016 24.8810
59.326167 0.007 24.6215
59.692378 -0.011 24.4878
60.058589 -0.017 24.4719
60.424800 -0.004 24.4434
60.791011 0.014 24.2933
61.157222 0.016 24.0630
61.523433 -0.001 23.9002
61.889643 -0.018 23.8889
62.255854 -0.015 23.9438
62.622065 0.006 23.9019
62.988276 0.020 23.7144
63.354487 0.011 23.5072
63.720698 -0.012 23.4373
64.086909 -0.021 23.5062
64.453120 -0.005 23.5486
64.819331 0.018 23.4245
65.185542 0.020 23.1876
65.551753 -0.001 23.0261
65.917963 -0.022 23.0443
66.284174 -0.017 23.1308
66.650385 0.009 23.0818
67.016596 0.026 22.8438
67.382807 0.012 22.5818
67.749018 -0.017 22.4906
68.115229 -0.027 22.5620
68.481440 -0.005 22.5795
68.847651 0.024 22.3710
69.213862 0.025 22.0181
69.580072 -0.004 21.7677
69.946283 -0.031 21.7453
70.312494 -0.022 21.7909
70.678705 0.015 21.6311
71.044916 0.035 21.2068
71.411127 0.014 20.7529
71.777338 -0.027 20.5347
72.143549 -0.038 20.5255
72.509760 -0.003 20.4031
72.875971 0.039 19.9188
73.242182 0.038 19.2039
73.608392 -0.011 18.6368
73.974603 -0.053 18.4083
74.340814 -0.033 18.2424
74.707025 0.033 17.6568
75.073236 0.068 16.5281
75.439447 0.022 15.2690
75.805658 -0.066 14.4012
76.171869 -0.089 13.8860
76.538080 0.011 12.8941
76.904291 0.141 10.4985
77.270502 0.115 6.5566
77.636712 -0.226 1.8338
78.002923 -0.946 -2.3618
78.369134 -1.978 -4.5725
78.735345 -3.106 -3.7594
79.101556 -4.032 -0.1975
79.467767 -4.606 4.4211
79.833978 -4.932 8.6702
80.200189 -5.156 12.4813
80.566400 -5.300 16.2328
80.932611 -5.330 19.7776
81.298822 -5.286 22.7213
81.665032 -5.251 25.1744
82.031243 -5.239 27.7005
82.397454 -5.166 30.5417
82.763665 -4.962 33.1582
83.129876 -4.684 34.8140
83.496087 -4.467 35.4766
83.862298 -4.387 35.8613
84.228509 -4.403 36.7722
84.594720 -4.396 38.4273
84.960931 -4.282 40.3128
85.327142 -4.083 41.7772
85.693352 -3.878 42.6591
86.059563 -3.711 43.2186
86.425774 -3.574 43.6877
86.791985 -3.456 44.0654
87.158196 -3.368 44.3085
87.524407 -3.336 44.5694
87.890618 -3.350 45.1330
88.256829 -3.372 46.1388
88.623040 -3.374 47.4946
88.989251 -3.361 49.1736
89.355462 -3.323 51.4829
89.721672 -3.154 54.6888
90.087883 -2.700 58.1393
90.454094 -1.946 60.2257
90.820305 -1.095 59.8061
91.186516 -0.397 57.1175
91.552727 0.008 53.2902
91.918938 0.119 49.6065
92.285149 0.043 46.9926
92.651360 -0.056 45.6246
93.017571 -0.065 44.8728
93.383781 0.001 43.9322
93.749992 0.053 42.5763
94.116203 0.035 41.1816
94.482414 -0.021 40.1709
94.848625 -0.045 39.5231
95.214836 -0.012 38.8105
95.581047 0.034 37.7131
95.947258 0.035 36.3665
96.313469 -0.010 35.1528
96.679680 -0.043 34.2081
97.045891 -0.015 33.1758
97.412101 0.045 31.5233
97.778312 0.047 29.0921
98.144523 -0.086 26.2500
98.510734 -0.362 23.5821
98.876945 -0.724 21.4522
99.243156 -1.109 19.7548
99.609367 -1.513 18.1068
99.975578 -2.002 16.3600
100.341789 -2.643 14.9126
100.708000 -3.433 14.5301
101.074211 -4.269 15.8091
101.440421 -5.006 18.6258
101.806632 -5.579 22.2178
102.172843 -6.041 26.0567
102.539054 -6.440 30.3456
102.905265 -6.724 35.4232
103.271476 -6.791 40.9430
103.637687 -6.637 46.0492
104.003898 -6.351 50.3153
104.370109 -5.996 53.9357
104.736320 -5.551 57.0262
105.102531 -4.999 59.1905
105.468741 -4.411 59.9327
105.834952 -3.909 59.2624
106.201163 -3.581 57.7340
106.567374 -3.440 56.0731
106.933585 -3.439 54.8111
107.299796 -3.512 54.1179
107.666007 -3.615 53.9018
108.032218 -3.740 54.0838
108.398429 -3.881 54.7584
108.764640 -4.001 56.0550
109.130851 -4.040 57.8549
109.497061 -3.967 59.7165
109.863272 -3.811 61.1761
110.229483 -3.642 62.1042
110.595694 -3.513 62.7465
110.961905 -3.426 63.4904
111.328116 -3.338 64.5840
111.694327 -3.191 65.9538
112.060538 -2.953 67.2265
112.426749 -2.650 67.9888
112.792960 -2.348 68.1066
113.159171 -2.106 67.8408
113.525381 -1.928 67.6775
113.891592 -1.746 67.9531
114.257803 -1.468 68.4697
114.624014 -1.060 68.4965
114.990225 -0.594 67.3450
115.356436 -0.203 64.9402
115.722647 0.018 61.8310
116.088858 0.058 58.8156
116.455069 -0.006 56.4923
116.821280 -0.057 54.8726
117.187490 -0.025 53.3308
117.553701 0.053 51.1245
117.919912 0.062 48.0261
118.286123 -0.093 44.4347
118.652334 -0.438 41.0488
119.018545 -0.923 38.4577
119.384756 -1.459 36.8303
119.750967 -1.982 35.8758
120.117178 -2.499 35.1980
120.483389 -3.063 34.7488
120.849600 -3.702 34.9078
121.215810 -4.373 36.1387
121.582021 -4.982 38.5289
121.948232 -5.452 41.6436
122.314443 -5.786 44.9088
122.680654 -6.031 48.0642
123.046865 -6.217 51.1305
123.413076 -6.349 54.1062
123.779287 -6.441 56.8989
124.145498 -6.527 59.5324
124.511709 -6.624 62.2503
124.877920 -6.705 65.3076
125.244130 -6.718 68.6740
125.610341 -6.642 72.0336
125.976552 -6.505 75.1305
126.342763 -6.345 78.0233
126.708974 -6.163 80.9347
127.075185 -5.924 83.9213
127.441396 -5.602 86.7662
127.807607 -5.213 89.2084
128.173818 -4.790 91.1940
128.540029 -4.350 92.8396
128.906240 -3.878 94.2005
129.272450 -3.360 95.1375
129.638661 -2.811 95.4195
130.004872 -2.272 94.9258
130.371083 -1.786 93.7315
130.737294 -1.382 92.0398
131.103505 -1.068 90.0729
131.469716 -0.838 88.0105
131.835927 -0.682 85.9814
132.202138 -0.585 84.0722
132.568349 -0.531 82.3226
132.934560 -0.507 80.7160
133.300770 -0.504 79.1919
133.666981 -0.525 77.6924
134.033192 -0.580 76.2070
134.399403 -0.674 74.7779
134.765614 -0.809 73.4607
135.131825 -0.985 72.2891
135.498036 -1.204 71.2865
135.864247 -1.477 70.5247
136.230458 -1.810 70.1747
136.596669 -2.194 70.4933
136.962880 -2.588 71.7277
137.329090 -2.928 73.9733
137.695301 -3.140 77.0574
138.061512 -3.171 80.5363
138.427723 -3.014 83.8318
138.793934 -2.706 86.4335
139.160145 -2.315 88.0534
139.526356 -1.913 88.6702
139.892567 -1.558 88.4711
140.258778 -1.278 87.7379
140.624989 -1.077 86.7336
140.991199 -0.948 85.6349
141.357410 -0.880 84.5290
141.723621 -0.871 83.4678
142.089832 -0.925 82.5355
142.456043 -1.042 81.8872
142.822254 -1.211 81.7362
143.188465 -1.399 82.2943
143.554676 -1.546 83.6598
143.920887 -1.580 85.6714
144.287098 -1.449 87.8329
144.653309 -1.160 89.4713
145.019519 -0.787 90.0921
145.385730 -0.429 89.6247
145.751941 -0.164 88.3851
146.118152 -0.021 86.8671
