* Measurement data measured by REW V5.40 beta 100
* Source: Vector average
* Format: Vector average
* Dated: Sep 23, 2025 2:34:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 69.5 dB
* Note: ; Vector average of L2+2dB, R2+2dB
* Measurement: L2R2+2dB
* Smoothing: Psychoacoustic
* Frequency Step: 96 ppo
* Start Frequency: 1.0986328 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.098633 46.828 86.6364
1.106594 46.783 87.0615
1.114613 46.735 87.5179
1.122690 46.685 88.0069
1.130825 46.632 88.5300
1.139020 46.576 89.0886
1.147273 46.518 89.6840
1.155587 46.457 90.3177
1.163961 46.395 90.9910
1.172395 46.329 91.7053
1.180891 46.262 92.4619
1.189448 46.193 93.2620
1.198068 46.122 94.1070
1.206749 46.049 94.9978
1.215494 45.975 95.9356
1.224302 45.900 96.9210
1.233174 45.824 97.9548
1.242110 45.748 99.0373
1.251111 45.672 100.1686
1.260177 45.596 101.3483
1.269308 45.520 102.5758
1.278506 45.447 103.8498
1.287771 45.375 105.1686
1.297103 45.306 106.5298
1.306502 45.240 107.9304
1.315969 45.178 109.3667
1.325505 45.121 110.8344
1.335111 45.070 112.3285
1.344785 45.026 113.8431
1.354530 44.989 115.3721
1.364346 44.960 116.9087
1.374232 44.941 118.4456
1.384191 44.933 119.9755
1.394221 44.935 121.4906
1.404324 44.949 122.9835
1.414500 44.976 124.4467
1.424750 45.015 125.8732
1.435075 45.067 127.2562
1.445474 45.133 128.5897
1.455948 45.211 129.8683
1.466499 45.302 131.0870
1.477126 45.406 132.2420
1.487830 45.521 133.3298
1.498611 45.647 134.3479
1.509471 45.783 135.2942
1.520409 45.928 136.1675
1.531426 46.081 136.9671
1.542524 46.241 137.6927
1.553701 46.407 138.3444
1.564960 46.578 138.9229
1.576301 46.753 139.4289
1.587723 46.931 139.8636
1.599228 47.112 140.2281
1.610817 47.294 140.5240
1.622490 47.477 140.7528
1.634247 47.660 140.9159
1.646089 47.842 141.0151
1.658018 48.024 141.0519
1.670032 48.204 141.0281
1.682134 48.383 140.9453
1.694323 48.559 140.8053
1.706601 48.732 140.6096
1.718968 48.903 140.3602
1.731424 49.070 140.0586
1.743971 49.234 139.7067
1.756608 49.394 139.3065
1.769338 49.551 138.8597
1.782159 49.703 138.3686
1.795073 49.851 137.8352
1.808081 49.994 137.2619
1.821183 50.134 136.6509
1.834380 50.268 136.0049
1.847673 50.398 135.3266
1.861062 50.522 134.6187
1.874548 50.642 133.8842
1.888132 50.756 133.1262
1.901814 50.866 132.3478
1.915595 50.970 131.5524
1.929476 51.068 130.7433
1.943458 51.161 129.9239
1.957541 51.248 129.0976
1.971726 51.329 128.2679
1.986014 51.405 127.4382
2.000406 51.474 126.6118
2.014901 51.538 125.7920
2.029502 51.595 124.9821
2.044209 51.646 124.1853
2.059022 51.691 123.4045
2.073943 51.730 122.6428
2.088971 51.762 121.9031
2.104109 51.788 121.1881
2.119356 51.807 120.5006
2.134714 51.820 119.8435
2.150183 51.827 119.2193
2.165764 51.827 118.6310
2.181458 51.821 118.0812
2.197266 51.809 117.5729
2.213188 51.792 117.1092
2.229226 51.768 116.6933
2.245379 51.739 116.3285
2.261650 51.705 116.0187
2.278039 51.666 115.7677
2.294547 51.622 115.5797
2.311174 51.574 115.4593
2.327922 51.523 115.4114
2.344791 51.468 115.4412
2.361782 51.411 115.5542
2.378897 51.352 115.7563
2.396135 51.292 116.0535
2.413499 51.231 116.4522
2.430988 51.171 116.9587
2.448604 51.112 117.5793
2.466347 51.055 118.3201
2.484219 51.001 119.1870
2.502221 50.950 120.1848
2.520353 50.904 121.3179
2.538617 50.863 122.5889
2.557013 50.828 123.9991
2.575542 50.799 125.5476
2.594205 50.778 127.2312
2.613004 50.764 129.0438
2.631939 50.757 130.9764
2.651011 50.758 133.0172
2.670221 50.767 135.1511
2.689571 50.783 137.3607
2.709061 50.806 139.6261
2.728691 50.835 141.9263
2.748465 50.870 144.2395
2.768381 50.911 146.5445
2.788442 50.956 148.8210
2.808648 51.004 151.0508
2.829001 51.055 153.2181
2.849501 51.108 155.3103
2.870150 51.162 157.3175
2.890948 51.215 159.2333
2.911897 51.268 161.0538
2.932998 51.319 162.7779
2.954251 51.368 164.4069
2.975659 51.413 165.9437
2.997222 51.455 167.3932
3.018941 51.491 168.7611
3.040818 51.522 170.0543
3.062853 51.548 171.2804
3.085047 51.566 172.4474
3.107403 51.578 173.5639
3.129920 51.582 174.6386
3.152601 51.579 175.6805
3.175446 51.567 176.6986
3.198457 51.547 177.7024
3.221634 51.518 178.7013
3.244979 51.480 179.7051
3.268494 51.434 -179.2762
3.292179 51.378 -178.2321
3.316035 51.314 -177.1519
3.340064 51.241 -176.0240
3.364268 51.159 -174.8362
3.388647 51.068 -173.5756
3.413202 50.970 -172.2278
3.437936 50.864 -170.7779
3.462849 50.750 -169.2089
3.487942 50.630 -167.5028
3.513217 50.503 -165.6397
3.538675 50.371 -163.5979
3.564318 50.234 -161.3542
3.590146 50.093 -158.8835
3.616162 49.948 -156.1599
3.642366 49.801 -153.1572
3.668760 49.653 -149.8502
3.695346 49.504 -146.2171
3.722124 49.354 -142.2418
3.749096 49.206 -137.9177
3.776263 49.059 -133.2516
3.803627 48.915 -128.2670
3.831190 48.774 -123.0067
3.858953 48.636 -117.5320
3.886916 48.502 -111.9193
3.915082 48.373 -106.2532
3.943453 48.248 -100.6168
3.972028 48.128 -95.0835
4.000811 48.012 -89.7095
4.029803 47.902 -84.5306
4.059005 47.795 -79.5615
4.088418 47.693 -74.7981
4.118044 47.595 -70.2211
4.147885 47.501 -65.7988
4.177942 47.411 -61.4909
4.208218 47.326 -57.2501
4.238712 47.244 -53.0237
4.269427 47.166 -48.7546
4.300366 47.092 -44.3819
4.331528 47.023 -39.8415
4.362916 46.958 -35.0667
4.394531 46.899 -29.9915
4.426376 46.845 -24.5546
4.458451 46.798 -18.7075
4.490759 46.757 -12.4252
4.523301 46.722 -5.7200
4.556079 46.695 1.3456
4.589094 46.676 8.6533
4.622348 46.664 16.0363
4.655844 46.660 23.3031
4.689582 46.664 30.2693
4.723564 46.676 36.7865
4.757793 46.695 42.7590
4.792270 46.722 48.1434
4.826997 46.756 52.9392
4.861975 46.797 57.1743
4.897207 46.844 60.8925
4.932695 46.898 64.1437
4.968439 46.958 66.9778
5.004442 47.024 69.4407
5.040706 47.096 71.5734
5.077234 47.174 73.4105
5.114025 47.259 74.9803
5.151084 47.349 76.3055
5.188410 47.446 77.4027
5.226008 47.550 78.2831
5.263878 47.660 78.9526
5.302022 47.778 79.4119
5.340442 47.903 79.6571
5.379142 48.035 79.6802
5.418121 48.174 79.4705
5.457383 48.320 79.0164
5.496929 48.472 78.3094
5.536762 48.631 77.3495
5.576884 48.795 76.1498
5.617296 48.965 74.7438
5.658002 49.139 73.1880
5.699002 49.317 71.5593
5.740299 49.499 69.9468
5.781896 49.683 68.4376
5.823794 49.869 67.1017
5.865995 50.056 65.9824
5.908503 50.244 65.0936
5.951318 50.432 64.4240
5.994444 50.620 63.9454
6.037882 50.806 63.6208
6.081635 50.991 63.4111
6.125705 51.173 63.2799
6.170095 51.353 63.1956
6.214806 51.529 63.1315
6.259841 51.703 63.0663
6.305202 51.872 62.9829
6.350892 52.037 62.8674
6.396913 52.199 62.7082
6.443268 52.356 62.4951
6.489959 52.508 62.2186
6.536988 52.656 61.8693
6.584357 52.800 61.4366
6.632070 52.939 60.9094
6.680129 53.074 60.2743
6.728536 53.206 59.5155
6.777294 53.334 58.6139
6.826405 53.459 57.5461
6.875872 53.581 56.2839
6.925697 53.701 54.7917
6.975884 53.819 53.0259
7.026434 53.935 50.9320
7.077350 54.049 48.4417
7.128635 54.162 45.4704
7.180293 54.274 41.9144
7.232324 54.385 37.6497
7.284732 54.496 32.5362
7.337520 54.605 26.4336
7.390691 54.714 19.2358
7.444247 54.822 10.9330
7.498191 54.928 1.6860
7.552526 55.034 -8.1320
7.607255 55.138 -17.9930
7.662380 55.241 -27.3692
7.717905 55.342 -35.8879
7.773832 55.442 -43.3882
7.830165 55.541 -49.8798
7.886905 55.638 -55.4682
7.944057 55.735 -60.2932
8.001623 55.831 -64.4936
8.059606 55.927 -68.1920
8.118009 56.025 -71.4905
8.176836 56.124 -74.4715
8.236088 56.226 -77.2005
8.295770 56.331 -79.7287
8.355885 56.442 -82.0960
8.416435 56.559 -84.3329
8.477424 56.683 -86.4626
8.538855 56.815 -88.5023
8.600731 56.957 -90.4641
8.663055 57.108 -92.3563
8.725832 57.268 -94.1845
8.789063 57.440 -95.9519
8.852752 57.621 -97.6605
8.916902 57.812 -99.3113
8.981518 58.012 -100.9054
9.046602 58.221 -102.4441
9.112157 58.438 -103.9295
9.178188 58.662 -105.3647
9.244696 58.892 -106.7539
9.311687 59.128 -108.1025
