* Measurement data measured by REW V5.40 beta 100
* Source: 
* Format: 
* Dated: Sep 23, 2025 2:56:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Minimum phase copy of LX-MP-INV+0dB Cal file effects not included No LF tail No HF tail
* Measurement: LFilter
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 1.0986328 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.098633 0.066 -0.1135
1.106594 0.064 -0.1144
1.114613 0.061 -0.1152
1.122690 0.059 -0.1161
1.130825 0.056 -0.1169
1.139020 0.054 -0.1177
1.147273 0.051 -0.1186
1.155587 0.049 -0.1194
1.163961 0.046 -0.1203
1.172395 0.044 -0.1212
1.180891 0.041 -0.1220
1.189448 0.038 -0.1229
1.198068 0.036 -0.1238
1.206749 0.033 -0.1246
1.215494 0.030 -0.1255
1.224302 0.028 -0.1264
1.233174 0.025 -0.1273
1.242110 0.022 -0.1282
1.251111 0.019 -0.1291
1.260177 0.017 -0.1300
1.269308 0.014 -0.1309
1.278506 0.011 -0.1318
1.287771 0.008 -0.1327
1.297103 0.005 -0.1337
1.306502 0.002 -0.1346
1.315969 -0.001 -0.1355
1.325505 -0.004 -0.1365
1.335111 -0.006 -0.1374
1.344785 -0.009 -0.1384
1.354530 -0.012 -0.1393
1.364346 -0.015 -0.1403
1.374232 -0.019 -0.1413
1.384191 -0.022 -0.1423
1.394221 -0.025 -0.1433
1.404324 -0.028 -0.1443
1.414500 -0.031 -0.1453
1.424750 -0.034 -0.1463
1.435075 -0.037 -0.1474
1.445474 -0.040 -0.1484
1.455948 -0.044 -0.1495
1.466499 -0.046 -0.1505
1.477126 -0.046 -0.1516
1.487830 -0.045 -0.1527
1.498611 -0.044 -0.1538
1.509471 -0.042 -0.1549
1.520409 -0.039 -0.1560
1.531426 -0.036 -0.1571
1.542524 -0.033 -0.1583
1.553701 -0.030 -0.1594
1.564960 -0.026 -0.1605
1.576301 -0.021 -0.1617
1.587723 -0.017 -0.1629
1.599228 -0.012 -0.1640
1.610817 -0.007 -0.1652
1.622490 -0.002 -0.1664
1.634247 0.004 -0.1676
1.646089 0.009 -0.1688
1.658018 0.015 -0.1700
1.670032 0.020 -0.1713
1.682134 0.026 -0.1725
1.694323 0.031 -0.1737
1.706601 0.036 -0.1750
1.718968 0.041 -0.1763
1.731424 0.046 -0.1775
1.743971 0.050 -0.1788
1.756608 0.054 -0.1801
1.769338 0.058 -0.1814
1.782159 0.061 -0.1827
1.795073 0.063 -0.1840
1.808081 0.065 -0.1854
1.821183 0.066 -0.1867
1.834380 0.066 -0.1881
1.847673 0.066 -0.1894
1.861062 0.064 -0.1908
1.874548 0.062 -0.1922
1.888132 0.059 -0.1935
1.901814 0.055 -0.1949
1.915595 0.051 -0.1964
1.929476 0.046 -0.1978
1.943458 0.041 -0.1992
1.957541 0.035 -0.2006
1.971726 0.029 -0.2021
1.986014 0.023 -0.2036
2.000406 0.016 -0.2050
2.014901 0.010 -0.2065
2.029502 0.003 -0.2080
2.044209 -0.004 -0.2095
2.059022 -0.010 -0.2110
2.073943 -0.017 -0.2126
2.088971 -0.023 -0.2141
2.104109 -0.028 -0.2156
2.119356 -0.033 -0.2172
2.134714 -0.038 -0.2188
2.150183 -0.041 -0.2204
2.165764 -0.044 -0.2220
2.181458 -0.046 -0.2236
2.197266 -0.046 -0.2252
2.213188 -0.046 -0.2268
2.229226 -0.044 -0.2285
2.245379 -0.041 -0.2301
2.261650 -0.037 -0.2318
2.278039 -0.032 -0.2335
2.294547 -0.027 -0.2352
2.311174 -0.020 -0.2369
2.327922 -0.013 -0.2386
2.344791 -0.006 -0.2404
2.361782 0.001 -0.2421
2.378897 0.009 -0.2439
2.396135 0.017 -0.2456
2.413499 0.025 -0.2474
2.430988 0.033 -0.2492
2.448604 0.040 -0.2511
2.466347 0.047 -0.2529
2.484219 0.053 -0.2547
2.502221 0.058 -0.2566
2.520353 0.062 -0.2585
2.538617 0.065 -0.2603
2.557013 0.066 -0.2622
2.575542 0.066 -0.2642
2.594205 0.064 -0.2661
2.613004 0.061 -0.2680
2.631939 0.056 -0.2700
2.651011 0.050 -0.2719
2.670221 0.043 -0.2739
2.689571 0.035 -0.2759
2.709061 0.027 -0.2779
2.728691 0.018 -0.2800
2.748465 0.009 -0.2820
2.768381 -0.000 -0.2841
2.788442 -0.009 -0.2861
2.808648 -0.018 -0.2882
2.829001 -0.025 -0.2903
2.849501 -0.032 -0.2924
2.870150 -0.038 -0.2946
2.890948 -0.043 -0.2967
2.911897 -0.045 -0.2989
2.932998 -0.046 -0.3010
2.954251 -0.045 -0.3032
2.975659 -0.041 -0.3054
2.997222 -0.036 -0.3077
3.018941 -0.029 -0.3099
3.040818 -0.021 -0.3121
3.062853 -0.012 -0.3144
3.085047 -0.003 -0.3167
3.107403 0.008 -0.3190
3.129920 0.018 -0.3213
3.152601 0.028 -0.3236
3.175446 0.038 -0.3260
3.198457 0.047 -0.3284
3.221634 0.054 -0.3308
3.244979 0.060 -0.3332
3.268494 0.064 -0.3356
3.292179 0.066 -0.3380
3.316035 0.065 -0.3405
3.340064 0.062 -0.3430
3.364268 0.056 -0.3455
3.388647 0.048 -0.3480
3.413202 0.039 -0.3506
3.437936 0.028 -0.3531
3.462849 0.017 -0.3557
3.487942 0.006 -0.3583
3.513217 -0.006 -0.3609
3.538675 -0.017 -0.3635
3.564318 -0.026 -0.3662
3.590146 -0.035 -0.3689
3.616162 -0.041 -0.3716
3.642366 -0.045 -0.3743
3.668760 -0.046 -0.3770
3.695346 -0.043 -0.3798
3.722124 -0.038 -0.3825
3.749096 -0.030 -0.3853
3.776263 -0.020 -0.3881
3.803627 -0.009 -0.3909
3.831190 0.004 -0.3938
3.858953 0.016 -0.3967
3.886916 0.029 -0.3996
3.915082 0.041 -0.4025
3.943453 0.051 -0.4054
3.972028 0.059 -0.4084
4.000811 0.064 -0.4113
4.029803 0.066 -0.4143
4.059005 0.064 -0.4174
4.088418 0.058 -0.4204
4.118044 0.049 -0.4235
4.147885 0.038 -0.4266
4.177942 0.025 -0.4297
4.208218 0.011 -0.4328
4.238712 -0.003 -0.4360
4.269427 -0.016 -0.4392
4.300366 -0.028 -0.4424
4.331528 -0.037 -0.4456
4.362916 -0.044 -0.4489
4.394531 -0.046 -0.4522
4.426376 -0.043 -0.4555
4.458451 -0.037 -0.4588
4.490759 -0.027 -0.4622
4.523301 -0.014 -0.4655
4.556079 0.000 -0.4689
4.589094 0.015 -0.4724
4.622348 0.030 -0.4758
4.655844 0.044 -0.4793
4.689582 0.055 -0.4828
4.723564 0.063 -0.4863
4.757793 0.066 -0.4899
4.792270 0.063 -0.4935
4.826997 0.056 -0.4971
4.861975 0.045 -0.5007
4.897207 0.031 -0.5044
4.932695 0.015 -0.5081
4.968439 -0.001 -0.5118
5.004442 -0.017 -0.5156
5.040706 -0.030 -0.5193
5.077234 -0.040 -0.5231
5.114025 -0.045 -0.5270
5.151084 -0.044 -0.5308
5.188410 -0.037 -0.5347
5.226008 -0.026 -0.5387
5.263878 -0.011 -0.5426
5.302022 0.006 -0.5466
5.340442 0.024 -0.5506
5.379142 0.040 -0.5546
5.418121 0.054 -0.5587
5.457383 0.063 -0.5628
5.496929 0.065 -0.5669
5.536762 0.061 -0.5711
5.576884 0.051 -0.5753
5.617296 0.036 -0.5795
5.658002 0.018 -0.5837
5.699002 -0.001 -0.5880
5.740299 -0.018 -0.5924
5.781896 -0.033 -0.5967
5.823794 -0.043 -0.6011
5.865995 -0.045 -0.6055
5.908503 -0.040 -0.6100
5.951318 -0.028 -0.6144
5.994444 -0.011 -0.6190
6.037882 0.008 -0.6235
6.081635 0.028 -0.6281
6.125705 0.045 -0.6327
6.170095 0.059 -0.6374
6.214806 0.065 -0.6421
6.259841 0.063 -0.6468
6.305202 0.052 -0.6516
6.350892 0.035 -0.6564
6.396913 0.015 -0.6612
6.443268 -0.006 -0.6661
6.489959 -0.025 -0.6710
6.536988 -0.039 -0.6759
6.584357 -0.045 -0.6809
6.632070 -0.042 -0.6859
6.680129 -0.029 -0.6910
6.728536 -0.011 -0.6961
6.777294 0.011 -0.7012
6.826405 0.033 -0.7064
6.875872 0.051 -0.7116
6.925697 0.063 -0.7169
6.975884 0.064 -0.7222
7.026434 0.055 -0.7275
7.077350 0.038 -0.7329
7.128635 0.016 -0.7383
7.180293 -0.008 -0.7438
7.232324 -0.028 -0.7493
7.284732 -0.042 -0.7549
7.337520 -0.044 -0.7604
7.390691 -0.036 -0.7661
7.444247 -0.017 -0.7718
7.498191 0.006 -0.7775
7.552526 0.030 -0.7833
7.607255 0.051 -0.7891
7.662380 0.063 -0.7949
7.717905 0.063 -0.8008
7.773832 0.051 -0.8068
7.830165 0.029 -0.8128
7.886905 0.004 -0.8188
7.944057 -0.021 -0.8249
8.001623 -0.038 -0.8310
8.059606 -0.045 -0.8372
8.118009 -0.037 -0.8434
8.176836 -0.017 -0.8497
8.236088 0.009 -0.8561
8.295770 0.035 -0.8624
8.355885 0.055 -0.8689
8.416435 0.064 -0.8754
8.477424 0.058 -0.8819
8.538855 0.039 -0.8885
8.600731 0.012 -0.8951
8.663055 -0.015 -0.9018
8.725832 -0.036 -0.9085
8.789063 -0.044 -0.9153
8.852752 -0.036 -0.9222
8.916902 -0.014 -0.9291
8.981518 0.014 -0.9360
9.046602 0.042 -0.9431
9.112157 0.060 -0.9501
9.178188 0.063 -0.9573
9.244696 0.048 -0.9645
9.311687 0.022 -0.9717
9.379164 -0.008 -0.9790
9.447129 -0.033 -0.9864
9.515587 -0.044 -0.9938
9.584541 -0.036 -1.0013
9.653994 -0.012 -1.0088
9.723951 0.019 -1.0164
9.794415 0.047 -1.0241
9.865389 0.063 -1.0318
9.936878 0.059 -1.0396
10.008884 0.036 -1.0475
10.081413 0.005 -1.0554
10.154467 -0.025 -1.0634
10.228051 -0.042 -1.0714
10.302167 -0.039 -1.0795
10.376821 -0.016 -1.0877
10.452016 0.017 -1.0960
10.527755 0.047 -1.1043
10.604044 0.063 -1.1127
10.680885 0.056 -1.1211
10.758283 0.029 -1.1297
10.836242 -0.005 -1.1383
10.914766 -0.033 -1.1470
10.993859 -0.043 -1.1557
11.073525 -0.028 -1.1645
11.153768 0.003 -1.1734
11.234593 0.038 -1.1824
11.316003 0.060 -1.1914
11.398004 0.059 -1.2005
11.480599 0.033 -1.2098
11.563792 -0.002 -1.2191
11.647588 -0.033 -1.2285
11.731991 -0.042 -1.2379
11.817006 -0.024 -1.2474
11.902637 0.011 -1.2570
11.988888 0.045 -1.2667
12.075764 0.062 -1.2764
12.163270 0.050 -1.2863
12.251411 0.017 -1.2963
12.340189 -0.020 -1.3064
12.429611 -0.041 -1.3165
12.519681 -0.033 -1.3268
12.610404 -0.000 -1.3371
12.701784 0.038 -1.3475
12.793827 0.061 -1.3579
12.886536 0.052 -1.3685
12.979917 0.019 -1.3791
13.073975 -0.020 -1.3898
13.168715 -0.041 -1.4007
13.264140 -0.029 -1.4117
13.360258 0.007 -1.4230
13.457072 0.045 -1.4344
13.554587 0.061 -1.4458
13.652809 0.042 -1.4572
13.751743 0.002 -1.4685
13.851394 -0.032 -1.4800
13.951767 -0.038 -1.4915
14.052867 -0.009 -1.5029
14.154700 0.032 -1.5145
14.257271 0.058 -1.5263
14.360585 0.048 -1.5387
14.464648 0.011 -1.5515
14.569465 -0.027 -1.5644
14.675041 -0.037 -1.5774
14.781382 -0.010 -1.5904
14.888494 0.032 -1.6035
14.996382 0.057 -1.6164
15.105052 0.043 -1.6291
15.214510 0.004 -1.6415
15.324760 -0.031 -1.6540
15.435810 -0.031 -1.6670
15.547664 0.003 -1.6802
15.660329 0.043 -1.6938
15.773810 0.055 -1.7079
15.888114 0.026 -1.7225
16.003246 -0.016 -1.7376
16.119212 -0.035 -1.7528
16.236018 -0.012 -1.7680
16.353671 0.031 -1.7834
16.472176 0.055 -1.7985
16.591541 0.035 -1.8131
16.711770 -0.008 -1.8275
16.832870 -0.034 -1.8418
16.954848 -0.016 -1.8560
17.077710 0.028 -1.8702
