* Measurement data measured by REW V5.40 beta 73
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Mar 11, 2025 7:32:11 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A times B A = R1 B = A over B-MP 
* Measurement: R2
* Smoothing: Psychoacoustic
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 42.188 127.8159
0.368865 42.172 127.8649
0.371538 42.154 127.9166
0.374230 42.136 127.9712
0.376942 42.117 128.0286
0.379673 42.097 128.0888
0.382424 42.076 128.1519
0.385196 42.054 128.2178
0.387987 42.031 128.2865
0.390798 42.007 128.3579
0.393630 41.982 128.4322
0.396483 41.956 128.5092
0.399356 41.930 128.5890
0.402250 41.903 128.6715
0.405165 41.875 128.7568
0.408101 41.846 128.8449
0.411058 41.817 128.9357
0.414037 41.786 129.0294
0.417037 41.756 129.1259
0.420059 41.724 129.2254
0.423103 41.692 129.3278
0.426169 41.659 129.4333
0.429257 41.626 129.5420
0.432368 41.592 129.6541
0.435501 41.558 129.7695
0.438656 41.523 129.8885
0.441835 41.488 130.0114
0.445037 41.452 130.1382
0.448262 41.416 130.2691
0.451510 41.379 130.4045
0.454782 41.342 130.5446
0.458077 41.305 130.6896
0.461397 41.267 130.8398
0.464740 41.229 130.9956
0.468108 41.190 131.1573
0.471500 41.151 131.3253
0.474917 41.112 131.5000
0.478358 41.072 131.6817
0.481825 41.032 131.8710
0.485316 40.992 132.0683
0.488833 40.951 132.2741
0.492375 40.910 132.4889
0.495943 40.869 132.7133
0.499537 40.827 132.9479
0.503157 40.785 133.1933
0.506803 40.743 133.4501
0.510475 40.701 133.7191
0.514175 40.658 134.0010
0.517900 40.615 134.2965
0.521653 40.571 134.6064
0.525434 40.528 134.9316
0.529241 40.484 135.2729
0.533076 40.440 135.6312
0.536939 40.395 136.0075
0.540830 40.351 136.4028
0.544749 40.306 136.8181
0.548696 40.261 137.2544
0.552673 40.216 137.7129
0.556677 40.170 138.1946
0.560711 40.125 138.7008
0.564774 40.079 139.2325
0.568867 40.034 139.7911
0.572989 39.989 140.3776
0.577141 39.943 140.9933
0.581324 39.898 141.6395
0.585536 39.853 142.3174
0.589779 39.808 143.0280
0.594053 39.764 143.7727
0.598358 39.721 144.5524
0.602694 39.678 145.3682
0.607061 39.636 146.2211
0.611460 39.595 147.1119
0.615891 39.556 148.0413
0.620354 39.517 149.0098
0.624849 39.481 150.0179
0.629377 39.447 151.0658
0.633938 39.415 152.1533
0.638532 39.387 153.2802
0.643159 39.361 154.4459
0.647819 39.339 155.6496
0.652514 39.321 156.8901
0.657242 39.308 158.1657
0.662005 39.300 159.4748
0.666802 39.298 160.8151
0.671634 39.303 162.1840
0.676501 39.314 163.5787
0.681403 39.334 164.9961
0.686341 39.361 166.4326
0.691314 39.397 167.8847
0.696324 39.443 169.3483
0.701370 39.499 170.8196
0.706452 39.565 172.2943
0.711571 39.642 173.7683
0.716728 39.730 175.2374
0.721921 39.829 176.6975
0.727153 39.938 178.1447
0.732422 40.060 179.5751
0.737729 40.191 -179.0150
0.743075 40.334 -177.6287
0.748460 40.487 -176.2693
0.753883 40.649 -174.9395
0.759346 40.821 -173.6418
0.764849 41.002 -172.3785
0.770391 41.190 -171.1513
0.775974 41.386 -169.9619
0.781597 41.589 -168.8114
0.787261 41.798 -167.7010
0.792966 42.012 -166.6314
0.798712 42.231 -165.6030
0.804500 42.455 -164.6161
0.810329 42.682 -163.6709
0.816201 42.912 -162.7673
0.822116 43.145 -161.9050
0.828073 43.380 -161.0836
0.834074 43.617 -160.3027
0.840118 43.855 -159.5618
0.846206 44.094 -158.8602
0.852338 44.333 -158.1972
0.858514 44.573 -157.5721
0.864735 44.813 -156.9841
0.871001 45.052 -156.4324
0.877313 45.291 -155.9163
0.883670 45.528 -155.4349
0.890074 45.765 -154.9874
0.896524 46.000 -154.5731
0.903020 46.234 -154.1912
0.909564 46.466 -153.8409
0.916155 46.697 -153.5216
0.922794 46.925 -153.2325
0.929481 47.151 -152.9730
0.936216 47.375 -152.7424
0.943000 47.597 -152.5401
0.949834 47.816 -152.3655
0.956717 48.032 -152.2180
0.963649 48.246 -152.0972
0.970632 48.457 -152.0023
0.977666 48.665 -151.9331
0.984750 48.871 -151.8890
0.991886 49.073 -151.8694
0.999074 49.273 -151.8741
1.006314 49.470 -151.9025
1.013606 49.663 -151.9541
1.020951 49.854 -152.0286
1.028349 50.041 -152.1254
1.035801 50.225 -152.2442
1.043307 50.406 -152.3844
1.050867 50.584 -152.5456
1.058482 50.759 -152.7273
1.066152 50.931 -152.9290
1.073878 51.100 -153.1501
1.081660 51.265 -153.3901
1.089498 51.428 -153.6485
1.097393 51.587 -153.9246
1.105345 51.744 -154.2178
1.113355 51.897 -154.5274
1.121423 52.047 -154.8529
1.129549 52.194 -155.1935
1.137734 52.338 -155.5485
1.145979 52.480 -155.9174
1.154283 52.618 -156.2992
1.162647 52.753 -156.6934
1.171072 52.885 -157.0992
1.179558 53.014 -157.5161
1.188106 53.140 -157.9432
1.196715 53.264 -158.3799
1.205387 53.384 -158.8258
1.214122 53.501 -159.2801
1.222920 53.615 -159.7423
1.231782 53.726 -160.2120
1.240708 53.834 -160.6886
1.249699 53.939 -161.1718
1.258754 54.041 -161.6613
1.267876 54.140 -162.1567
1.277063 54.235 -162.6578
1.286318 54.328 -163.1646
1.295639 54.417 -163.6768
1.305027 54.503 -164.1945
1.314484 54.586 -164.7177
1.324009 54.666 -165.2465
1.333604 54.742 -165.7809
1.343268 54.815 -166.3214
1.353002 54.884 -166.8680
1.362806 54.950 -167.4213
1.372681 55.013 -167.9814
1.382628 55.072 -168.5488
1.392647 55.128 -169.1240
1.402739 55.180 -169.7075
1.412904 55.229 -170.2997
1.423142 55.274 -170.9012
1.433455 55.315 -171.5125
1.443843 55.352 -172.1342
1.454305 55.386 -172.7668
1.464844 55.416 -173.4108
1.475459 55.442 -174.0668
1.486150 55.464 -174.7351
1.496920 55.482 -175.4163
1.507767 55.496 -176.1108
1.518693 55.507 -176.8189
1.529698 55.513 -177.5410
1.540783 55.515 -178.2773
1.551948 55.512 -179.0281
1.563194 55.506 -179.7935
1.574521 55.496 179.4262
1.585931 55.481 178.6310
1.597423 55.462 177.8208
1.608999 55.438 176.9956
1.620658 55.410 176.1553
1.632402 55.378 175.2999
1.644232 55.341 174.4293
1.656146 55.300 173.5434
1.668147 55.254 172.6422
1.680235 55.204 171.7254
1.692411 55.149 170.7929
1.704675 55.089 169.8442
1.717028 55.025 168.8790
1.729470 54.956 167.8965
1.742003 54.883 166.8962
1.754626 54.804 165.8770
1.767341 54.721 164.8378
1.780147 54.633 163.7773
1.793047 54.540 162.6940
1.806040 54.442 161.5860
1.819128 54.340 160.4513
1.832310 54.232 159.2873
1.845587 54.120 158.0915
1.858961 54.003 156.8608
1.872432 53.881 155.5916
1.886001 53.755 154.2803
1.899667 53.624 152.9226
1.913433 53.488 151.5137
1.927299 53.348 150.0484
1.941265 53.203 148.5210
1.955332 53.055 146.9252
1.969501 52.903 145.2540
1.983773 52.746 143.4997
1.998148 52.587 141.6540
2.012627 52.424 139.7077
2.027212 52.259 137.6506
2.041902 52.091 135.4719
2.056698 51.921 133.1598
2.071602 51.750 130.7017
2.086614 51.578 128.0842
2.101734 51.405 125.2934
2.116964 51.233 122.3151
2.132304 51.062 119.1356
2.147756 50.892 115.7422
2.163320 50.725 112.1244
2.178996 50.561 108.2751
2.194786 50.401 104.1924
2.210690 50.246 99.8812
2.226710 50.097 95.3552
2.242845 49.953 90.6380
2.259098 49.817 85.7643
2.275468 49.688 80.7786
2.291957 49.567 75.7338
2.308566 49.455 70.6881
2.325295 49.352 65.7001
2.342145 49.257 60.8256
2.359117 49.171 56.1129
2.376212 49.094 51.6011
2.393431 49.024 47.3183
2.410775 48.963 43.2823
2.428244 48.909 39.5015
2.445840 48.862 35.9767
2.463564 48.820 32.7027
2.481416 48.783 29.6703
2.499397 48.751 26.8680
2.517509 48.722 24.2824
2.535752 48.695 21.9001
2.554127 48.670 19.7077
2.572635 48.647 17.6925
2.591277 48.623 15.8424
2.610055 48.598 14.1468
2.628968 48.573 12.5958
2.648019 48.545 11.1810
2.667208 48.515 9.8950
2.686535 48.483 8.7315
2.706003 48.446 7.6853
2.725612 48.406 6.7521
2.745363 48.362 5.9288
2.765257 48.313 5.2131
2.785295 48.259 4.6036
2.805478 48.201 4.0998
2.825808 48.137 3.7019
2.846285 48.068 3.4111
2.866910 47.994 3.2293
2.887685 47.915 3.1593
2.908611 47.830 3.2045
2.929688 47.741 3.3693
2.950917 47.648 3.6587
2.972301 47.550 4.0789
2.993839 47.449 4.6364
3.015534 47.345 5.3388
3.037386 47.239 6.1946
3.059396 47.132 7.2125
3.081565 47.025 8.4025
3.103896 46.919 9.7745
3.126388 46.816 11.3391
3.149043 46.717 13.1066
3.171862 46.623 15.0871
3.194847 46.537 17.2899
3.217998 46.460 19.7225
3.241317 46.395 22.3904
3.264805 46.343 25.2961
3.288463 46.306 28.4380
3.312293 46.285 31.8101
3.336295 46.282 35.4009
3.360471 46.298 39.1934
3.384822 46.334 43.1647
3.409350 46.390 47.2873
3.434056 46.466 51.5293
3.458940 46.561 55.8564
3.484005 46.676 60.2332
3.509252 46.809 64.6249
3.534681 46.958 68.9985
3.560295 47.123 73.3239
3.586094 47.303 77.5745
3.612081 47.495 81.7270
3.638255 47.698 85.7615
3.664620 47.911 89.6605
3.691175 48.132 93.4091
3.717923 48.360 96.9943
3.744864 48.595 100.4044
3.772001 48.833 103.6293
3.799335 49.076 106.6603
3.826866 49.320 109.4897
3.854597 49.567 112.1118
3.882529 49.813 114.5218
3.910664 50.060 116.7168
3.939002 50.305 118.6953
3.967546 50.548 120.4572
3.996296 50.789 122.0036
4.025255 51.026 123.3370
4.054423 51.260 124.4603
4.083804 51.489 125.3775
4.113396 51.713 126.0926
4.143204 51.932 126.6101
4.173227 52.146 126.9344
4.203468 52.353 127.0696
4.233928 52.554 127.0194
4.264609 52.749 126.7872
4.295512 52.936 126.3753
4.326639 53.117 125.7854
4.357992 53.290 125.0183
4.389572 53.456 124.0732
4.421380 53.615 122.9484
4.453419 53.766 121.6402
4.485691 53.910 120.1434
4.518196 54.046 118.4505
4.550936 54.175 116.5514
4.583914 54.296 114.4332
4.617131 54.409 112.0795
4.650589 54.515 109.4697
4.684289 54.614 106.5790
4.718233 54.706 103.3765
4.752424 54.790 99.8258
4.786862 54.867 95.8843
4.821549 54.936 91.5031
4.856488 54.999 86.6287
4.891680 55.054 81.2067
4.927127 55.103 75.1880
4.962831 55.144 68.5401
4.998794 55.178 61.2627
5.035017 55.205 53.4050
5.071503 55.224 45.0801
5.108253 55.237 36.4651
5.145270 55.242 27.7831
5.182555 55.240 19.2642
5.220110 55.230 11.1073
5.257937 55.213 3.4522
5.296038 55.188 -3.6269
5.334415 55.155 -10.1117
5.373071 55.115 -16.0219
5.412006 55.067 -21.3989
5.451224 55.011 -26.2932
5.490725 54.947 -30.7555
5.530514 54.876 -34.8329
5.570590 54.797 -38.5666
5.610957 54.711 -41.9914
5.651616 54.617 -45.1358
5.692570 54.517 -48.0228
5.733821 54.410 -50.6709
5.775370 54.298 -53.0947
5.817221 54.180 -55.3057
5.859375 54.058 -57.3134
5.901834 53.931 -59.1256
5.944602 53.802 -60.7495
5.987679 53.670 -62.1917
6.031068 53.538 -63.4594
6.074771 53.406 -64.5600
6.118792 53.275 -65.5018
6.163131 53.147 -66.2941
6.207792 53.022 -66.9470
6.252776 52.902 -67.4717
6.298086 52.789 -67.8800
6.343725 52.682 -68.1840
6.389694 52.584 -68.3961
6.435996 52.494 -68.5284
6.482634 52.413 -68.5926
6.529610 52.342 -68.5994
6.576926 52.280 -68.5587
6.624585 52.228 -68.4790
6.672590 52.185 -68.3678
6.720942 52.150 -68.2313
6.769645 52.124 -68.0744
6.818700 52.105 -67.9013
6.868111 52.093 -67.7148
6.917881 52.087 -67.5175
6.968010 52.088 -67.3113
