* Measurement data measured by REW V5.40 beta 100
* Source: EQ window target shape
* Format: 
* Dated: Sep 23, 2025 2:20:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Target RMS + phase average
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 2.5 Hz
*
* Freq(Hz) SPL(dB)
2.500000 76.111
2.518116 76.111
2.536363 76.111
2.554743 76.111
2.573256 76.111
2.591902 76.111
2.610684 76.111
2.629603 76.111
2.648658 76.111
2.667851 76.111
2.687183 76.111
2.706656 76.111
2.726269 76.111
2.746025 76.111
2.765924 76.111
2.785967 76.111
2.806155 76.111
2.826490 76.111
2.846972 76.111
2.867602 76.111
2.888382 76.111
2.909312 76.111
2.930394 76.111
2.951629 76.111
2.973018 76.111
2.994561 76.111
3.016261 76.111
3.038118 76.111
3.060134 76.111
3.082309 76.111
3.104645 76.111
3.127142 76.111
3.149803 76.111
3.172627 76.111
3.195618 76.111
3.218774 76.111
3.242099 76.111
3.265592 76.111
3.289256 76.111
3.313092 76.111
3.337100 76.111
3.361282 76.111
3.385639 76.111
3.410173 76.111
3.434884 76.111
3.459775 76.111
3.484846 76.111
3.510098 76.111
3.535534 76.111
3.561154 76.111
3.586959 76.111
3.612952 76.111
3.639133 76.111
3.665504 76.111
3.692065 76.111
3.718820 76.111
3.745768 76.111
3.772911 76.111
3.800251 76.111
3.827789 76.111
3.855527 76.111
3.883466 76.111
3.911607 76.111
3.939952 76.111
3.968503 76.111
3.997260 76.111
4.026226 76.111
4.055402 76.111
4.084789 76.111
4.114389 76.111
4.144203 76.111
4.174234 76.111
4.204482 76.111
4.234949 76.111
4.265638 76.111
4.296548 76.111
4.327683 76.111
4.359043 76.111
4.390630 76.111
4.422447 76.111
4.454494 76.111
4.486773 76.111
4.519286 76.111
4.552034 76.111
4.585020 76.111
4.618245 76.111
4.651711 76.111
4.685419 76.111
4.719372 76.111
4.753570 76.111
4.788016 76.111
4.822712 76.111
4.857660 76.111
4.892860 76.111
4.928316 76.111
4.964029 76.111
5.000000 76.111
5.036232 76.111
5.072727 76.111
5.109486 76.111
5.146511 76.111
5.183805 76.111
5.221369 76.111
5.259205 76.111
5.297315 76.111
5.335702 76.111
5.374367 76.111
5.413312 76.111
5.452539 76.111
5.492050 76.111
5.531848 76.111
5.571934 76.111
5.612310 76.111
5.652979 76.111
5.693943 76.111
5.735204 76.111
5.776763 76.111
5.818624 76.111
5.860788 76.111
5.903258 76.111
5.946036 76.111
5.989123 76.111
6.032523 76.111
6.076237 76.111
6.120268 76.111
6.164618 76.111
6.209289 76.111
6.254284 76.111
6.299605 76.111
6.345255 76.111
6.391235 76.111
6.437549 76.111
6.484198 76.111
6.531185 76.111
6.578513 76.111
6.626183 76.111
6.674199 76.111
6.722563 76.111
6.771278 76.111
6.820345 76.111
6.869768 76.111
6.919549 76.111
6.969691 76.111
7.020197 76.111
7.071068 76.111
7.122308 76.111
7.173919 76.111
7.225904 76.111
7.278266 76.111
7.331007 76.111
7.384131 76.111
7.437639 76.111
7.491535 76.111
7.545822 76.111
7.600502 76.111
7.655579 76.111
7.711054 76.111
7.766932 76.111
7.823214 76.111
7.879904 76.111
7.937005 76.111
7.994520 76.111
8.052452 76.111
8.110803 76.111
8.169577 76.111
8.228777 76.111
8.288407 76.111
8.348468 76.111
8.408964 76.111
8.469899 76.111
8.531275 76.111
8.593096 76.111
8.655366 76.111
8.718086 76.111
8.781261 76.111
8.844893 76.111
8.908987 76.111
8.973545 76.111
9.038571 76.111
9.104069 76.111
9.170040 76.111
9.236490 76.111
