* Measurement data measured by REW V5.30.9
* Source: /home/giacomo/DRC/DRC-120/X801.wav
* Format: Imported Impulse Response, 48000.0 Hz sampling
* Dated: Nov 22, 2024 2:51:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Impulse Response imported from /home/giacomo/DRC/DRC-120/X801.wav 131071 samples (2.73 s) of 64-bit Float data at 48 kHz
* Measurement: X801
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 0.000 0.1821
0.732422 0.000 0.3642
1.098633 0.000 0.5463
1.464844 0.000 0.7284
1.831055 0.000 0.9105
2.197265 0.000 1.0926
2.563476 0.000 1.2748
2.929687 0.000 1.4569
3.295898 0.000 1.6390
3.662109 0.000 1.8211
4.028320 0.000 2.0032
4.394531 0.000 2.1854
4.760742 0.000 2.3675
5.126953 0.000 2.5496
5.493164 0.000 2.7318
5.859375 0.000 2.9139
6.225585 0.000 3.0961
6.591796 0.000 3.2783
6.958007 0.000 3.4604
7.324218 0.000 3.6426
7.690429 0.000 3.8248
8.056640 0.000 4.0070
8.422851 0.000 4.1892
8.789062 0.000 4.3714
9.155273 0.000 4.5536
9.521484 0.000 4.7358
9.887695 0.000 4.9180
10.253905 0.000 5.1003
10.620116 0.000 5.2826
10.986327 0.000 5.4648
11.352538 0.000 5.6471
11.718749 0.000 5.8294
12.084960 0.000 6.0117
12.451171 0.000 6.1940
12.817382 0.000 6.3763
13.183593 0.000 6.5587
13.549804 0.000 6.7410
13.916015 0.000 6.9234
14.282225 0.000 7.1058
14.648436 0.000 7.2882
15.014647 0.000 7.4706
15.380858 0.000 7.6530
15.747069 0.000 7.8354
16.113280 0.000 8.0179
16.479491 0.000 8.2004
16.845702 0.000 8.3829
17.211913 0.000 8.5654
17.578124 0.000 8.7479
17.944335 0.000 8.9304
18.310545 0.000 9.1130
18.676756 0.000 9.2955
19.042967 0.000 9.4781
19.409178 0.000 9.6608
19.775389 0.000 9.8434
20.141600 0.000 10.0261
20.507811 0.000 10.2087
20.874022 0.000 10.3914
21.240233 0.000 10.5741
21.606444 0.000 10.7569
21.972654 0.000 10.9396
22.338865 0.000 11.1224
22.705076 0.000 11.3052
23.071287 0.000 11.4881
23.437498 0.000 11.6709
23.803709 0.000 11.8538
